PT	AN	DT	TI	FT	AU	CA	SO	VL	IS	PS	PY	PD	LA	U1	U2	AB	A2	C1	RI	OI	MH	SS	ID	SD	GN	CN	NM	SF	SC	SN	JC	PA	GI	OB	SA	IV	NR	RC	NO	PE	NT	DI	UT	OA	HC	HP	DA
J	32075446	Journal Article	Developing synthetic biology in Argentina: the Latin American TECNOx community as an alternative way for growth of the field.		Nadra, Alejandro D; Rodriguez, Pablo E; Grunberg, Raik; Olalde, Laura G; Sanchez, Ignacio E		Critical reviews in biotechnology	40	3	357-364	2020	2020 May (Epub 2020 Feb 19)	English	6	6	Synthetic biology emerged in the USA and Europe twenty years ago and quickly developed innovative research and technology as a result of continued funding. Synthetic biology is also growing in many developing countries of Africa, Asia and Latin America, where it could have a large economic impact by helping its use of genetic biodiversity in order to boost existing industries. Starting in 2011, Argentine synthetic biology developed along an idiosyncratic path. In 2011-2012, the main focus was not exclusively research but also on community building through teaching and participation in iGEM, following the template of the early "MIT school" of synthetic biology. In 2013-2015, activities diversified and included society-centered projects, social science studies on synthetic biology and bioart. Standard research outputs such as articles and industrial applications helped consolidate several academic working groups. Since 2016, the lack of a critical mass of researchers and a funding crisis were partially compensated by establishing links with Latin American synthetic biologists and with other socially oriented open technology collectives. The TECNOx community is a central node in this growing research and technology network. The first four annual TECNOx meetings brought together synthetic biologists with other open science and engineering platforms and explored the relationship of Latin American technologies with entrepreneurship, open hardware, ethics and human rights. In sum, the socioeconomic context encouraged Latin American synthetic biology to develop in a meandering and diversifying manner. This revealed alternative ways for growth of the field that may be relevant to other developing countries.		Departamento de Fisiologia y Biologia Molecular y Celular, Facultad de Ciencias Exactas y Naturales, Consejo Nacional de Investigaciones Cientificas y Tecnicas. Instituto de Quimica Biologica de la Facultad de Ciencias Exactas y Naturales (IQUIBICEN), Instituto de Biociencias, Biotecnologia y Biologia Traslacional (iB3), Universidad de Buenos Aires, Buenos Aires, Argentina.; Facultad de Ciencias Sociales, Consejo Nacional de Investigaciones Cientificas y Tecnicas, Instituto de Investigaciones "Gino Germani", Universidad de Buenos Aires, Buenos Aires, Argentina.; Division of Biological and Environmental Sciences and Engineering (BESE), Computational Bioscience Research Center (CBRC), King Abdullah University of Science and Technology (KAUST), Thuwal, Saudi Arabia.; Protein Physiology Laboratory, Consejo Nacional de Investigaciones Cientificas y Tecnicas. Instituto de Quimica Biologica de la Facultad de Ciencias Exactas y Naturales (IQUIBICEN), Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires, Buenos Aires, Argentina.				Index Medicus	Argentina; Community; Latin America; Synthetic Biology; TECNOx; iGEM							1549-7801	8505177	England			In-Process			 / 27 Feb 2020		19 Feb 2020		10.1080/07388551.2020.1712322	MEDLINE:32075446				2020-04-16
J	32276923	Journal Article	3D printable device for automated operant conditioning in the mouse.		Mazziotti, Raffaele; Sagona, Giulia; Lupori, Leonardo; Martini, Virginia; Pizzorusso, Tommaso		eNeuro				2020	2020 Apr 07 (Epub 2020 Apr 07)	English	0	0	Copyright © 2020 Mazziotti et al.Operant conditioning is a classical paradigm and a standard technique used in experimental psychology in which animals learn to perform an action in order to achieve a reward. By using this paradigm, it is possible to extract learning curves and measure accurately reaction times. Both these measurements are proxy of cognitive capabilities and can be used to evaluate the effectiveness of therapeutic interventions in mouse models of disease. Here we describe a fully 3D printable device that is able to perform operant conditioning on freely moving mice, while performing real-time tracking of the animal position. We successfully trained 6 mice, showing stereotyped learning curves that are highly reproducible across mice and reaching more than 70% of accuracy after two days of conditioning. Different products for operant conditioning are commercially available, though most of them do not provide customizable features and are relatively expensive. This data demonstrate that this system is a valuable alternative to available state-of-the-art commercial devices, representing a good balance between performance, cost, and versatility in its use.Significance Statement 3D printing is a revolutionary technology that combines cost-effectiveness with an optimal trade off between standardization and customization. Here we show a device that performs operant conditioning in mice using largely 3D printed parts. This tool can be employed to test learning and memory in models of disease. We expect that the open design of the chamber will be useful for scientific teaching and research as well as for further improvements from the open hardware community.		Department of Neuroscience, Psychology, Drug Research and Child Health NEUROFARBA University of Florence, Area San Salvi - Pad. 26, 50135 Florence, Italy raffaele.mazziotti@in.cnr.it.; Institute of Neuroscience, National Research Council, Via Moruzzi, 1 56124 Pisa, Italy.; Department of Developmental Neuroscience, IRCCS Stella Maris Foundation, 56128 Pisa, Italy.; BIO@SNS lab, Scuola Normale Superiore via G. Moruzzi, 1 56124 Pisa, Italy.; Department of Neuroscience, Psychology, Drug Research and Child Health NEUROFARBA University of Florence, Area San Salvi - Pad. 26, 50135 Florence, Italy.				Index Medicus	3D-printing; Arduino; Learning; Raspberry-Pi; Reaction-times; conditioning							2373-2822	101647362	United States			Publisher			 / 11 Apr 2020		07 Apr 2020		10.1523/ENEURO.0502-19.2020	MEDLINE:32276923	DOAJ Gold			2020-04-16
J	32214120	Journal Article	A high-resolution polarimeter formed from inexpensive optical parts.		Harvie, A J; Phillips, T W; deMello, J C		Scientific reports	10	1	5448	2020	2020 Mar 25	English	0	0	We describe a high resolution laser polarimeter built from commodity optical components. The optical rotation angle is determined by measuring the phase difference between two harmonically modulated polarised laser beams - an 'object beam' that passes through the sample under test and a 'reference beam' that bypasses the sample. The complete polarimeter may be assembled from low cost off-the-shelf parts for less than 300 (UK Sterling). Data acquisition and analysis are carried out on a microcontroller running an efficient algorithm based on the sliding Discrete Fourier Transform. Despite its low cost, the polarimeter is a fully automatic, research-grade instrument with an accuracy of ±0.0013° and a precision of ±0.0028° - comparable to far costlier commercial instruments. The polarimeter's ease of use, compact size, fast measurement times and high angular resolution make it a capable and versatile tool for analytical science, while its low cost means it is ideally suited for use in resource-constrained environments and process monitoring. The polarimeter is released here as open hardware, with technical diagrams, a full parts list, and source code for its firmware included as Supplementary Information.		Department of Chemistry, NTNU, Trondheim, Norway.; Department of Chemistry, Imperial College London, London, United Kingdom.; Department of Chemistry, NTNU, Trondheim, Norway. john.demello@ntnu.no.				Index Medicus								2045-2322	101563288	England			In-Data-Review			 / 31 Mar 2020		25 Mar 2020		10.1038/s41598-020-61715-7	MEDLINE:32214120	DOAJ Gold, Green Accepted			2020-04-16
J	32197400	Journal Article	Recycling and Updating an Educational Robot Manipulator with Open-Hardware-Architecture.		Concha Sanchez, Antonio; Figueroa-Rodriguez, Juan Felipe; Fuentes-Covarrubias, Andres Gerardo; Fuentes-Covarrubias, Ricardo; Gadi, Suresh Kumar		Sensors (Basel, Switzerland)	20	6		2020	2020 Mar 18	English	0	0	This article presents a methodology to recycle and upgrade a 4-DOF educational robot manipulator with a gripper. The robot is upgraded by providing it an artificial vision that allows obtaining the position and shape of objects collected by it. A low-cost and open-source hardware solution is also proposed to achieve motion control of the robot through a decentralized control scheme. The robot joints are actuated through five direct current motors coupled to optical encoders. Each encoder signal is fed to a proportional integral derivative controller with anti-windup that employs the motor velocity provided by a state observer. The motion controller works with only two open-architecture Arduino Mega boards, which carry out data acquisition of the optical encoder signals. MATLAB-Simulink is used to implement the controller as well as a friendly graphical interface, which allows the user to interact with the manipulator. The communication between the Arduino boards and MATLAB-Simulink is performed in real-time utilizing the Arduino IO Toolbox. Through the proposed controller, the robot follows a trajectory to collect a desired object, avoiding its collision with other objects. This fact is verified through a set of experiments presented in the paper.		Facultad de Ingenieria Mecanica y Electrica, Universidad de Colima, Coquimatlan Colima 28400, Mexico.; Facultad de Ingenieria Mecanica y Electrica, Universidad Autonoma de Coahuila, Torreon, Coahuila 27276, Mexico.	Concha, Antonio/U-8557-2018; Gadi, Suresh Kumar/M-5103-2017	Concha, Antonio/0000-0001-9005-3584; Fuentes Covarrubias, Ricardo/0000-0001-8915-1726; Gadi, Suresh Kumar/0000-0001-7974-7825		Index Medicus	artificial vision; decentralized control; educational robot; open-source hardware; recycled robot; robot control							1424-8220	101204366	Switzerland			PubMed-not-MEDLINE			 / 23 Mar 2020		18 Mar 2020		10.3390/s20061694	MEDLINE:32197400	DOAJ Gold			2020-04-16
J	32155749	Journal Article	VersaVIS-An Open Versatile Multi-Camera Visual-Inertial Sensor Suite.		Tschopp, Florian; Riner, Michael; Fehr, Marius; Bernreiter, Lukas; Furrer, Fadri; Novkovic, Tonci; Pfrunder, Andreas; Cadena, Cesar; Siegwart, Roland; Nieto, Juan		Sensors (Basel, Switzerland)	20	5		2020	2020 Mar 06	English	0	0	Robust and accurate pose estimation is crucial for many applications in mobile robotics. Extending visual Simultaneous Localization and Mapping (SLAM) with other modalities such as an inertial measurement unit (IMU) can boost robustness and accuracy. However, for a tight sensor fusion, accurate time synchronization of the sensors is often crucial. Changing exposure times, internal sensor filtering, multiple clock sources and unpredictable delays from operation system scheduling and data transfer can make sensor synchronization challenging. In this paper, we present VersaVIS, an Open Versatile Multi-Camera Visual-Inertial Sensor Suite aimed to be an efficient research platform for easy deployment, integration and extension for many mobile robotic applications. VersaVIS provides a complete, open-source hardware, firmware and software bundle to perform time synchronization of multiple cameras with an IMU featuring exposure compensation, host clock translation and independent and stereo camera triggering. The sensor suite supports a wide range of cameras and IMUs to match the requirements of the application. The synchronization accuracy of the framework is evaluated on multiple experiments achieving timing accuracy of less than 1 &nbsp; ms . Furthermore, the applicability and versatility of the sensor suite is demonstrated in multiple applications including visual-inertial SLAM, multi-camera applications, multi-modal mapping, reconstruction and object based mapping.		Autonomous Systems Lab, ETH Zurich, 8092 Zurich, Switzerland.; Voliro Airborne Robotics, 8092 Zurich, Switzerland.; Sevensense Robotics, 8092 Zurich, Switzerland.	; Siegwart, Roland/A-4495-2008	Fehr, Marius/0000-0003-3276-4067; Siegwart, Roland/0000-0002-2760-7983; Tschopp, Florian/0000-0001-7346-2941; Furrer, Fadri/0000-0002-6070-1760; Nieto, Juan/0000-0003-4808-0831; Riner-Kuhn, Michael/0000-0001-7954-6468		Index Medicus	IMU; camera; embedded; sensor fusion; time synchronization; visual-inertial SLAM							1424-8220	101204366	Switzerland	P3Y9P5 / National Centre of Competence in Research Robotics. none / Siemens Mobility GmbH, Germany		PubMed-not-MEDLINE			 / 13 Mar 2020 / 24 Mar 2020		06 Mar 2020		10.3390/s20051439	MEDLINE:32155749	DOAJ Gold, Green Published			2020-04-16
J	32269809	Journal Article	The Flexiscope: a low cost, flexible, convertible and modular microscope with automated scanning and micromanipulation.		Courtney, Amy; Alvey, Luke M; Merces, George O T; Burke, Niamh; Pickering, Mark		Royal Society open science	7	3	191949	2020	2020 Mar	English	0	0	© 2020 The Authors.With technologies rapidly evolving, many research institutions are now opting to invest in costly, high-quality, specialized microscopes which are shared by many researchers. As a consequence, the user may not have the ability to adapt a microscope to their specific needs and limitations in experimental design are introduced. A flexible work-horse microscopy system is a valuable tool in any laboratory to meet the diverse needs of a research team and promote innovation in experimental design. We have developed the Flexiscope; a multi-functional, adaptable, efficient and high-performance microscopy/electrophysiology system for everyday applications in a neurobiology laboratory. The core optical components are relatively constant in the three configurations described here: an upright configuration, an inverted configuration and an upright/electrophysiology configuration. We have provided a comprehensive description of the Flexiscope. We show that this method is capable of oblique infrared illumination imaging, multi-channel fluorescent imaging and automated three-dimensional scanning of larger specimens. Image quality is conserved across the three configurations of the microscope, and conversion between configurations is possible quickly and easily, while the motion control system can be repurposed to allow sub-micrometre computer-controlled micromanipulation. The Flexiscope provides similar performance and usability to commercially available systems. However, as it can be easily reconfigured for multiple roles, it can remove the need to purchase multiple microscopes, giving significant cost savings. The modular reconfigurable nature allows the user to customize the system to their specific needs and adapt/upgrade the system as challenges arise, without requiring specialized technical skills.		School of Medicine, University College Dublin, Ireland.; UCD Centre for Biomedical Engineering, University College Dublin, Ireland.					automation; ctenophore; electrophysiology; epifluorescence; microscopy; open hardware	 / 10.6084/m9.figshare.c.4877025						2054-5703	101647528	England			PubMed-not-MEDLINE			 / 11 Apr 2020		04 Mar 2020		10.1098/rsos.191949	MEDLINE:32269809	DOAJ Gold			2020-04-16
J	31746678	Journal Article	Design and Fabrication of an Automatable, 3D Printed Perfusion Device for Tissue Infusion and Perfusion Engineering.		Schilling, Benjamin K; Lamberti, Kimberly K; Snowden, Malik J; Baker, Jocelyn S; Byrd, Kristen; Komatsu, Chiaki; Solari, Mario G; Marra, Kacey G		Tissue engineering. Part A	26	5-6	253-264	2020	2020 Mar (Epub 2019 Nov 20)	English	3	3	Tissue decellularization for generating extracellular matrices has become a staple of regenerative medicine in the recent decades, extending from the research setting to clinical usage. Although methods and protocols for tissue decellularization are abundant throughout the literature, they can be time intensive and typically require specific overhead in terms of equipment. To reduce these barriers to entry, a functional and reproducible prototype of a tissue infusion/perfusion device (TIPD) has been designed and fabricated using three-dimensional printed parts in conjunction with commercially available components. This TIPD forms a system composed of two peristaltic pumps, two 3-way valves, and a chamber in which tissue is contained, and is controlled by user-customizable software. To increase repeatability among decellularization protocols, an automation function has been integrated into the software, which is able to specify fluid flow rates and define specific valve locations enabling selection of solutions to be introduced into a scaffold over the course of a decellularization process. The prototype has been tested for proof of concept through infusion and perfusion decellularization of skeletal muscle and intact kidneys, respectively, and has shown successful removal of cellular content while maintaining an intact ultrastructure. In an effort to increase the reproducibility of experimental designs and to promote an open source hardware initiative in the field of tissue engineering, a novel device was conceptualized and prototyped with printable part files made available for its fabrication in tandem with instructions for assembly. Impact Statement Repeatable methods for decellularization are essential for achieving consistent substrates between batches, laboratories, and facilities. To meet this end, an automatable tissue infusion/perfusion device composed of three-dimensional printed parts and commercially available components has been prototyped and tested. Materials and instructions for its assembly have been made available in an effort to reduce variability among equipment as well as to provide a platform on which to iterate open-source hardware in tissue engineering.		Department of Bioengineering, University of Pittsburgh, Pittsburgh, Pennsylvania.; Department of Plastic Surgery, University of Pittsburgh, Pittsburgh, Pennsylvania.; McGowan Institute of Regenerative Medicine, Pittsburgh, Pennsylvania.				Index Medicus	bioreactor; decellularization; extracellular matrix; fused filament fabrication; open source hardware							1937-335X	101466659	United States			In-Data-Review			 / 19 Mar 2020		20 Nov 2019		10.1089/ten.tea.2019.0209	MEDLINE:31746678				2020-04-16
J	32033345	Journal Article	Monitoring of Temperature in Retail Refrigerated Cabinets Applying IoT Over Open-Source Hardware and Software.		Ramirez-Faz, Jose; Fernandez-Ahumada, Luis Manuel; Fernandez-Ahumada, Elvira; Lopez-Luque, Rafael		Sensors (Basel, Switzerland)	20	3		2020	2020 Feb 05	English	0	0	The control of refrigeration in the food chain is fundamental at all stages, with special emphasis on the retail stage. The implementation of information and communication technologies (IoT, open-source hardware and software, cloud computing, etc.) is representing a revolution in the operational paradigm of food control. This paper presents a low-cost IoT solution, based on free hardware and software, for monitoring the temperature in refrigerated retail cabinets. Specifically, the use of the ESP-8266-Wi-Fi microcontroller with DS18B20 temperature sensors is proposed. The ThingSpeak IoT platform is used to store and process data in the cloud. The solution presented is robust, affordable, and flexible, allowing to extend the scope of supervising other relevant parameters in the operating process (light control, energy efficiency, consumer presence, etc.).		Department of Electrical Engineering, University of Cordoba, Campus de Rabanales, 14071 Cordoba, Spain.; Department of Computing and Numeric Analysis, University of Cordoba, Campus de Rabanales, 14071 Cordoba, Spain.; Department of Mathematics, University of Cordoba, c/San Alberto Magno s/n, 14071 Cordoba, Spain.; Department of Applied Physics, University of Cordoba, Campus de Rabanales, 14071 Cordoba, Spain.		Ramirez Faz, Jose/0000-0002-6529-0649		Index Medicus	IoT; cloud computing; open-source hardware and software; retail cabinet refrigeration; temperature control							1424-8220	101204366	Switzerland			PubMed-not-MEDLINE			 / 10 Feb 2020 / 11 Mar 2020		05 Feb 2020		10.3390/s20030846	MEDLINE:32033345	DOAJ Gold, Green Published			2020-04-16
J	32218984	Journal Article	Low-cost, open-access quantitative phase imaging of algal cells using the transport of intensity equation.		Grant, Stephen D; Richford, Kyle; Burdett, Heidi L; McKee, David; Patton, Brian R		Royal Society open science	7	1	191921	2020	2020 Jan	English	4	4	© 2020 The Authors.Phase microscopy allows stain-free imaging of transparent biological samples. One technique, using the transport of intensity equation (TIE), can be performed without dedicated hardware by simply processing pairs of images taken at known spacings within the sample. The resulting TIE images are quantitative phase maps of unstained biological samples. Therefore, spatially resolved optical path length (OPL) information can also be determined. Using low-cost, open-source hardware, we applied the TIE to living algal cells to measure their effect on OPL. We obtained OPL values that were repeatable within species and differed by distinct amounts depending on the species being measured. We suggest TIE imaging as a method of discrimination between different algal species and, potentially, non-biological materials, based on refractive index/OPL. Potential applications in biogeochemical modelling and climate sciences are suggested.		Department of Physics and SUPA, University of Strathclyde, Glasgow G4 0NG, UK.; Lyell Centre for Earth and Marine Science and Technology, Edinburgh EH14 4AS, UK.; School of Energy, Geoscience, Infrastructure and Society, Heriot-Watt University, Edinburgh EH14 4AP, UK.	; Burdett, Heidi/B-8910-2013	Grant, Stephen/0000-0001-9186-1727; Burdett, Heidi/0000-0002-3909-2235; McKee, David/0000-0001-8023-5923			algae; open access; phase-microscopy; three-dimensional printing							2054-5703	101647528	England			PubMed-not-MEDLINE			 / 31 Mar 2020		29 Jan 2020		10.1098/rsos.191921	MEDLINE:32218984	DOAJ Gold, Green Accepted, Green Published			2020-04-16
J	31627443	Journal Article	Impact of Physiological Signals Acquisition in the Emotional Support Provided in Learning Scenarios.		Uria-Rivas, R; Rodriguez-Sanchez, M C; Santos, O C; Vaquero, J; Boticario, J G		Sensors (Basel, Switzerland)	19	20		2019	2019 Oct 17	English	1	1	Physiological sensors can be used to detect changes in the emotional state of users with affective computing. This has lately been applied in the educational domain, aimed to better support learners during the learning process. For this purpose, we have developed the AICARP (Ambient Intelligence Context-aware Affective Recommender Platform) infrastructure, which detects changes in the emotional state of the user and provides personalized multisensorial support to help manage the emotional state by taking advantage of ambient intelligence features. We have developed a third version of this infrastructure, AICARP.V3, which addresses several problems detected in the data acquisition stage of the second version, (i.e., intrusion of the pulse sensor, poor resolution and low signal to noise ratio in the galvanic skin response sensor and slow response time of the temperature sensor) and extends the capabilities to integrate new actuators. This improved incorporates a new acquisition platform (shield) called PhyAS (Physiological Acquisition Shield), which reduces the number of control units to only one, and supports both gathering physiological signals with better precision and delivering multisensory feedback with more flexibility, by means of new actuators that can be added/discarded on top of just that single shield. The improvements in the quality of the acquired signals allow better recognition of the emotional states. Thereof, AICARP.V3 gives a more accurate personalized emotional support to the user, based on a rule-based approach that triggers multisensorial feedback, if necessary. This represents progress in solving an open problem: develop systems that perform as effectively as a human expert in a complex task such as the recognition of emotional states.		aDeNu research group, Artificial Intelligence Department, Computer Science School, UNED, Calle Juan del Rosal, 16, 28040 Madrid , Spain. raul.uria@dia.uned.es.; Rey Juan Carlos University, 28933 Mostoles, Madrid, Spain. cristina.rodriguez.sanchez@urjc.es.; aDeNu research group, Artificial Intelligence Department, Computer Science School, UNED, Calle Juan del Rosal, 16, 28040 Madrid , Spain. ocsantos@dia.uned.es.; Rey Juan Carlos University, 28933 Mostoles, Madrid, Spain. joaquin.vaquero@urjc.es.; aDeNu research group, Artificial Intelligence Department, Computer Science School, UNED, Calle Juan del Rosal, 16, 28040 Madrid , Spain. jgb@dia.uned.es.	Santos, Olga C/H-5629-2011; Boticario, Jesus G./H-5874-2011; Vaquero, Joaquin/K-5377-2012; Rodriguez, Cristina/G-3317-2016	Santos, Olga C/0000-0002-9281-4209; Boticario, Jesus G./0000-0003-4949-9220; Vaquero, Joaquin/0000-0002-6976-0564; Rodriguez, Cristina/0000-0001-9243-2166	Awareness. *Biosensing Techniques. Emotions. Galvanic Skin Response / *physiology. Heart Rate / *physiology. Humans. Learning / physiology. *Monitoring, Physiologic. Temperature. User-Computer Interface	Index Medicus	affective computing; applications and case studies; emotions; feedback; galvanic skin response; heart rate; learning environments; open hardware; physiological sensors; skin temperature						Behavioral Sciences; Psychology; Medical Laboratory Technology; Cardiovascular System & Cardiology; Computer Science (provided by Clarivate Analytics)	1424-8220	101204366	Switzerland	TIN2014-59641-C2-2-P / Ministerio de Economia, Industria y Competitividad, Gobierno de Espana. TIN2014-59641-C2-2-P / Ministerio de Economia, Industria y Competitividad		MEDLINE			 / 25 Feb 2020 / 25 Feb 2020		17 Oct 2019		10.3390/s19204520	MEDLINE:31627443	DOAJ Gold, Green Published			2020-04-16
