PT	AU	BE	TI	X1	Y1	Z1	SO	LA	DT	DE	X5	Y5	Z5	AB	X4	Y4	Z4	C1	EM	RI	OI	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	PD	PY	VL	IS	BP	EP	DI	EC	C2	SC	UT	OA	HC	HP	DA
J	Silva, Daniel M.; Pereira, Álvaro J.; Pierre, Tatiana D. Saint’; Esteves, Pierre M.; Rocha, Anderson A.; Escalfoni Jr., Rainério; Duyck, Christiane		Automatized Separation of Fractions from Petroleum Based on Spectrophotometric Signal Derivative Using Open-Source Hardware for the Determination of Ni and V Linked to Porphyrins				Journal of the Brazilian Chemical Society	English	research-article	automated separation; V and Ni porphyrins; absorbance derivative; ICP-MS; HPLC-ICP-MS; open-source scientific hardware				An automated method based on open-source hardware was created for the separation of porphyrins fractions from crude oil, an essential step for the quantification of V and Ni as metalloporphyrins. Preparative liquid chromatography was implemented with a reverse phase gradient from MeOH to toluene. The system allows three solvents and fractions changes by using quaternary valves connected to an Arduino microcontroller, programmed on the basis of the absorbance signal measured and its first derivative. Additionally, the method was applied to crude oils (Venezuelan National Institute of Standards and Technology (NIST) 8505 and from a marine reservoir). V and Ni were determined by inductively coupled plasma mass spectrometry (ICP-MS) and the V-porphyrin profile was determined by high performance liquid chromatography (HPLC)-ICP-MS. The concentrations of the metals grow in the last eluting toluene fractions, associated with asphaltenes. On the other hand, V-porphyrins in the first eluting MeOH fractions showed profiles of labile compounds, with a higher percentage in the Brazilian crude oil (4.9 mg L-1, corresponding to 18% of total V), in comparison to the one from the biodegraded NIST 8505 (59 mg L-1, corresponding to 7% of total V). The overall methodology has a good reproducibility and provides information on elements concentrations associated with porphyrin class compounds.				[Esteves, Pierre M.] Universidade Federal do Rio de Janeiro, Brazil; [Rocha, Anderson A.; Duyck, Christiane] Universidade Federal Fluminense, Brazil; [Escalfoni Jr., Rainério] Centro de Pesquisa Leopoldo Américo Miguez de Mello, Brazil; [Silva, Daniel M.; Pereira, Álvaro J.; Pierre, Tatiana D. Saint’] Pontifícia Universidade Católica do Rio de Janeiro, Brazil		Esteves, Pierre Mothe/G-3132-2011	Esteves, Pierre Mothe/0000-0001-6048-4690		44	0	0	2	4	Sociedade Brasileira de Química			1678-4790	06	2019	30	6	1309	1317	10.21577/0103-5053.20190029	Chemistry, Multidisciplinary	SciELO Brazil	Chemistry	SCIELO:S0103-50532019000601309	gold				
J	Soares, Fernanda S. C.; Vieira, Alan L.; Soares, Márcio S.; Sant'Anna, Marcus V.; Nascentes, Rejane; Bossu, Carla M.		CONSTRUÇÃO DE UMA BOMBA PERISTÁLTICA E DE UM SISTEMA DE DETECÇÃO UTILIZANDO UM HARDWARE DE CÓDIGO FONTE ABERTO “ARDUINO” PARA ANÁLISE EM FLUXO	PERISTALTIC PUMP AND DETECTION SYSTEM CONTROLLED BY AN ARDUINO OPEN SOURCE HARDWARE DEVELOPED AND DESIGNED FOR APPLICATION IN A FLOW ANALYSIS SYSTEM			Química Nova	Portuguese	research-article	flow analysis; Arduino; peristaltic pump				This work describes the development of a peristaltic pump and a photometric detector, using “Arduino” and alternative and low-cost materials for flow analysis system. The analytical calibration curve of the acid-red-283 using the proposed system presents 0.9984 and 3.9% as the coefficients of determination and variation, and 1.1 and 3.8 mg L-1 as limits of detection and quantification, respectively. Three prepared samples of the acid-red-283 (25, 30 and 35 mg L-1) showed recovery between 99 to 104%. For construction of the peristaltic pump and the photometer using Light Emitting Diodes (LED), light-dependent resistor (LDR) were spent less than 10% of the cost was spent on a commercial system employing a peristaltic pump and a spectrophotometer. Furthermore, the peristaltic pump and the photometer developed in this work allow the implementation of practical disciplines, such as molecular absorption spectrophotometry and flow analysis system in undergraduate courses, making these instruments more accessible, especially for the chemistry students.				[Soares, Fernanda S. C.; Soares, Márcio S.; Sant'Anna, Marcus V.; Nascentes, Rejane; Bossu, Carla M.] Universidade Federal de Viçosa, Brazil; [Vieira, Alan L.] Universidade Estadual Paulista Júlio de Mesquita Filho, Brazil					13	0	0	3	9	Sociedade Brasileira de Química			1678-7064	12	2018	41	10	1196	1199	10.21577/0100-4042.20170289	Chemistry, Multidisciplinary	SciELO Brazil	Chemistry	SCIELO:S0100-40422018001001196	gold				
J	Lugo Espinosa, Oziel; Arellano Ostoa, Gregorio; Hernández Cote, Diego		Automatización de un sistema de inmersión temporal con base en plataformas abiertas de hardware y software	Automation of a temporary immersion technique based on open platforms of hardware and software			Terra Latinoamericana	Spanish	brief-report	java; in vitro species replicate; arduino; bioreactors; open software	java; reproducción de especies in vitro; arduino; biorreactores; software libre			Summary: A Temporary Immersion System (TIS) enables plant micropropagation in unsterilized sealed environments. However, it is a complicated and expensive technology. In this paper, an automation alternative based on open hardware and software platforms is presented, with the objectives of reducing costs and increasing performance as compared with commercial systems, through software reconfiguration of routines for nutrient application, constant monitoring and remote control of the system. For hardware development, the Bottom Up methodology was used, and Kanban methodology was used for the software. The cost of the proposed system is on average 10% that of commercial electronic devices used in the industry to solve process automation problems. Growth assessment of the explants is necessary to corroborate the competitive advantages of the prototype relative to the traditional systems of temporary immersion.	Resumen: Un Sistema de Inmersión Temporal (SIT) permite la micropropagación de plantas en ambientes esterilizados y herméticos; sin embargo, es una tecnología complicada y costosa. En este trabajo, se presenta una alternativa de automatización con base en plataformas abiertas de hardware y software, con los objetivos de reducir costos y aumentar las prestaciones frente a sistemas comerciales, mediante la reconfiguración por software de rutinas para la aplicación de nutrientes, monitoreo constante y control a distancia del sistema. Para el desarrollo del hardware se utilizó la metodología Bottom Up, y para el software, la metodología Kanban. El sistema propuesto tiene un costo promedio de un 10% en comparación con dispositivos electrónicos comerciales utilizados en la industria para resolver problemas de automatización de procesos. Sin embargo, es necesario una evaluación de crecimiento de los explantes para corroborar las ventajas competitivas del prototipo equiparadas a los sistemas tradicionales de inmersión temporal.			[Lugo Espinosa, Oziel; Hernández Cote, Diego] Universidad Autónoma del Estado de México, Mexico; [Arellano Ostoa, Gregorio] Colegio de Postgraduados, Mexico					22	0	0	0	0	Sociedad Mexicana de la Ciencia del Suelo A.C.			2395-8030	09	2017	35	3	269	277	10.28940/terra.v35i3.193	Soil Science	SciELO Mexico	Agriculture	SCIELO:S0187-57792017000300269	gold				
J	Pérez Guzmán, Ricardo Enrique; Céspedes Pérez, Ariel; García Bermúdez, Rodolfo Valentín; Pérez Céspedes, Arianna		Estimulador visual y auditivo para pruebas clínicas de electrooculografía basado en la plataforma Arduino	Visual and auditory stimulator to clinical electrooculographic tests based on Arduino platform			Revista Cubana de Ciencias Informáticas	Spanish	research-article	eye movement; visual and auditory stimuli; Arduino	movimientos oculares; estimulación visual y auditiva; Arduino			ABSTRACT One of the techniques used in the diagnosis of neurological disorders is the study of eye movements. This research addresses the design and construction of a tool that favors the process of visual and auditory stimulation in patients with neurological disorders, as part of a joint project between the University of Las Tunas, Holguin and the Center for Research and Rehabilitation of Hereditary Ataxy (CIRAH). In this institution there is a testing device capable of visual and auditory stimulation, but it is in very poor technical condition, it is not portable and it is the only one in the region. To achieve compliance with the target we used open hardware platform Arduino connected to different sensors. These sensors measure the potential generated by the patient's response projected on a TV where the stimulus sent from the platform is displayed. It was determined that the sampling frequency of the analog signal is 1 KHz to ensure reliability of measurements and serial communication protocol is developed, that allows to configure the visual and auditory stimulator. In addition, a graphical user interface that communicates with the protocol created and facilitates test setup was implemented. Finally, an extensible tool to the rest of the country's health institutions at a reduced cost was obtained.	RESUMEN Una de las técnicas utilizada en el diagnóstico de afecciones neurológicas constituye el estudio de los movimientos oculares. Esta investigación aborda el diseño y construcción de una herramienta que favorece el proceso de estimulación visual y auditiva a pacientes con afecciones neurológicas, como parte de un proyecto conjunto entre la Universidad de Holguín, Las Tunas y el Centro de Investigación y Rehabilitación de Ataxias Hereditarias (CIRAH). En esta institución se cuenta con un dispositivo capaz realizar pruebas de estimulación visual y auditiva, pero se encuentra en muy malas condiciones técnicas, no es portable y es el único en la región oriental del país. Para lograr el cumplimiento del objetivo se utiliza la plataforma de hardware abierto Arduino conectada a varios sensores. Estos miden los potenciales generados por la respuesta del paciente ante el estímulo proyectado en un televisor, en el cual se visualiza el estímulo enviado desde la plataforma. Se determinó que la frecuencia de muestreo de la señal analógica es de 1 KHz para garantizar la confiabilidad de las mediciones y se desarrolla un protocolo de comunicación serie que permite configurar el estimulador visual y auditivo. Además, se implementó una interfaz gráfica de usuario que se comunica con el protocolo creado y facilita la configuración de la prueba. Finalmente se obtuvo una herramienta extensible al resto de las instituciones de salud del país a un costo reducido.			[Pérez Guzmán, Ricardo Enrique; Céspedes Pérez, Ariel; Pérez Céspedes, Arianna] Universidad de Las Tunas, Cuba; [García Bermúdez, Rodolfo Valentín] Universidad Técnica de Manabí, Ecuador					14	0	0	1	7	Editorial Ediciones Futuro			2227-1899	09	2017			77	91		Computer Science, Artificial Intelligence; Computer Science, Software Engineering	SciELO Cuba	Computer Science	SCIELO:S2227-18992017000300007	gold				
J	Martínez Sarmiento, Fredy Hernán; Giral Ramírez, Diego Armando		OpenRRArch: una arquitectura abierta, robusta y confiable para el control de robots autónomos	OpenRRArch: An open, robust and reliable architecture for controlling autonomous robots			Tecnura	Spanish	research-article	Control; Embedded Systems; Linux; Open-source; Robots	control; Linux; Open-source; robots; sistemas embebidos			Abstract Context: The control and navigation systems of autonomous robots constitute a dynamic field of research in robotics. The possible solutions to problems are often evaluated with laboratory prototypes in order to determine their real performance. We propose in this paper an architecture for the design and development of robotic systems (particularly autonomous multi-robot Systems) that facilitate the work in laboratory due to an open robust and reliable architecture. Method: The architecture is supported in open source hardware and software. The operation and communication strategy is characterized by a low consumption of resources, both in processing and communication, and real-time operation. As developement platform and Operating System, we used Linux: the communication scheme and the embedded systems run on a 32-bit processor, with a 16-bit instruction set (not ARM, but with Harvard architecture), at 80 MHz (Tensilica Xtensa LX106) for the implementation of the agents. The tools used allow the solution to be bothe efficient and inexpensive. Results: The architecture has been successfully applied in the implementation of a strategy of navigation for a set of small autonomous robots. A set of robots were provided with wireless communication capability, minimum capacity of environmental sensing (obstacle detection) and a navigation algorithm based on population sizes (mimicking the bacterial Quorum Sensing). The system is implemented with great ease, demonstrating both the viability of the navigation strategy and the versatility, robustness and scalability of the OpenRRArch architecture. Conclusions: The proposed architecture constitutes a solution for the construction of distributed control systems, in particular multi-agent robotic systems. It enables the rapid, low-cost and high-performance implementation of systems with real-time cooperation and communication capabilities. The architecture allows the integration of agents with different processing capabilities, which allows adaptation to the needs of the task. The functions of each agent can be reduced or increased from their code, and/or by selecting other embedded hardware.	Resumen Contexto: Los sistemas de control y navegación de robots autónomos constituyen un dinámico campo de investigación en robótica. Los esquemas y estrategias propuestos como posible solución a problemas se evalúan siempre sobre prototipos de laboratorio a fin de determinar su desempeño real. Se propone en este artículo una arquitectura para el diseño y desarrollo de sistemas robóticos, particularmente sistemas autónomos multirrobot, que facilite el trabajo en laboratorio gracias a una arquitectura abierta con características de robustez y confiabilidad. Método: La arquitectura se soporta en herramientas hardware y softwareopen source. La estrategia de operación y comunicación se caracteriza por un bajo consumo de recursos, tanto en procesamiento como en comunicación, y operación en tiempo real. Se utiliza Linux como plataforma de desarrollo y sistema operativo, en particular para el esquema de comunicación, y los sistemas embebidos sobre un procesador de 32 bits con set de instrucciones de 16 bit (no es ARM, pero con arquitectura Harvard) corriendo a 80 MHz (el LX106 de Tensilica Xtensa) para la implementación de los agentes. Dadas las herramientas utilizadas, la solución también demuestra ser eficiente y económica. Resultados: La arquitectura ha sido aplicada exitosamente en la implementación de una estrategia de navegación para un conjunto de pequeños robots autónomos. A un conjunto de robots se les proporciona capacidad de comunicación WiFi, capacidad mínima de localización del ambiente (detección de obstáculos) y un algoritmo de navegación basado en tamaños poblacionales (imitando el Quorum Sensing Bacterial). El sistema se implementa con gran facilidad, demostrando no sólo la viabilidad de la estrategia de navegación, sino también la versatilidad, robustez y escalabilidad de la arquitectura OpenRRArch. Conclusiones: La arquitectura propuesta constituye una solución para la construcción de sistemas de control distribuidos, en particular sistemas robóticos multiagente. Ésta permite una rápida implementación (a bajo costo y con alto desempeño) de sistemas con capacidad de cooperación y comunicación en tiempo real. La arquitectura permite la integración de agentes con diferentes capacidades de procesamiento, lo cual permite adaptación a las necesidades de la tarea. Las funciones de cada uno de los agentes pueden reducirse o aumentarse a partir de su código, o seleccionando otro hardware embebido.			[Giral Ramírez, Diego Armando] Universidad Distrital Francisco José de Caldas, Colombia; [Martínez Sarmiento, Fredy Hernán] Universidad Distrital Francisco José de Caldas, Colombia			Giral Ramirez, Diego Armando/0000-0001-9983-4555		18	1	1	0	1	Universidad Distrital Francisco José de Caldas			0123-921X	01	2017	21	51	96	104	10.14483/udistrital.jour.tecnura.2017.1.a07	Engineering, Multidisciplinary	SciELO Colombia	Engineering	SCIELO:S0123-921X2017000100007	gold				
J	Aparicio, Pablo; Salmerón, José Manuel; Ruiz, Álvaro; Sánchez, Francisco José; Brotas, Luisa		The globe thermometer in comfort and environmental studies in buildings	El termómetro de globo en estudios de confort y medioambiente en los edificios			Revista de la construcción	English	research-article	Globe temperature; thermometer; mean radiant temperature; open hardware; sensor	Temperatura de globo; termómetro; temperatura media radiante; hardware abierto; sensor			The reasons for the inferior performance of many existing buildings and associated energy systems are diverse, but an important part-cause is insufficient attention to the influence of occupant behaviour. In smart buildings it is necessary to allow for the integration of human behaviour in the HVAC system. In addition, many researchers are limited in their investigation by not having low cost tools that can provide information for their studies. This article is a review of the present state of art about the globe thermometer. It describes how to build your own globe temperature sensor and describes experiments that illustrate the feasibility of using a black globe thermometer with 40 mm diameter.	Las razones del rendimiento inferior de muchos de los edificios actuales y sus sistemas energéticos relacionados son diversas y estas son en una parte importante causada por una atención insuficiente a la influencia del comportamiento de los ocupantes. En los edificios inteligentes es necesario implementar nuevas oportunidades para integrar el comportamiento humano en el sistema de climatización. Además, muchos investigadores están limitados en su investigación al no contar con herramientas de bajo coste que puedan proporcionar información a sus estudios. En este artículo se presenta una revisión del estado actual del arte sobre el termómetro de globo, se describe cómo construir su propio sensor de temperatura de globo y los experimentos descritos ilustran la viabilidad de utilizar un termómetro de globo negro con 40 mm de diámetro.			[Brotas, Luisa] London Metropolitan University, UK; [Aparicio, Pablo] Universidad de Sevilla, Spain; [Sánchez, Francisco José] Universidad de Cádiz, Spain; [Salmerón, José Manuel] Universidad de Sevilla, Spain; [Ruiz, Álvaro] Universidad de Cádiz, Spain		Lissen, Jose Manuel Salmeron/F-1692-2010; Ruiz, Alvaro/AAD-5422-2019; Ruiz, Pablo Aparicio/M-2832-2014; Sanchez de la Flor, Francisco Jose/C-6052-2013	Lissen, Jose Manuel Salmeron/0000-0003-4340-6564; Ruiz, Alvaro/0000-0001-6528-4268; Ruiz, Pablo Aparicio/0000-0002-9979-4183; Sanchez de la Flor, Francisco Jose/0000-0003-1836-8527		33	0	5	0	9	Escuela de Construcción Civil, Pontificia Universidad Católica de Chile			0718-915X	12	2016	15	3	57	66		Construction & Building Technology; Engineering, Civil	SciELO Chile	Construction & Building Technology; Engineering	SCIELO:S0718-915X2016000300006	gold				
J	Lopez Grande, Ignacio H; Schmiegelow, Christian T; Larotonda, Miguel A		Autonomous open-source hardware apparatus for quantum key distribution				Papers in physics	English	research-article	Quantum Optics; Quantum Key Distribution; Open Source Hardware				We describe an autonomous, fully functional implementation of the BB84 quantum key distribution protocol using open source hardware microcontrollers for the synchronization, communication, key sifting and real-time key generation diagnostics. The quantum bits are prepared in the polarization of weak optical pulses generated with light emitting diodes, and detected using a sole single-photon counter and a temporally multiplexed scheme. The system generates a shared cryptographic key at a rate of 365 bps, with a raw quantum bit error rate of 2.7%. A detailed description of the peripheral electronics for control, driving and communication between stages is released as supplementary material. The device can be built using simple and reliable hardware and it is presented as an alternative for a practical realization of sophisticated, yet accessible quantum key distribution systems.									10	0	0	1	3	Paper in Physics.			1852-4249	06	2016	8	1				Physics, Multidisciplinary	SciELO Argentina	Physics	SCIELO:S1852-42492016000100002	gold				
J	González, Pablo; Pérez, Nicolás; Knochen, Moisés		LOW COST ANALYZER FOR THE DETERMINATION OF PHOSPHORUS BASED ON OPEN-SOURCE HARDWARE AND PULSED FLOWS				Química Nova	English	research-article	phosphorus; analyzer; pulsed flows; open-source				The need for automated analyzers for industrial and environmental samples has triggered the research for new and cost-effective strategies of automation and control of analytical systems. The widespread availability of open-source hardware together with novel analytical methods based on pulsed flows have opened the possibility of implementing standalone automated analytical systems at low cost. Among the areas that can benefit from this approach are the analysis of industrial products and effluents and environmental analysis. In this work, a multi-pumping flow system is proposed for the determination of phosphorus in effluents and polluted water samples. The system employs photometric detection based on the formation of molybdovanadophosphoric acid, and the fluidic circuit is built using three solenoid micropumps. The detection is implemented with a low cost LED-photodiode photometric detection system and the whole system is controlled by an open-source Arduino Uno microcontroller board. The optimization of the timing to ensure the color development and the pumping cycle is discussed for the proposed implementation. Experimental results to evaluate the system behavior are presented verifying a linear relationship between the relative absorbance and the phosphorus concentrations for levels as high as 50 mg L-1.				[Pérez, Nicolás] Universidad de la República, Uruguay; [González, Pablo; Knochen, Moisés] Universidad de la República, Uruguay			Knochen, Moises/0000-0001-9263-7428		26	3	7	1	20	Sociedade Brasileira de Química			1678-7064	04	2016	39	3	305	309	10.5935/0100-4042.20160020	Chemistry, Multidisciplinary	SciELO Brazil	Chemistry	SCIELO:S0100-40422016000300305	gold				
J	Aristizábal, Luis M.; Rúa, Santiago; Gaviria, Carlos E.; Osorio, Sandra P.; Zuluaga, Carlos A.; Posada, Norha L.; Vásquez, Rafael E.		Design of an open source-based control platform for an underwater remotely operated vehicle	Diseño de una plataforma de control basada en fuente abierta para un vehículo subacuático operado remotamente			DYNA	English	research-article	open-source hardware; ROV control platforms; underwater exploration	hardware de fuente abierta; plataformas de control de ROVs; exploración subacuática			This paper reports on the design of an open source-based control platform for the underwater remotely operated vehicle (ROV) Visor3. The vehicle's original closed source-based control platform is first described. Due to the limitations of the previous infrastructure, modularity and flexibility are identified as the main guidelines for the proposed design. This new design includes hardware, firmware, software, and control architectures. Open-source hardware and software platforms are used for the development of the new system's architecture, with support from the literature and the extensive experience acquired with the development of robotic exploration systems. This modular approach results in several frameworks that facilitate the functional expansion of the whole solution, the simplification of fault diagnosis and repair processes, and the reduction of development time, to mention a few.	Este artículo presenta el diseño de una plataforma de control basada en fuente abierta para el vehículo subacuático operado remotamente (ROV) Visor3. Primero se describe la plataforma de control original del vehículo con arquitecturas cerradas de hardware y software. La modularidad y la flexibilidad se establecen como guías para el diseño propuesto, dadas las limitaciones de la infraestructura previa. El nuevo diseño incluye las arquitecturas de hardware, software, firmware y control. Se usan plataformas abiertas de hardware y software para el desarrollo de la nueva arquitectura del sistema, con soporte en la literatura y la extensa experiencia adquirida en el desarrollo de sistemas robóticos de exploración. Esta aproximación modular arroja varias plataformas que facilitan, entre otros: la expansión funcional de la solución completa, la simplificación de los procesos de diagnóstico y reparación de fallos, y la reducción del tiempo de desarrollo.			; [Aristizábal, Luis M.; Rúa, Santiago; Gaviria, Carlos E.; Osorio, Sandra P.; Zuluaga, Carlos A.; Posada, Norha L.; Vásquez, Rafael E.] Universidad Pontificia Bolivariana, Colombia			Aristizabal, Luis Miguel/0000-0003-0607-9613; Zuluaga, Carlos/0000-0002-1773-767X; Rua Perez, Santiago/0000-0003-0067-8316; Posada, Norha/0000-0002-7607-0756; Vasquez, Rafael E./0000-0003-4871-8823		45	0	5	0	0	Universidad Nacional de Colombia			0012-7353	02	2016	83	195	198	205	10.15446/dyna.v83n195.49828	Engineering, Multidisciplinary	SciELO Colombia	Engineering	SCIELO:S0012-73532016000100025	gold				
J	Murillo-Soto, Luis Diego		Automatización de pequeña escala con Open Hardware	Automation of small-scale withOpen Hardware			Revista Tecnología en Marcha	Spanish	research-article	Industrial applications; Control technology; Control education	Aplicaciones industriales; tecnología para control; educación en control			AbstractOne possible solution to small-scale automation problems, is use the rapid prototyping platform called Arduino, this paper shows the current status of the device and its use in industrial control tasks. Additionally, the control logic of a system that contain two pumps alternators have been programmed; the coding is performed using the C language and the LabView language. Tests showed compliance controller functionality of both. Finally we discuss the advantages and disadvantages of using open hardware automation projects.	ResumenUna posible solución a los problemas de automatización en pequeña escala es realizar los proyectos con la plataforma de prototipado rápido llamada Arduino. El presente trabajo muestra el estado actual del dispositivo y su utilización en labores de control industrial. Además, se programó la lógica de control de un sistema que posee dos alternadores de bombas; la codificación se realizó usando el lenguaje C y el lenguaje LabView. Las pruebas de funcionalidad del controlador mostraron el cumplimiento de ambos lenguajes. Finalmente, se discuten las ventajas y desventajas de la utilización de open hardwareen proyectos de automatización.			[Murillo-Soto, Luis Diego] Instituto Tecnológico de Costa Rica, Costa Rica					27	0	0	0	0	Instituto Tecnológico de Costa Rica			0379-3982	03	2015	28	1	15	23		Computer Science, Artificial Intelligence; Computer Science, Information Systems; Computer Science, Theory & Methods; Engineering, Civil; Engineering, Electrical & Electronic; Engineering, Industrial; Engineering, Mechanical	SciELO Costa Rica	Computer Science; Engineering	SCIELO:S0379-39822015000100015	gold				
