title,link,cited,relatedLink,position,numOfVersions,publishedData,snippet
Open-source 3D-printable optics equipment,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0059840,Cited by 186,"https://scholar.google.com/scholar?q=related:Ta6DNBR95YAJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",1,All 22 versions,"C Zhang, NC Anzalone, RP Faria, JM Pearce - PloS one, 2013 - journals.plos.org","Just as the power of the open-source design paradigm has driven down the cost of software to the point that it is accessible to most people, the rise of open-source hardware is poised to drive down the cost of doing experimental science to expand access to everyone. To assist …"
"Building research equipment with free, open-source hardware",https://science.sciencemag.org/content/337/6100/1303.summary,Cited by 521,"https://scholar.google.com/scholar?q=related:CT_-zXSeWBcJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",2,All 13 versions,"JM Pearce - Science, 2012 - science.sciencemag.org","Most experimental research projects are executed with a combination of purchased hardware 
equipment, which may be modified in the laboratory and custom single-built equipment fabricated 
inhouse. However, the computer software that helps design and execute experiments and analyze …"
Open Labware: 3-D printing your own lab equipment,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1002086&utm_source=web&utm_medium=pdf&utm_campaign=ppu15,Cited by 246,"https://scholar.google.com/scholar?q=related:pSPcRlfLXMAJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",3,All 21 versions,"T Baden, AM Chagas, G Gage, T Marzullo… - PLoS …, 2015 - journals.plos.org","The introduction of affordable, consumer-oriented 3-D printers is a milestone in the current “maker movement,” which has been heralded as the next industrial revolution. Combined with free and open sharing of detailed design blueprints and accessible development tools …"
Open design of manufacturing equipment,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.557.1285&rep=rep1&type=pdf,Cited by 89,"https://scholar.google.com/scholar?q=related:8RbuMMk6RLsJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",4,All 3 versions,"R Vallance, S Kiani, S Nayfeh - Proceedings of the CHIRP 1st International …, 2001 - Citeseer","In this paper, we discuss open design of manufacturing equipment as an approach to the design, test, and continuous improvement of modular and reconfigurable manufacturing equipment. Open design fosters collaborative efforts by providing a framework for freely …"
General design procedure for free and open-source hardware for scientific equipment,https://www.mdpi.com/2411-9660/2/1/2,Cited by 51,"https://scholar.google.com/scholar?q=related:Zw94f5syUqoJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",5,All 7 versions,"S Oberloier, JM Pearce - Designs, 2018 - mdpi.com","Distributed digital manufacturing of free and open-source scientific hardware (FOSH) used for scientific experiments has been shown to in general reduce the costs of scientific hardware by 90–99%. In part due to these cost savings, the manufacturing of scientific …"
The merits of open bath immersion cooling of datacom equipment,https://ieeexplore.ieee.org/abstract/document/5444305/,Cited by 77,"https://scholar.google.com/scholar?q=related:b-Au3FkXI1IJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",6,All 4 versions,"PE Tuma - 2010 26th Annual IEEE Semiconductor Thermal …, 2010 - ieeexplore.ieee.org","This paper discusses the economic and environmental merits of passive 2-phase immersion in semi-open baths of dielectric fluid for cooling datacom equipment such as servers. The technique eliminates the need for hermetic connectors, pressure vessels, seals and …"
Assessment of mouse anxiety-like behavior in the light–dark box and open-field arena: role of equipment and procedure,https://www.sciencedirect.com/science/article/pii/S0031938414002613,Cited by 141,"https://scholar.google.com/scholar?q=related:D9-2qJ3Ad_QJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",7,All 10 versions,"N Kulesskaya, V Voikar - Physiology & behavior, 2014 - Elsevier","Light–dark box and open field are conventional tests for assessment of anxiety-like behavior in the laboratory mice, based on approach–avoidance conflict. However, except the basic principles, variations in the equipment and procedures are very common. Therefore …"
Technical note: An application of the analytic hierarchy process in equipment selection at Orhaneli open pit coal mine,https://www.tandfonline.com/doi/abs/10.1179/037178404225004968,Cited by 93,"https://scholar.google.com/scholar?q=related:hfSvyfCxp6MJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",8,All 5 versions,"A Basçetin - Mining Technology, 2004 - Taylor & Francis","Equipment selection is one of the most important factors in open pit design and production planning. Equipment selection also affects economic considerations in open-pit design as a function of plan location and depth. Furthermore, equipment selection is a complex …"
Deriving preference order of open pit mines equipment through MADM methods: Application of modified VIKOR method,https://www.sciencedirect.com/science/article/pii/S0957417410008390,Cited by 178,"https://scholar.google.com/scholar?q=related:pbkuIGHjudwJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",9,All 9 versions,"AA Bazzazi, M Osanloo, B Karimi - Expert Systems with Applications, 2011 - Elsevier","In multiple attribute decision making (MADM) problem, a decision maker (DM) has to choose the best alternative that satisfies the evaluation criteria among a set of candidate solutions. It is generally hard to find an alternative that meets all the criteria simultaneously, so a good …"
Sizing equipment for open pit mining–a review of critical parameters,https://www.tandfonline.com/doi/abs/10.1179/037178403225003591,Cited by 61,"https://scholar.google.com/scholar?q=related:UyKwI7GMSjEJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",10,All 3 versions,"E Bozorgebrahimi, RA Hall, GH Blackwell - Mining Technology, 2003 - Taylor & Francis","Over the past century, open pit mines have steadily increased their production rate. Larger equipment and new technologies make it possible to mine larger batches of materials in a shorter time. Low commodity prices have forced companies to decrease their unit cost, by …"
