"","x"
"1","'diagnosis by behavioral observation' home-videosomnography - arigorous ethnographic approach to sleep of children withneurodevelopmental conditions"
"2","'multi-purpose avionics core element: using digital materials andadvanced manufacturing to rapidly develop cube satellite subsystems andcomponents"
"3","'open source' hardware lets users build devices"
"4","'open-hardware' pioneers push for low-cost lab kit"
"5","'open-hardware' pioneers push for low-cost lab kit"
"6","1-d convolutional neural networks for signal processing applications"
"7","1-d convolutional neural networks for signal processing applications"
"8","15-year educational experience on autonomous electronic information devices by flipped classroom and try-by-yourself methods"
"9","15-year educational experience on autonomous electronic informationdevices by flipped classroom and try-by-yourself methods"
"10","19th international conference on embedded computer systems: architectures, modeling, and simulation, samos 2019"
"11","2,000,000 electrocardiograms by distance: an outstanding achievement for telehealth in brazil"
"12","2,000,000 electrocardiograms by distance: an outstanding achievement fortelehealth in brazil"
"13","2014 ieee 8th sensor array and multichannel signal processing workshop, sam 2014"
"14","2016 10th international symposium on communication systems, networks and digital signal processing, csndsp 2016"
"15","2016 international conference on advances in electrical, electronic and systems engineering, icaees 2016"
"16","2017 13th workshop on intelligent solutions in embedded systems, wises 2017"
"17","2017 2nd international verification and security workshop, ivsw 2017"
"18","2017 ieee international conference on information and automation, icia 2017"
"19","2018 9th argentine symposium and conference on embedded systems, case 2018"
"20","2018 ieee 2nd colombian conference on robotics and automation, ccra 2018"
"21","21st robocup international symposium, 2017"
"22","29th international conference on architecture of computing systems, arcs 2016"
"23","2nd international conference on computational intelligence, security and internet of things, iccisiot 2019"
"24","3-d printable open source dual axis gimbal system for optoelectronic measurements"
"25","3-d printable open source dual axis gimbal system for optoelectronicmeasurements"
"26","3d cardiac electrical activity model"
"27","3d cardiac electrical activity model [3d model električne aktivnosti srca]"
"28","3d documentation of frail archaeological finds using low-cost instrumentation"
"29","3d interaction techniques in virtual reality applications forengineering education"
"30","3d printing implications for stem education"
"31","3d printing in the laboratory: maximize time and funds with customizedand open-source labware"
"32","3d printing pdms elastomer in a hydrophilic support bath via freeform reversible embedding"
"33","3d printing pdms elastomer in a hydrophilic support bath via freeformreversible embedding"
"34","3d technologies and the new digital ecosystem - a brazilian experience"
"35","3d tracking of human motion using visual skeletonization and stereoscopic vision"
"36","3d tracking of human motion using visual skeletonization andstereoscopic vision"
"37","3d vibration measurements by a virtual-stereo-camera system based on a single low frame rate camera"
"38","3d vibration measurements by a virtual-stereo-camera system based on asingle low frame rate camera"
"39","3d virtual worlds using open source platform and integrated remote experimentation"
"40","3d vs 2d laparoscopic systems: development of a performance quantitative validation model"
"41","3d vs 2d laparoscopic systems: development of a performance quantitativevalidation model"
"42","4th iberoamerican workshop on human-computer interaction, hci-collab 2018"
"43","4th ifip tc 10 international embedded systems symposium, iess 2013"
"44","54th ieee conference on decision and control [conference reports]"
"45","5th international conference on sensor systems and software, s-cube 2014"
"46","8th ifipwg2.13 international conference on open source systems: long-term sustainability, oss 2012"
"47","9th international doctoral workshop on mathematical and engineering methods in computer science, memics 2014"
"48","a 65 fps full-hd hardware implementation of hog, hof, mbhx, and mbhy for real-time action recognition"
"49","a 65 fps full-hd hardware implementation of hog, hof, mbhx, and mbhy forreal-time action recognition"
"50","a battery management system with a lebesgue-sampling-based extended kalman filter"
"51","a battery management system with a lebesgue-sampling-based extendedkalman filter"
"52","a better environment through better terology"
"53","a bio-inspired aggregation with robot swarm using real and simulated mobile robots"
"54","a bio-inspired motion sensitive model and its application to estimating human gaze positions under classified driving conditions"
"55","a bio-inspired motion sensitive model and its application to estimatinghuman gaze positions under classified driving conditions"
"56","a biprocessor-oriented vision-based target tracking system"
"57","a bist-based solution for the diagnosis of embedded memories adoptingimage processing techniques"
"58","a bist-based solution for the diagnosis of embedded memories adoptingimage processing techniques"
"59","a block access unit for 2d memory access"
"60","a bluetooth based occupancy detection for buildings"
"61","a bridge structural health monitoring system supported by the internet of things"
"62","a bridge structural health monitoring system supported by the internetof things"
"63","a brief review on low-cost turbidimeter designs"
"64","a build your own robot manipulator for manufacturing education"
"65","a build your own robot manipulator for manufacturing education"
"66","a build-your-own three axis cnc pcb milling machine"
"67","a build-your-own three axis cnc pcb milling machine"
"68","a case for accelerating software rtl simulation"
"69","a causal long short-term memory sequence to sequence model for tec prediction using gnss observations"
"70","a communication solution for portable detectors of the “cosmic ray extremely distributed observatory”"
"71","a compact and low cost laser induced breakdown spectroscopic system: application for simultaneous determination of chromium and nickel in steel using multivariate calibration"
"72","a compact and low cost laser induced breakdown spectroscopic system:application for simultaneous determination of chromium and nickel insteel using multivariate calibration"
"73","a compact hardware implementation of sm3"
"74","a compact hardware implementation of sm3"
"75","a compact hardware implementation of sm3 hash function"
"76","a compact vlsi system for bio-inspired visual motion estimation"
"77","a compact vlsi system for bio-inspired visual motion estimation"
"78","a complex space vector approach to rotor temperature estimation forline-connected induction machines with impaired cooling"
"79","a comprehensive iot node proposal using open hardware. a smart farming use case to monitor vineyards"
"80","a comprehensive iot node proposal using open hardware. a smart farminguse case to monitor vineyards"
"81","a comprehensive review of rfid and bluetooth security: practicalanalysis"
"82","a computationally efficient mean sound speed estimation method based on an evaluation of focusing quality for medical ultrasound imaging"
"83","a computationally efficient mean sound speed estimation method based onan evaluation of focusing quality for medical ultrasound imaging"
"84","a cost-effective solution for hd maps creation"
"85","a course for teaching integrated system design to computer engineering students"
"86","a course for teaching integrated system design to computer engineeringstudents"
"87","a cross-modal electronic travel aid device"
"88","a data mining methodology for predicting early stage parkinson's disease using non-invasive, high-dimensional gait sensor data"
"89","a dataglove hardware design and real-time sign gesture interpretation"
"90","a dataglove hardware design and real-time sign gesture interpretation."
"91","a desktop multi-material 3d bio-printing system with open-source hardware and software"
"92","a desktop multi-material 3d bio-printing system with open-sourcehardware and software"
"93","a differential dynamic positioning algorithm based on gps/beidou"
"94","a differential dynamic positioning algorithm based on gps/beidou"
"95","a digital implementation of neuron-astrocyte interaction for neuromorphic applications"
"96","a digital implementation of neuron-astrocyte interaction forneuromorphic applications"
"97","a distributed measurement system based on peer-to-peer architecture forriver monitoring"
"98","a double puf-based rfid identity authentication protocol in service-centric internet of things environments"
"99","a double puf-based rfid identity authentication protocol inservice-centric internet of things environments"
"100","a double stage dc/dc converter for led lighting automotive systems"
"101","a dvb-t framework for the remote monitoring of cardiopathic and diabeticpatients"
"102","a face recognition based system to assist seniors in managing access to their home"
"103","a fast and efficient algorithm for volumetric medical data compressionand retrieval"
"104","a fast hierarchical watermark detector for real-time software orlow-cost hardware implementation"
"105","a feature map consisting of orientation and inter-ridge spacing forfingerprint retrieval"
"106","a flexible low-cost time synchronizer for gnss/ins integration"
"107","a force and thermal sensing skin for robots in human environments"
"108","a force and thermal sensing skin for robots in human environments"
"109","a framework for a development of an intelligent cnc controller based on step-nc"
"110","a framework for a development of an intelligent cnc controller based onstep-nc"
"111","a framework for developing graphically programmable low-cost robotics kit for classroom education"
"112","a framework for developing graphically programmable low-cost roboticskit for classroom education"
"113","a generic lightweight and scalable access control framework for iot gateways"
"114","a genetic algorithm for determining cylinder pressure in internalcombustion engines"
"115","a geo-spatial data infrastructure for flexible discovery, retrieval and fusion of scenario maps in preparedness of emergency"
"116","a geo-spatial data infrastructure for flexible discovery, retrieval andfusion of scenario maps in preparedness of emergency"
"117","a geographic multipath routing protocol for wireless multimedia sensor networks"
"118","a geographic multipath routing protocol for wireless multimedia sensornetworks"
"119","a gestural recognition interface for intelligent wheelchair users"
"120","a gpu-based correlator x-engine implemented on the chime pathfinder"
"121","a gpu-based correlator x-engine implemented on the chime pathfinder"
"122","a handheld point-of-care genomic diagnostic system"
"123","a handheld point-of-care genomic diagnostic system"
"124","a hardware based novel educational methodology for teaching microprocessor architectures using object oriented approach"
"125","a hardware decoder architecture for general string matching technique"
"126","a hardware decoder architecture for general string matching technique"
"127","a hardware implementation of random demodulation analog-to-information converter"
"128","a hardware implementation of random demodulation analog-to-informationconverter"
"129","a heuristic predictive los guidance law based on trajectory learning, ant colony optimization and tabu search"
"130","a heuristic predictive los guidance law based on trajectory learning,ant colony optimization and tabu search"
"131","a high performance computing platform for performing high-volume studies with windows-based power grid tools"
"132","a high performance fpga-based sorting accelerator with a data compression mechanism"
"133","a high performance fpga-based sorting accelerator with a datacompression mechanism"
"134","a high performance hardware architecture for half-pixel accurate h.264motion estimation"
"135","a high performance parallel transform and quantization architecture forh.264 decoder"
"136","a high performance, low power computational platform for complex sensing operations in smart cities"
"137","a high spatial resolution depth sensing method based on binocular structured light"
"138","a high spatial resolution depth sensing method based on binocularstructured light"
"139","a high-resolution polarimeter formed from inexpensive optical parts"
"140","a http-enabled cryptographically secure hardware random number generator"
"141","a http-enabled cryptographically secure hardware random number generator"
"142","a human-computer interface based on the “voluntary” pupil accommodative response"
"143","a human-computer interface based on the'voluntary' pupilaccommodative response"
"144","a hybrid sensor network for flexible, unattended, multipurpose deployment"
"145","a hybrid sensor network for flexible, unattended, multipurposedeployment"
"146","a hybrid system for assessing mental workload"
"147","a hybrid system for assessing mental workload"
"148","a hybrid value correlation based indirect jump prediction"
"149","a j2me-based wireless intelligent video surveillance system using movingobject recognition technology"
"150","a kerr magnetometer setup in the khz regime based on open-hardware architecture"
"151","a kerr magnetometer setup in the khz regime based on open-hardwarearchitecture"
"152","a laboratory machine for micro electrochemical machining"
"153","a learning approach for robust carrier recovery in heavily noisy visible light communication"
"154","a learning approach for robust carrier recovery in heavily noisy visiblelight communication"
"155","a light-weight rapid control prototyping system based on open source hardware"
"156","a light-weight rapid control prototyping system based on open sourcehardware"
"157","a lightweight system to achieve proactive risk management for household asic-resistant cryptocurrency mining"
"158","a lightweight system to achieve proactive risk management for householdasic-resistant cryptocurrency mining"
"159","a linux-based integrated structural health monitoring system for bridges in remote regions"
"160","a low cost approach of multisensor device for global warming studies"
"161","a low cost approach of multisensor device for global warming studies"
"162","a low cost design of hardware support for on-chip message passing in manycore processors"
"163","a low cost design of hardware support for on-chip message passing inmanycore processors"
"164","a low cost digital implementation of feed-forward neural networksapplied to a variable-speed wind turbine system"
"165","a low cost environment monitoring system using raspberry pi and arduino with zigbee"
"166","a low cost environment monitoring system using raspberry pi and arduinowith zigbee"
"167","a low cost hardware and software platform for biomedical signal acquisition and treatment"
"168","a low cost hardware oriented motion estimation algorithm for hdtv"
"169","a low cost inventory location identification kiosk for indoor environments using passive rfid tags and open source hardware"
"170","a low cost master and slave distributed intelligent meter for non-intrusive load classification and anomaly warning"
"171","a low cost pupillometry approach"
"172","a low cost pupillometry approach"
"173","a low frequency ultrasonic treatment and monitoring system"
"174","a low-complexity interpolation method for deinterlacing"
"175","a low-cost and robust optical flow cmos camera for velocity estimation"
"176","a low-cost and robust optical flow cmos camera for velocity estimation"
"177","a low-cost and small usv platform for water quality monitoring"
"178","a low-cost approach towards streaming 3d videos of large-scale sport events to mixed reality headsets in real-time"
"179","a low-cost autonomous robot and educational platform for intelligentautomation experiments"
"180","a low-cost autonomous rover for polar science"
"181","a low-cost autonomous rover for polar science"
"182","a low-cost bench-top research device for turbidity measurement by radially distributed illumination intensity sensing at multiple wavelengths"
