paper title,Scorer,"Describes
open  hardware?",paper DOI,"is article open access (1 for yes, 0 for no)","OpenOMeter1
Open Source licenses","OpenOMeter2
editable design/code
 files available","OpenOMeter3
bill of materials
available","OpenOMeter4
Assembly instructions
available","OpenOMeter5
all files shared 
in original format","OpenOMeter6
files kept in 
version control
system open to
edits by others","OpenOMeter7
Guides on
how to contribute","OpenOMeter8
Issue tracking
system available","
Notes ",total points ,score as percentage
"""A Versatile and customizable low-cost 3D-printed open standard for microscopic imaging""",Heba,1,10.1038/s41467-020-19447-9,1,1,1,1,1,0.5,1,1,1,points 5 and 6 where scored as half points as the study contained some of the files as shared but not all are editable or original.,8.5,94.44444444
"""Open source software for medical image processing and visualization""",Heba,1,10.1145/1042091.1042120,1,1,1,1,1,0,0,1,1,"the software spoken about throughout the study is available for people to download and use, however, it is not editable and not n the original format.",7,77.77777778
"""A versatile labVIEW and field-programmable gate array-based scanning probe microscope for in operando electronic device characteristics""",Heba,1,10.1063/1.4902934,1,0,0,1,1,0,0,0,0,"this study describes the versatile microscope in much detail and provides sufficient information for the materials used and how to set up and calibrate the microscope, however, it does not provide the files used for this  software nor does it point people towards how to contribute.",3,33.33333333
"""Free and open source automated 3D microscope""",Heba,1,10.1111/jmi.12433,0,0,1,1,1,0.5,0,0,0,This study provides efficient info about the microscope and a repository providing the details on how to make it but it's all not editable and is published under a closed license so its not editable. ,3.5,38.88888889
"""Open-source 3-D platform for low-cost scientific instrument Ecosystem""",Heba,1,10.1177/2211068215624406,1,1,1,1,1,0.5,1,1,1,"A well rounded study, providing all the materials used plus all the softwares needed to complete the equipment set up, and all links provided are free and open access, thus easily replicable and editable. ",8.5,94.44444444
"""Open-source photometric system for enzymatic Nitrate Quantification""",Heba,1,10.1371/journal.pone.0134989,1,0,1,1,1,1,1,1,1,"repository does not include licensing, not included in the study which license is used.",8,88.88888889
"""Generation of orientation tools for automated zebrafish screening assays using desktop 3D printing""",Heba,1,10.1186/1472-6750-14-36,1,1,0,1,1,1,0,0,0,"The information provided goes into great detail about how to recreate the moulds they have originally created, however, all the files provided are not editable and there is nowhere to communicate with the authors to recommend improvements. ",5,55.55555556
"""Multimodal microscopy imaging with the Open Flexure Delta stage""",Heba,1,10.1364/OE.450211,1,0,1,1,1,1,1,1,1,"All details included, but under a closed license.",8,88.88888889
"""Low cost and open source multi-fluorescence imaging system for teaching and research in biology and bioengineering""",Heba,1,10.1371/journal.pone.0187163,1,1,0,1,1,0.5,0,1,1,"closed license, and not all files shared in original format and not editable.",6.5,72.22222222
"""A force and thermal sensing skin for robots in human environments"" ",Heba,1,10.1016/j.robot.2017.06.008,0,0,0,0.5,0,0,0,0,0,"Not a good example of open source study. Only some of the materials described, but not in great detail, and some components are not fully explained in terms of materials used and how they got to the final product. All files provided in non-editable format and there is no guides on how to communicate with authors or to change anything about the ""skin"".",0.5,5.555555556
"""Mini photobioreactors for in Vivo real-time characterisation and evolutionary tuning of bacterial optogenetic circuit""",Heba,1,10.1021/acssynbio.7b00091,1,1,0,1,1,0,0,0.5,0,"details provided about the materials used and set up of the hardwareis provided in the supplementary info. The files provided are not editable, there is no specific details on how to contact authors, just author info.",4.5,50
"""A simple device to apply equibiaxial strain to cells cultured on flexible membranes""",Heba,1,10.1152/ajpheart.00649.2007,1,1,0.5,1,1,0.5,0,0,0,"Only hardware included, and original images of device, no open software included in article. Hardware is described accurately and clearly. ",5,55.55555556
"""An open-hardware platform for optogenetics and photobiology""",Heba,1,10.1038/srep35363,1,0,1,1,1,0,1,0,0,"The files included can be edited if the right tools are available, there is no info on how to contact the authors.",5,55.55555556
"""Openspritzer: an open hardware pressure ejection system for reliably delivering picolitre volumes""",Heba,1,10.1038/s41598-017-02301-2,1,1,0.5,1,1,0,0,0,0,"*MAY BE ALTERED* SCAD files are stated to be available in the supplementary materials, however, link comes up with error message and no files are accessible. They state that the codes included can be edited. ",4.5,50
"""Open ISEmeter: An open hardware high-impedance interface for potentiometric detection""",Heba,1,10.1063/1.4952419,0,1,1,1,1,0,0,0,0,"materials used and assembly instructions avaliable, however, the files stated to have all the files on the university website do not open or download.",4,44.44444444
"""Validation of a smartphone-based EEG among people with epilepsy: A prospective study""",Heba,1,10.1038/srep45567,1,1,1,1,1,1,1,1,1,"An excellent example of an open-source Hardware and software. Very well put together and all the materials and instructions clearly presented, GitHub files provided and open to edits.",9,100
"""Screening for protein-protein ineractions using using Förster resonance energy transfer (FRET) and fluorscence lifetime imaging microscopy (FLIM)",Heba,1,10.1038/srep28186,1,1,0,1,1,0,0,0.5,0,"not a clear study, hard to read and navigate, contains the materials used and way to replicate, all the open sources used are stated, however, none of them are open for edits and are mostly websites, not editable files.",4.5,50
"""Open source 3-D printed Nutating Mixer""",Heba,1,10.3390/app7090942,1,1,1,1,1,1,1,1,1,"A good, organsied paper containing all the open features an open paper needs, product is easliy replicable as all the info needed is provided and all files can be edited.",9,100
"""A Novel low-cost open-hardware platform for monitoring soil water content and Multiple soil-air-vegetation Parameters""",Heba,1,10.3390/s141019639,1,1,0,1,1,0,0,0,0,"software is only avaliable under request, not provided in the article - not open. no guides on how to contribute or issue tracking.",4,44.44444444
