"","x"
"1","'open-hardware' pioneers push for low-cost lab kit"
"2","""diagnosis by behavioral observation"" home-videosomnography - a rigorous ethnographic approach to sleep of children with neurodevelopmental conditions"
"3","` multi-purpose avionics core element: using digital materials and
advanced manufacturing to rapidly develop cube satellite subsystems and
components"
"4","``diagnosis by behavioral observation'' home-videosomnography - a
rigorous ethnographic approach to sleep of children with
neurodevelopmental conditions"
"5","`open source' hardware lets users build devices"
"6","`open-hardware' pioneers push for low-cost lab kit"
"7","1-d convolutional neural networks for signal processing applications"
"8","1-d convolutional neural networks for signal processing applications"
"9","15-year educational experience on autonomous electronic information
devices by flipped classroom and try-by-yourself methods"
"10","15-year educational experience on autonomous electronic information devices by flipped classroom and try-by-yourself methods"
"11","19th international conference on embedded computer systems: architectures, modeling, and simulation, samos 2019"
"12","2,000,000 electrocardiograms by distance: an outstanding achievement for
telehealth in brazil"
"13","2,000,000 electrocardiograms by distance: an outstanding achievement for telehealth in brazil"
"14","2014 ieee 8th sensor array and multichannel signal processing workshop, sam 2014"
"15","2016 10th international symposium on communication systems, networks and digital signal processing, csndsp 2016"
"16","2016 international conference on advances in electrical, electronic and systems engineering, icaees 2016"
"17","2017 13th workshop on intelligent solutions in embedded systems, wises 2017"
"18","2017 2nd international verification and security workshop, ivsw 2017"
"19","2017 ieee international conference on information and automation, icia 2017"
"20","2018 9th argentine symposium and conference on embedded systems, case 2018"
"21","2018 ieee 2nd colombian conference on robotics and automation, ccra 2018"
"22","21st robocup international symposium, 2017"
"23","29th international conference on architecture of computing systems, arcs 2016"
"24","2nd international conference on computational intelligence, security and internet of things, iccisiot 2019"
"25","3-d printable open source dual axis gimbal system for optoelectronic
measurements"
"26","3-d printable open source dual axis gimbal system for optoelectronic measurements"
"27","3d cardiac electrical activity model"
"28","3d cardiac electrical activity model [3d model električne aktivnosti srca]"
"29","3d documentation of frail archaeological finds using low-cost instrumentation"
"30","3d interaction techniques in virtual reality applications for
engineering education"
"31","3d printing implications for stem education"
"32","3d printing in the laboratory: maximize time and funds with customized
and open-source labware"
"33","3d printing pdms elastomer in a hydrophilic support bath via freeform
reversible embedding"
"34","3d printing pdms elastomer in a hydrophilic support bath via freeform reversible embedding"
"35","3d technologies and the new digital ecosystem - a brazilian experience"
"36","3d tracking of human motion using visual skeletonization and
stereoscopic vision"
"37","3d tracking of human motion using visual skeletonization and stereoscopic vision"
"38","3d vibration measurements by a virtual-stereo-camera system based on a
single low frame rate camera"
"39","3d vibration measurements by a virtual-stereo-camera system based on a single low frame rate camera"
"40","3d virtual worlds using open source platform and integrated remote experimentation"
"41","3d vs 2d laparoscopic systems: development of a performance quantitative
validation model"
"42","3d vs 2d laparoscopic systems: development of a performance quantitative validation model"
"43","4th iberoamerican workshop on human-computer interaction, hci-collab 2018"
"44","4th ifip tc 10 international embedded systems symposium, iess 2013"
"45","54th ieee conference on decision and control [conference reports]"
"46","5th international conference on sensor systems and software, s-cube 2014"
"47","8th ifipwg2.13 international conference on open source systems: long-term sustainability, oss 2012"
"48","9th international doctoral workshop on mathematical and engineering methods in computer science, memics 2014"
"49","a 65 fps full-hd hardware implementation of hog, hof, mbhx, and mbhy for
real-time action recognition"
"50","a 65 fps full-hd hardware implementation of hog, hof, mbhx, and mbhy for real-time action recognition"
"51","a battery management system with a lebesgue-sampling-based extended
kalman filter"
"52","a battery management system with a lebesgue-sampling-based extended kalman filter"
"53","a better environment through better terology"
"54","a bio-inspired aggregation with robot swarm using real and simulated mobile robots"
"55","a bio-inspired motion sensitive model and its application to estimating
human gaze positions under classified driving conditions"
"56","a bio-inspired motion sensitive model and its application to estimating human gaze positions under classified driving conditions"
"57","a biprocessor-oriented vision-based target tracking system"
"58","a bist-based solution for the diagnosis of embedded memories adopting
image processing techniques"
"59","a bist-based solution for the diagnosis of embedded memories adopting
image processing techniques"
"60","a block access unit for 2d memory access"
"61","a bluetooth based occupancy detection for buildings"
"62","a bridge structural health monitoring system supported by the internet
of things"
"63","a bridge structural health monitoring system supported by the internet of things"
"64","a brief review on low-cost turbidimeter designs"
"65","a build your own robot manipulator for manufacturing education"
"66","a build your own robot manipulator for manufacturing education"
"67","a build-your-own three axis cnc pcb milling machine"
"68","a build-your-own three axis cnc pcb milling machine"
"69","a case for accelerating software rtl simulation"
"70","a causal long short-term memory sequence to sequence model for tec prediction using gnss observations"
"71","a communication solution for portable detectors of the “cosmic ray extremely distributed observatory”"
"72","a compact and low cost laser induced breakdown spectroscopic system:
application for simultaneous determination of chromium and nickel in
steel using multivariate calibration"
"73","a compact and low cost laser induced breakdown spectroscopic system: application for simultaneous determination of chromium and nickel in steel using multivariate calibration"
"74","a compact hardware implementation of sm3"
"75","a compact hardware implementation of sm3"
