"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"4F3FMJ2X","journalArticle","2022","Meng, Kangpei; Chen, Xiaoping; Zhang, Wen; Chang, Wesley; Xu, Jun","A robust ultrasonic characterization methodology for lithium-ion batteries on frequency-domain damping analysis","Journal of Power Sources","","03787753","10.1016/j.jpowsour.2022.232003","https://linkinghub.elsevier.com/retrieve/pii/S0378775322009818","","2022-11","2023-02-15 00:13:00","2023-02-15 00:13:00","2023-02-15 00:12:59","232003","","","547","","Journal of Power Sources","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2X2U99MX","journalArticle","2022","Tian, Huawen; Jiang, Liwen; Zhang, Jie","Construction of Wireless Sensor Model for Carbon Neutralization and Environmental Protection from the Perspective of Energy Internet of Things Transformation","Journal of Sensors","","1687-7268, 1687-725X","10.1155/2022/5491876","https://www.hindawi.com/journals/js/2022/5491876/","Carbon neutral environmental protection is an important way to effectively control the rapid rise of global temperature, promote the green transformation of energy utilization, and promote green, low-carbon, and other technological progress. It is a new driving force for world economic development and growth. This paper explores the construction of wireless sensor model for carbon neutralization and environmental protection from the perspective of the transformation of energy Internet of things. This paper analyzes the development background and research status of energy Internet of things technology at home and abroad and determines the overall design scheme of environmental monitoring Internet of things system. Then, we design the overall scheme of wireless sensor model under the environment monitoring Internet of things system. An experimental test platform was built to test the performance of the environmental monitoring Internet of things system. The test results show that the wireless sensor can monitor and respond to physical impact, and the generated energy can realize wireless data transmission of about 20 m; the regional coverage and fixed-point Internet of things system can realize the real-time monitoring of environmental parameters such as light, temperature, humidity, and dust, interact with the data and instructions of the cloud platform normally, and work stably. The basic functions of the whole Internet of things system have been realized, including the alarm function of passive wireless impact sensing, the cloud real-time monitoring function of environmental data and the real-time sending function of cloud instructions, and the real-time monitoring of indoor and outdoor environment under two working modes. The task objectives set in the early stage of the whole system are realized.","2022-01-17","2023-02-15 00:12:56","2023-02-15 00:12:56","2023-02-15 00:12:56","1-11","","","2022","","Journal of Sensors","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","gold","","Sun, Gengxin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EPDN8Y9W","journalArticle","2022","Priavolou, Christina; Troullaki, Katerina; Tsiouris, Nikiforos; Giotitsas, Chris; Kostakis, Vasilis","Tracing sustainable production from a degrowth and localisation perspective: A case of 3D printers","Journal of Cleaner Production","","09596526","10.1016/j.jclepro.2022.134291","https://linkinghub.elsevier.com/retrieve/pii/S095965262203863X","","2022-11","2023-02-15 00:12:53","2023-02-15 00:12:53","2023-02-15 00:12:53","134291","","","376","","Journal of Cleaner Production","Tracing sustainable production from a degrowth and localisation perspective","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","green","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UQAYDZDR","journalArticle","2022","Bassolillo, Salvatore Rosario; D’Amato, Egidio; Notaro, Immacolata; Ariante, Gennaro; Del Core, Giuseppe; Mattei, Massimiliano","Enhanced Attitude and Altitude Estimation for Indoor Autonomous UAVs","Drones","","2504-446X","10.3390/drones6010018","https://www.mdpi.com/2504-446X/6/1/18","In recent years the use of Unmanned Aerial Vehicles (UAVs) has considerably grown in the civil sectors, due to their high flexibility of use. Currently, two important key points are making them more and more successful in the civil field, namely the decrease of production costs and the increase in navigation accuracy. In this paper, we propose a Kalman filtering-based sensor fusion algorithm, using a low cost navigation platform that contains an inertial measurement unit (IMU), five ultrasonic ranging sensors and an optical flow camera. The aim is to improve navigation in indoor or GPS-denied environments. A multi-rate version of the Extended Kalman Filter is considered to deal with the use of heterogeneous sensors with different sampling rates, and the presence of non-linearities in the model. The effectiveness of the proposed sensor platform is evaluated by means of numerical tests on the dynamic flight simulator of a quadrotor. Results show high precision and robustness of the attitude estimation algorithm, with a reduced computational cost, being ready to be implemented on low-cost platforms.","2022-01-12","2023-02-15 00:12:50","2023-02-15 00:12:50","2023-02-15 00:12:50","18","","1","6","","Drones","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","gold","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MYSTQW23","journalArticle","2022","Khan, Sadeque Reza; Mugisha, Andrew J.; Tsiamis, Andreas; Mitra, Srinjoy","Commercial Off-the-Shelf Components (COTS) in Realizing Miniature Implantable Wireless Medical Devices: A Review","Sensors","","1424-8220","10.3390/s22103635","https://www.mdpi.com/1424-8220/22/10/3635","Over the past decade, there has been exponential growth in the per capita rate of medical patients around the world, and this is significantly straining the resources of healthcare institutes. Therefore, the reliance on smart commercial off-the-shelf (COTS) implantable wireless medical devices (IWMDs) is increasing among healthcare institutions to provide routine medical services, such as monitoring patients’ physiological signals and the remote delivery of therapeutic drugs. These smart COTS IWMDs reduce the necessity of recurring visits of patients to healthcare institutions and also mitigate physical contact, which can minimize the possibility of any potential spread of contagious diseases. Furthermore, the devices provide patients with the benefit of recuperating in familiar surroundings. As such, low-cost, ubiquitous COTS IWMDs have engendered the proliferation of telemedicine in healthcare to provide routine medical services. In this paper, a review work on COTS IWMDs is presented at a macro level to discuss the history of IWMDs, different networked COTS IWMDs, health and safety regulations of COTS IWMDs and the importance of organized procurement. Furthermore, we discuss the basic building blocks of IWMDs and how COTS components can contribute to build these blocks over widely researched custom-built application-specific integrated circuits.","2022-05-10","2023-02-15 00:12:48","2023-02-15 00:12:48","2023-02-15 00:12:47","3635","","10","22","","Sensors","Commercial Off-the-Shelf Components (COTS) in Realizing Miniature Implantable Wireless Medical Devices","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","gold","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WHF6NADG","journalArticle","2022","Agullo, Emmanuel; Altenbernd, Mirco; Anzt, Hartwig; Bautista-Gomez, Leonardo; Benacchio, Tommaso; Bonaventura, Luca; Bungartz, Hans-Joachim; Chatterjee, Sanjay; Ciorba, Florina M; DeBardeleben, Nathan; Drzisga, Daniel; Eibl, Sebastian; Engelmann, Christian; Gansterer, Wilfried N; Giraud, Luc; Göddeke, Dominik; Heisig, Marco; Jézéquel, Fabienne; Kohl, Nils; Li, Xiaoye Sherry; Lion, Romain; Mehl, Miriam; Mycek, Paul; Obersteiner, Michael; Quintana-Ortí, Enrique S; Rizzi, Francesco; Rüde, Ulrich; Schulz, Martin; Fung, Fred; Speck, Robert; Stals, Linda; Teranishi, Keita; Thibault, Samuel; Thönnes, Dominik; Wagner, Andreas; Wohlmuth, Barbara","Resiliency in numerical algorithm design for extreme scale simulations","The International Journal of High Performance Computing Applications","","1094-3420, 1741-2846","10.1177/10943420211055188","http://journals.sagepub.com/doi/10.1177/10943420211055188","This work is based on the seminar titled ‘Resiliency in Numerical Algorithm Design for Extreme Scale Simulations’ held March 1–6, 2020, at Schloss Dagstuhl, that was attended by all the authors. Advanced supercomputing is characterized by very high computation speeds at the cost of involving an enormous amount of resources and costs. A typical large-scale computation running for 48 h on a system consuming 20 MW, as predicted for exascale systems, would consume a million kWh, corresponding to about 100k Euro in energy cost for executing 10                23                floating-point operations. It is clearly unacceptable to lose the whole computation if any of the several million parallel processes fails during the execution. Moreover, if a single operation suffers from a bit-flip error, should the whole computation be declared invalid? What about the notion of reproducibility itself: should this core paradigm of science be revised and refined for results that are obtained by large-scale simulation? Naive versions of conventional resilience techniques will not scale to the exascale regime: with a main memory footprint of tens of Petabytes, synchronously writing checkpoint data all the way to background storage at frequent intervals will create intolerable overheads in runtime and energy consumption. Forecasts show that the mean time between failures could be lower than the time to recover from such a checkpoint, so that large calculations at scale might not make any progress if robust alternatives are not investigated. More advanced resilience techniques must be devised. The key may lie in exploiting both advanced system features as well as specific application knowledge. Research will face two essential questions: (1) what are the reliability requirements for a particular computation and (2) how do we best design the algorithms and software to meet these requirements? While the analysis of use cases can help understand the particular reliability requirements, the construction of remedies is currently wide open. One avenue would be to refine and improve on system- or application-level checkpointing and rollback strategies in the case an error is detected. Developers might use fault notification interfaces and flexible runtime systems to respond to node failures in an application-dependent fashion. Novel numerical algorithms or more stochastic computational approaches may be required to meet accuracy requirements in the face of undetectable soft errors. These ideas constituted an essential topic of the seminar. The goal of this Dagstuhl Seminar was to bring together a diverse group of scientists with expertise in exascale computing to discuss novel ways to make applications resilient against detected and undetected faults. In particular, participants explored the role that algorithms and applications play in the holistic approach needed to tackle this challenge. This article gathers a broad range of perspectives on the role of algorithms, applications and systems in achieving resilience for extreme scale simulations. The ultimate goal is to spark novel ideas and encourage the development of concrete solutions for achieving such resilience holistically.","2022-03","2023-02-15 00:12:44","2023-02-15 00:12:44","2023-02-15 00:12:43","251-285","","2","36","","The International Journal of High Performance Computing Applications","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","green","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95YLMMT9","journalArticle","2022","Abioye, Emmanuel Abiodun; Hensel, Oliver; Esau, Travis J.; Elijah, Olakunle; Abidin, Mohamad Shukri Zainal; Ayobami, Ajibade Sylvester; Yerima, Omosun; Nasirahmadi, Abozar","Precision Irrigation Management Using Machine Learning and Digital Farming Solutions","AgriEngineering","","2624-7402","10.3390/agriengineering4010006","https://www.mdpi.com/2624-7402/4/1/6","Freshwater is essential for irrigation and the supply of nutrients for plant growth, in order to compensate for the inadequacies of rainfall. Agricultural activities utilize around 70% of the available freshwater. This underscores the importance of responsible management, using smart agricultural water technologies. The focus of this paper is to investigate research regarding the integration of different machine learning models that can provide optimal irrigation decision management. This article reviews the research trend and applicability of machine learning techniques, as well as the deployment of developed machine learning models for use by farmers toward sustainable irrigation management. It further discusses how digital farming solutions, such as mobile and web frameworks, can enable the management of smart irrigation processes, with the aim of reducing the stress faced by farmers and researchers due to the opportunity for remote monitoring and control. The challenges, as well as the future direction of research, are also discussed.","2022-02-01","2023-02-15 00:12:40","2023-02-15 00:12:40","2023-02-15 00:12:40","70-103","","1","4","","AgriEngineering","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","gold","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8P3RV5GW","journalArticle","2022","Massaro, Alessandro; Starace, Giuseppe","Advanced and Complex Energy Systems Monitoring and Control: A Review on Available Technologies and Their Application Criteria","Sensors","","1424-8220","10.3390/s22134929","https://www.mdpi.com/1424-8220/22/13/4929","Complex energy monitoring and control systems have been widely studied as the related topics include different approaches, advanced sensors, and technologies applied to a strongly varying amount of application fields. This paper is a systematic review of what has been done regarding energy metering system issues about (i) sensors, (ii) the choice of their technology and their characterization depending on the application fields, (iii) advanced measurement approaches and methodologies, and (iv) the setup of energy Key Performance Indicators (KPIs). The paper provides models about KPI estimation, by highlighting design criteria of complex energy networks. The proposed study is carried out to give useful elements to build models and to simulate in detail energy systems for performance prediction purposes. Some examples of energy complex KPIs based on the integration of the Artificial Intelligence (AI) concept and on basic KPIs or variables are provided in order to define innovative formulation criteria depending on the application field. The proposed examples highlight how modeling a complex KPI as a function of basic variables or KPIs is possible, by means of graph models of architectures.","2022-06-29","2023-02-15 00:12:38","2023-02-15 00:12:38","2023-02-15 00:12:37","4929","","13","22","","Sensors","Advanced and Complex Energy Systems Monitoring and Control","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","gold","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F2896UB2","journalArticle","2022","Athanasiou, Vasileios; Argyropoulou, Evangelia; Antzoulas, Panagiotis; Lakoumentas, John; Diamantakis, George; Gliatis, John","Mosaicplasty of the Femoral Head: A Systematic Review and Meta-Analysis of the Current Literature","Cureus","","2168-8184","10.7759/cureus.31874","https://www.cureus.com/articles/124972-mosaicplasty-of-the-femoral-head-a-systematic-review-and-meta-analysis-of-the-current-literature","","2022-11-24","2023-02-15 00:12:35","2023-02-15 00:12:35","2023-02-15 00:12:34","","","","","","","Mosaicplasty of the Femoral Head","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","gold","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RJ8RN392","journalArticle","2022","Bärfuss, Konrad; Dirksen, Ruud; Schmithüsen, Holger; Bretschneider, Lutz; Pätzold, Falk; Bollmann, Sven; Panten, Philippe; Rausch, Thomas; Lampert, Astrid","Drone-Based Atmospheric Soundings Up to an Altitude of 10 km-Technical Approach towards Operations","Drones","","2504-446X","10.3390/drones6120404","https://www.mdpi.com/2504-446X/6/12/404","Currently, the main in situ upper air database for numerical weather prediction relies on radiosonde and aircraft-based information. Typically, radiosondes are launched at specific sites daily, up to four times per day, and data are distributed worldwide via the GTS net. Aircraft observations are limited to frequent flight routes, and vertical profiles are provided in the vicinity of large cities. However, there are large areas with few radiosonde launches, in particular above the oceans and in the polar areas. In this article, the development and technical details of the unmanned aerial system LUCA (Lightweight Unmanned high Ceiling Aerial system) are described. LUCA has the potential to complement radiosonde and aircraft-based observations up to 10 km in altitude. The system ascends and descends (by electrical power) in spiral trajectories and returns to the launching site. This article discusses the requirements for obtaining high data availability under mid-European and Antarctic conditions, with highly automated take-offs and landings under high surface winds, the capacity to deal with icing, and the ability to operate under high wind speeds. The article presents technical solutions for the design and construction of the system and demonstrates its potential.","2022-12-08","2023-02-15 00:12:32","2023-02-15 00:12:32","2023-02-15 00:12:31","404","","12","6","","Drones","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","gold","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
