,source,document_type,abbrev_source_title,language,pubmed_id,issn,publisher,correspondence_address1,abstract,affiliation,url,note,art_number,doi,number,volume,year,journal,title,author,ENTRYTYPE,ID,coden,keywords,author_keywords,pages,isbn,editor,page_count
0,Scopus,Article,Sci. Rep.,English,32214120,20452322,Nature Research,"deMello, J.C.; Department of Chemistry, NTNUNorway; email: john.demello@ntnu.no","We describe a high resolution laser polarimeter built from commodity optical components. The optical rotation angle is determined by measuring the phase difference between two harmonically modulated polarised laser beams – an ‘object beam’ that passes through the sample under test and a ‘reference beam’ that bypasses the sample. The complete polarimeter may be assembled from low cost off-the-shelf parts for less than £300 (UK Sterling). Data acquisition and analysis are carried out on a microcontroller running an efficient algorithm based on the sliding Discrete Fourier Transform. Despite its low cost, the polarimeter is a fully automatic, research-grade instrument with an accuracy of ±0.0013° and a precision of ±0.0028° – comparable to far costlier commercial instruments. The polarimeter’s ease of use, compact size, fast measurement times and high angular resolution make it a capable and versatile tool for analytical science, while its low cost means it is ideally suited for use in resource-constrained environments and process monitoring. The polarimeter is released here as open hardware, with technical diagrams, a full parts list, and source code for its firmware included as Supplementary Information. © 2020, The Author(s).","Department of Chemistry, NTNU, Trondheim, Norway; Department of Chemistry, Imperial College London, London, United Kingdom",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082496624&doi=10.1038%2fs41598-020-61715-7&partnerID=40&md5=419565dd8abc9235df2db826363bd614,cited By 0,5448,10.1038/s41598-020-61715-7,1,10,2020,Scientific Reports,A high-resolution polarimeter formed from inexpensive optical parts,"Harvie, A.J. and Phillips, T.W. and deMello, J.C.",article,Harvie2020,,,,,,,
1,Scopus,Article,Chem. Eng. J.,English,,13858947,Elsevier B.V.,"deMello, J.C.; Department of Chemistry, NTNUNorway; email: john.demello@ntnu.no","We report a simple, non-invasive sensor for monitoring flow-rate and flow-uniformity in absorbing and non-absorbing (colourless) segmented flows, using time-resolved measurements of optical transmission. The self-contained sensor is simple in design, inexpensive, and easy to assemble, comprising just two light-emitting diodes, two photodiodes, a 3D-printed housing and a low-cost microcontroller development board. All calculations are carried out directly on the microcontroller, using a computationally efficient algorithm based on the sliding discrete Fourier transform. The sensor is released as open hardware, with design files, source code and assembly instructions included in the Supporting Information. © 2020 The Author(s)","Department of Chemistry, NTNU, Trondheim, Norway",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082872308&doi=10.1016%2fj.cej.2020.124908&partnerID=40&md5=5f0c2d19282a3869f2b5f0d64b5555c2,cited By 0,124908,10.1016/j.cej.2020.124908,,394,2020,Chemical Engineering Journal,Optical determination of flow-rate and flow-uniformity in segmented flows,"Harvie, A.J. and deMello, J.C.",article,Harvie2020,CMEJA,"3D printers;  Discrete Fourier transforms;  Flow rate;  Microcontrollers, Assembly instructions;  Computationally efficient;  Flow uniformity;  Non-invasive sensors;  Open hardware;  Optical determination;  Segmented flow;  Time resolved measurement, Light transmission",Droplets;  Flow chemistry;  Multiphase flow;  Segmented flow;  Sliding discrete Fourier transform,,,,
2,Scopus,Article,Technol. Forecast. Soc. Change,English,,00401625,Elsevier Inc.,"Pearce, J.M.; Department of Materials Science & Engineering and Department of Electrical & Computer Engineering, Michigan Technological University, 1400 Townsend, United States; email: pearce@mtu.edu","Free and open-source hardware (FOSH) is rapidly gaining momentum because it provides customized research hardware with over 90% savings compared to the costs of proprietary tools. However, the focused skill sets of researchers who aim to facilitate their own research limit FOSH complexity. The most expensive research equipment normally requires an interdisciplinary team. To overcome this complexity barrier and obtain large returns on investment for research funders by replacing the most expensive proprietary research equipment with FOSH, new development funding mechanisms are needed. To guide such research policy, this paper provides the first analysis of the strategic national benefit of applying the FOSH approach to major research equipment for any nation. The results of an example analysis for a single nation indicate Finland's science funders could save between 2.84–27.7m€/year directly on scientific equipment purchases if research hardware is converted to FOSH and the nation would likely garner the well-established concomitant benefits of increased research innovation within their economy. Finally, a detailed generalized model for determining national research policy in hardware development is derived and research policy mechanisms for accelerating FOSH deployment and greater accessibility to research equipment are discussed. © 2020 Elsevier Inc.","Department of Electronics and Nanoengineering, School of Electrical Engineering, Aalto University, Espoo, Finland; Department of Mechanical Engineering, Aalto University, Espoo, Finland; Department of Chemical and Metallurgical Engineering, School of Chemical Engineering, Aalto University, Espoo, Finland; Department of Materials Science & Engineering and Department of Electrical & Computer Engineering, Michigan Technological University, 1400 Townsend, Houghton, MI, United States",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081018523&doi=10.1016%2fj.techfore.2020.119986&partnerID=40&md5=23466d62ddcc6d45445f1e3ba6ad88c7,cited By 0,119986,10.1016/j.techfore.2020.119986,,155,2020,Technological Forecasting and Social Change,Towards national policy for open source hardware research: The case of Finland,"Heikkinen, I.T.S. and Savin, H. and Partanen, J. and Seppälä, J. and Pearce, J.M.",article,Heikkinen2020,,"Economics, Economics of science;  Open sources;  Open-source hardwares;  Research expenditure;  Research tools, Open systems, accessibility;  economic policy;  equipment;  hardware;  public spending;  research;  technology policy, Finland",Economics of science;  Equipment;  Open source;  Open source hardware;  Research expenditures;  Research tools,,,,
3,Scopus,Article,Chemometr. Intelligent Lab. Syst.,English,,01697439,Elsevier B.V.,"Siano, G.G.; Instituto de Investigación en Señales, Sistemas e Inteligencia Computacional, sinc(i), FICH-UNL/CONICET, Ciudad Universitaria UNLArgentina; email: gsiano@sinc.unl.edu.ar","In this work, the generation and posterior chemometric resolution of third-order data, obtained from samples processed by liquid chromatography (LC) with online registering of excitation-emission fluorescence matrices (EEM) is reported. Samples were instrumentally processed in a relatively short time, and neither an intentional reduction of the linear flow rate nor an unconventional fluorescence instrument were required. Through the inclusion of external circuitry based on open-source hardware, the occurrence time of each individual fluorescence intensity reading was recorded. For the reported instrumental setup, irregular signal sampling was verified. In order to consider samples-specific time measurements, the PARAFAC (Parallel Factor Analysis) algorithm, and the derived APARAFAC (Augmented-PARAFAC) strategy, were adapted. The functional information was employed during the computational stages, through the development and implementation of smoothing strategies. To tackle differences between the rate of spectral acquisition and the rate of change in the concentration of the mobile fluorophores, Expectation Maximization was implemented. Data from samples with one calibrated analyte (Vitamin B6-Pyridoxine), in presence of uncalibrated interferents, were modeled. In order to preserve the original data structure, unfolding data operations were minimized. The resolved profiles of all species were in agreement with the corresponding chromatographic and spectral references. Results suggest that the effects derived from the loss of trilinearity previously reported in the literature for LC-EEM data, depend on interpretation and subsequent modeling of the data. The reported strategies can be useful with other flow techniques and kinetics. © 2020 Elsevier B.V.","Instituto de Investigación en Señales, Sistemas e Inteligencia Computacional, sinc(i), FICH-UNL/CONICET, Ciudad Universitaria UNL, Santa Fe, S3000ZAA, Argentina; Cátedra de Química Analítica II, FBCB-UNL, Ciudad Universitaria UNL, Santa Fe, S3000ZAA, Argentina; Cátedra de Bromatología y Nutrición, FBCB-UNL, Ciudad Universitaria UNL, Santa Fe, S3000ZAA, Argentina; Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Godoy Cruz 2290, Buenos Aires, C1425FQB, Argentina",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079368702&doi=10.1016%2fj.chemolab.2020.103961&partnerID=40&md5=20f94831b29f60027cfe9a635347dffe,cited By 0,103961,10.1016/j.chemolab.2020.103961,,199,2020,Chemometrics and Intelligent Laboratory Systems,Chemometric handling of spectral-temporal dependencies for liquid chromatography data with online registering of excitation-emission fluorescence matrices,"Siano, G.G. and Vera Candioti, L. and Giovanini, L.L.",article,Siano2020,CILSE,"pyridoxine, Article;  concentration (parameter);  excitation emission fluorescence matrix;  flow rate;  fluorescence analysis;  liquid chromatography;  mathematical model;  online system;  parallel factor analysis;  priority journal;  process development;  signal processing;  validation study",Excitation-Emission fluorescence matrices;  Liquid chromatography;  Loss of trilinearity;  Multi-way data analysis;  Open-source;  Third-order data,,,,
4,Scopus,Review,Crit. Rev. Biotechnol.,English,32075446,07388551,Taylor and Francis Ltd,"Nadra, A.D.; Departamento de Fisiología y Biología Molecular y Celular, Facultad de Ciencias Exactas y Naturales, Consejo Nacional de Investigaciones Científicas y Técnicas. Instituto de Química Biológica de la Facultad de Ciencias Exactas y Naturales (IQUIBICEN), Instituto de Biociencias, Universidad de Buenos AiresArgentina; email: anadra@qi.fcen.uba.ar","Synthetic biology emerged in the USA and Europe twenty years ago and quickly developed innovative research and technology as a result of continued funding. Synthetic biology is also growing in many developing countries of Africa, Asia and Latin America, where it could have a large economic impact by helping its use of genetic biodiversity in order to boost existing industries. Starting in 2011, Argentine synthetic biology developed along an idiosyncratic path. In 2011–2012, the main focus was not exclusively research but also on community building through teaching and participation in iGEM, following the template of the early “MIT school” of synthetic biology. In 2013–2015, activities diversified and included society-centered projects, social science studies on synthetic biology and bioart. Standard research outputs such as articles and industrial applications helped consolidate several academic working groups. Since 2016, the lack of a critical mass of researchers and a funding crisis were partially compensated by establishing links with Latin American synthetic biologists and with other socially oriented open technology collectives. The TECNOx community is a central node in this growing research and technology network. The first four annual TECNOx meetings brought together synthetic biologists with other open science and engineering platforms and explored the relationship of Latin American technologies with entrepreneurship, open hardware, ethics and human rights. In sum, the socioeconomic context encouraged Latin American synthetic biology to develop in a meandering and diversifying manner. This revealed alternative ways for growth of the field that may be relevant to other developing countries. © 2020, © 2020 Informa UK Limited, trading as Taylor & Francis Group.","Departamento de Fisiología y Biología Molecular y Celular, Facultad de Ciencias Exactas y Naturales, Consejo Nacional de Investigaciones Científicas y Técnicas. Instituto de Química Biológica de la Facultad de Ciencias Exactas y Naturales (IQUIBICEN), Instituto de Biociencias, Biotecnología y Biología Traslacional (iB3), Universidad de Buenos Aires, Buenos Aires, Argentina; Facultad de Ciencias Sociales, Consejo Nacional de Investigaciones Científicas y Técnicas, Instituto de Investigaciones “Gino Germani”, Universidad de Buenos Aires, Buenos Aires, Argentina; Division of Biological and Environmental Sciences and Engineering (BESE), Computational Bioscience Research Center (CBRC), King Abdullah University of Science and Technology (KAUST), Thuwal, Saudi Arabia; Protein Physiology Laboratory, Consejo Nacional de Investigaciones Científicas y Técnicas. Instituto de Química Biológica de la Facultad de Ciencias Exactas y Naturales (IQUIBICEN), Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires, Buenos Aires, Argentina",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079671757&doi=10.1080%2f07388551.2020.1712322&partnerID=40&md5=280be6c783cc817f97a43027e8cb1c7c,cited By 0,,10.1080/07388551.2020.1712322,3,40,2020,Critical Reviews in Biotechnology,Developing synthetic biology in Argentina: the Latin American TECNOx community as an alternative way for growth of the field,"Nadra, A.D. and Rodríguez, P.E. and Grunberg, R. and Olalde, L.G. and Sánchez, I.E.",article,Nadra2020357,CRBTE,"Biodiversity;  Developing countries;  Engineering research;  Industrial research;  Professional aspects, Argentina;  Community;  iGEM;  Latin America;  TECNOx, Synthetic biology, Africa;  Argentina;  Asia;  biodiversity;  biologist;  developing country;  entrepreneurship;  ethics;  Europe;  funding;  human;  human rights;  review;  sociology;  synthetic biology;  teaching;  article",Argentina;  Community;  iGEM;  Latin America;  Synthetic Biology;  TECNOx,357-364,,,
5,Scopus,Article,HardwareX,English,,24680672,Elsevier Ltd,,"This paper presents the design, construction, operation, and validation of a robotic gantry platform specifically designed for studying fish-robot interaction. The platform has five degrees of freedom to manipulate the three-dimensional position, yaw angle, and the pitch of a lure. Additionally, it has a four-conductor slip ring that allows power and data to be transmitted to the lure for the operation of fins and other actuators that increase realism or act as stimuli to focal fish during an ethorobotic experiment. The design is open-source, low-cost, and includes purpose-built electronics, software, and hardware to make it extensible and customizable for a number of applications with varying requirements. © 2020 The Author(s)","Lafayette College, United States",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082830991&doi=10.1016%2fj.ohx.2020.e00107&partnerID=40&md5=58f3dcc3f005a2e2b2ffedb6106c0c98,cited By 0,e00107,10.1016/j.ohx.2020.e00107,,7,2020,HardwareX,Open-source five degree of freedom motion platform for investigating fish-robot interaction,"Utter, B. and Brown, A.",article,Utter2020,,"Application programs;  Degrees of freedom (mechanics);  Fish;  Machine design;  Mechatronics;  Open systems;  Robotics;  Robots, Customizable;  Degree of freedom;  Dimensional position;  Ethorobotics;  Fish robots;  Motion platforms;  Open sources;  Open-source hardwares, Open source software",Ethorobotics;  Fish-robot interaction;  Mechatronics;  Open-source hardware;  Robotics,,,,
6,Scopus,Article,HardwareX,English,,24680672,Elsevier Ltd,"Purser, A.; Alfred Wegener Institute for Polar and Marine ScienceGermany; email: autun.purser@awi.de","Imaging underwater can be particularly problematic and expensive given the harsh environmental conditions posed by salinity and for some deployments, pressure. To counter these difficulties, expensive waterproof pressure resistant housings are often used, commonly built from expensive materials such as titanium, if intended for long duration deployments. Further, environmental investigations often benefit from replicate data collection, which additionally increases study costs. In this paper we present a new camera system, developed with off the shelf and 3D printed cost effective components for use in shallow waters of <150 m depth. Integrating Raspberry Pi Zero W microcomputers with open source design files and software, it is hoped these camera systems will be of interest to the global marine and freshwater research communities. © 2020","Alfred Wegener Institute for Polar and Marine Science, Bremerhaven, Germany; Max Planck Institute for Marine Microbiology and Ecology, Bremen, Germany; GEOMAR, Kiel, Germany; GEOMAR Helmholtz Centre for Ocean Research Kiel, Kiel, Germany",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082171684&doi=10.1016%2fj.ohx.2020.e00102&partnerID=40&md5=a228c02fa00303eb820419a0f2d2a8f7,cited By 0,e00102,10.1016/j.ohx.2020.e00102,,7,2020,HardwareX,"PlasPI marine cameras: Open-source, affordable camera systems for time series marine studies","Purser, A. and Hoge, U. and Lemburg, J. and Bodur, Y. and Schiller, E. and Ludszuweit, J. and Greinert, J. and Wenzhöfer, F.",article,Purser2020,,"3D printers;  Cameras;  Cost effectiveness;  Open source software;  Rapid prototyping;  Time series;  Underwater imaging, Cost effective;  Data collection;  Environmental conditions;  Environmental investigation;  Open-source hardwares;  Pressure-resistant;  Research communities;  Shallow waters, Open systems",Marine imaging;  Open source hardware;  Rapid prototyping;  Raspberry Pi;  Time series,,,,
7,Scopus,Article,HardwareX,English,,24680672,Elsevier Ltd,"Ren, C.L.; Mechanical and Mechatronics Engineering, University of Waterloo, 200 University Avenue West, Canada; email: c3ren@uwaterloo.ca","An open-source precision pressure pump system and control software is presented, primarily designed for the experimental microfluidics community, although others may find additional uses for this precision pressure source. This mechatronic system is coined ‘µPump,’ and its performance rivals that of commercially available systems, at a fraction of the cost. The pressure accuracy, stability, and resolution are 0.09%, 0.02%, and 0.02% of the full span, respectively. The settling time to reach 2 bar from zero and stabilize is less than 2 s. Material for building a four-channel µPump (approx. $3000 USD) or an eight-channel µPump (approx. $5000 USD) is approximately a quarter, or a third of the cost of buying a high-end commercial system, respectively. The design rationale is presented, together with documented design details and software, so that the system may be replicated or customized to particular applications. µPump can be used for two-phase droplet microfluidics, single-phase microfluidics, gaseous flow microfluidics and any other applications requiring precise fluid handling. µPump provides researchers, students, and startups with a cost-effective solution for precise fluid control. © 2020","Mechanical and Mechatronics Engineering, University of Waterloo, 200 University Avenue West, Waterloo, N2L 3G1, Canada",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078881969&doi=10.1016%2fj.ohx.2020.e00096&partnerID=40&md5=02e1acf74ef80329664d3beb07da159d,cited By 0,e00096,10.1016/j.ohx.2020.e00096,,7,2020,HardwareX,µPump: An open-source pressure pump for precision fluid handling in microfluidics,"Gao, R.Z. and Hébert, M. and Huissoon, J. and Ren, C.L.",article,Gao2020,,"Application programs;  Biochips;  BioMEMS;  Cost effectiveness;  Costs;  Drops;  Lab-on-a-chip;  Microfluidics;  Open source software;  Pneumatics;  Pumps, Droplet microfluidics;  Fluid handling;  Laboratory automation;  Micro total analysis systems;  Open-source hardwares;  Pressure-driven flows, Open systems",Active control droplet microfluidics;  Biochip;  BioMEMs;  Fluid handling;  Lab on a chip;  Laboratory automation;  Micro total analysis systems (µTAS);  Microfluidics;  Open-source hardware;  Pneumatics;  Pressure-driven flow,,,,
8,Scopus,Article,Renew. Energy,English,,09601481,Elsevier Ltd,"Bonilla, J.; CIEMAT, Plataforma Solar de Almería, Ctra. de Senés s/n, Tabernas, Spain; email: javier.bonilla@psa.es","This work presents a solar tower power mockup with the aim of acting as a test-bed facility for evaluating new advanced control techniques. The mockup comprises low-cost hardware, open-source software together with 3D-printed structures for the elements in the system: a heliostat and a tower. The tower includes an open-hardware Arduino board, a Photovoltaic (PV) panel and a Liquid Crystal Display (LCD) to measure and show the incident power. The heliostat includes a Raspberry Pi, a touchscreen display, and two servo motors. The main goal of this mockup is to serve as a first stage test-bed and demonstration facility for analyzing new developments with respect to advanced control techniques, for instance new heliostat tracking methods. This paper presents this mockup together with a new heliostat tracking method based on computer vision and deep learning that it is currently under development. © 2019 Elsevier Ltd","CIEMAT, Plataforma Solar de Almería, Ctra. de Senés s/n, Tabernas, Almería, 04200, Spain; CIESOL Research Centre for Solar Energy, UAL-PSA.CIEMAT Joint Centre, Almería, Spain; University of Almería, Ctra. Sacramento s/n, Almería, 04120, Spain",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076706786&doi=10.1016%2fj.renene.2019.12.075&partnerID=40&md5=f7e15f832e17bf8b5f17ae62824f047b,cited By 0,,10.1016/j.renene.2019.12.075,,149,2020,Renewable Energy,Solar tower power mockup for the assessment of advanced control techniques,"Carballo, J.A. and Bonilla, J. and Berenguel, M. and Fernández, J. and García, G.",article,Carballo2020682,,"3D printers;  Automation;  Chromium compounds;  Computer vision;  Control engineering;  Equipment testing;  Liquid crystal displays;  Liquid crystals;  Mockups;  Object detection;  Open source software;  Open systems;  Solar energy;  Towers, Advanced control;  Concentrated solar power;  Liquid crystal display(LCD);  Low cost hardware;  Photovoltaic panels;  Printed structures;  Solar power tower;  Touch screen displays, Deep learning, computer vision;  hardware;  learning;  photovoltaic system;  power generation;  software;  solar power, Rubus glaucus",Automatic control;  Computer vision;  Concentrated solar power;  Deep learning;  Object detection;  Solar power tower,682-690,,,
9,Scopus,Conference Paper,Int Conf Archit Support Program Lang Oper Syst ASPLOS,English,,,Association for Computing Machinery,,"Heterogeneous architectures and heterogeneous-ISA designs are growing areas of computer architecture and system software research. Unfortunately, this line of research is significantly hindered by the lack of experimental systems and modifiable hardware frameworks. This work proposes BYOC, a ""Bring Your Own Core"" framework that is specifically designed to enable heterogeneous-ISA and heterogeneous system research. BYOC is an open-source hardware framework that provides a scalable cache coherence system, that includes out-of-the-box support for four different ISAs (RISC-V 32-bit, RISC-V 64-bit, x86, and SPARCv9) and has been connected to ten different cores. The framework also supports multiple loosely coupled accelerators and is a fully working system supporting SMP Linux. The Transaction-Response Interface (TRI) introduced with BYOC has been specifically designed to make it easy to add in new cores with new ISAs and memory interfaces. This work demonstrates multiple multi-ISA designs running on FPGA and characterises the communication costs. This work describes many of the architectural design trade-offs for building such a flexible system. BYOC is well suited to be the premiere platform for heterogeneous-ISA architecture, system software, and compiler research. © 2020 Copyright held by the owner/author(s). Publication rights licensed to ACM.","Princeton University, United States; University of Washington, United States; ETH Zürich, Switzerland; Harvard Medical School, United States; NVIDIA, United States; BITS Pilani, India; Università di Bologna, Italy",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082382576&doi=10.1145%2f3373376.3378479&partnerID=40&md5=c810a8098cad93095adbe52d6f227b5e,cited By 0,,10.1145/3373376.3378479,,,2020,International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS,"BYOC: A ""bring your own core"" framework for heterogeneous-ISA research","Balkind, J. and Lim, K. and Schaffner, M. and Gao, F. and Chirkov, G. and Li, A. and Lavrov, A. and Nguyen, T.M. and Fu, Y. and Zaruba, F. and Gulati, K. and Benini, L. and Wentzlaff, D.",conference,Balkind2020699,85MCA,"Architecture;  Computer hardware;  Computer operating systems;  Economic and social effects;  Open source software;  Open systems, Heterogeneous-ISA;  Many-core;  Open sources;  Research platforms;  SPARC, Computer architecture",Architecture;  Heterogeneous-ISA;  Manycore;  Open source;  Research platform;  RISC-V;  SPARC;  X86,699-714,9781450371025,,
