,url,pages,crossref,month,language,publisher,year,volume,author,journal,title,type,ID
0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532019000601309&lang=en,1309-1317,10.21577/0103-5053.20190029,05,en,scielo,2019,30,"Silva, Daniel M.,  Pereira, Álvaro J.,  Pierre, Tatiana D. Saint’,  Esteves, Pierre M.,  Rocha, Anderson A.,  Escalfoni Jr., Rainério,  Duyck, Christiane",{Journal of the Brazilian Chemical Society},{Automatized Separation of Fractions from Petroleum Based on Spectrophotometric Signal Derivative Using Open-Source Hardware for the Determination of Ni and V Linked to Porphyrins},article,SILVA2019
1,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422018001001196&lang=en,1196-1199,10.21577/0100-4042.20170289,12,"en,  pt",scielo,2018,41,"Soares, Fernanda S. C.,  Vieira, Alan L.,  Soares, Márcio S.,  Sant&#039;Anna, Marcus V.,  Nascentes, Rejane,  Bossu, Carla M.",{Química Nova},{CONSTRUÇÃO DE UMA BOMBA PERISTÁLTICA E DE UM SISTEMA DE DETECÇÃO UTILIZANDO UM HARDWARE DE CÓDIGO FONTE ABERTO “ARDUINO” PARA ANÁLISE EM FLUXO},article,SOARES2018
2,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612017000700038&lang=en,38-41,10.1590/1678-457x.06617,12,en,scielo,2017,37,"NASCIMENTO, Wesley William Gonçalves,  SOUZA, Mariane Parma Ferreira de,  VALENTE, Ana Carolina Menezes Mendonça,  ANJOS, Virgílio de Carvalho dos,  FURTADO, Marco Antônio Moreira,  BELL, Maria José Valenzuela",{Food Science and Technology},{Results from portable and of low cost equipment developed for detection of milk adulterations},article,NASCIMENTO2017
3,http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642017000500007&lang=en,45-54,,,"es,  en",scielo,2017,28,"Guillot, Jordan D,  Robles, Carlos A,  Callejas, Jesús D",{Información tecnológica},{Adquisición de Señales Ambientales para un Sistema de Alerta Temprana},article,GUILLOT2017
4,http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-915X2016000300006&lang=en,57-66,10.4067/S0718-915X2016000300006,12,"es,  en",scielo,2016,15,"Aparicio, Pablo,  Salmerón, José Manuel,  Ruiz, Álvaro,  Sánchez, Francisco José,  Brotas, Luisa",{Revista de la construcción},{The globe thermometer in comfort and environmental studies in buildings},article,APARICIO2016
5,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422016000300305&lang=en,305-309,10.5935/0100-4042.20160020,04,en,scielo,2016,39,"González, Pablo,  Pérez, Nicolás,  Knochen, Moisés",{Química Nova},{LOW COST ANALYZER FOR THE DETERMINATION OF PHOSPHORUS BASED ON OPEN-SOURCE HARDWARE AND PULSED FLOWS},article,GONZÁLEZ2016
6,http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532016000100025&lang=en,198-205,10.15446/dyna.v83n195.49828,02,"es,  en",scielo,2016,83,"Aristizábal, Luis M.,  Rúa, Santiago,  Gaviria, Carlos E.,  Osorio, Sandra P.,  Zuluaga, Carlos A.,  Posada, Norha L.,  Vásquez, Rafael E.",{DYNA},{Design of an open source-based control platform for an underwater remotely operated vehicle},article,ARISTIZÁBAL2016
7,http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-11292016000100009&lang=en,85-92,,01,"es,  en,  pt",scielo,2016,25,"Millán-Rojas, Edwin Eduardo,  Gallego-Torres, Adriana Patricia,  Chico-Vargas, Diana Carolina",{Revista Facultad de Ingeniería},{Simulación de una red Grid con máquinas virtuales para crear un entorno de aprendizaje de la computación de alto desempeño},article,MILLÁN-ROJAS2016
8,http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0379-39822015000100015&lang=en,15-23,,03,"en,  es",scielo,2015,28,"Murillo-Soto, Luis Diego",{Revista Tecnología en Marcha},{Automatización de pequeña escala con Open Hardware},article,MURILLO-SOTO2015
9,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2446-47402015000100026&lang=en,26-32,10.1590/2446-4740.0653,03,en,scielo,2015,31,"Araujo, Carlos Eduardo de,  Abatti, Paulo José,  Da Cunha, Cláudio,  Gómez, Alexander,  Dombrowski, Patrícia Andréia",{Research on Biomedical Engineering},{In vitro evaluation of a closed-loop feedback system for dopamine concentration control},article,ARAUJO2015
10,http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-77992015000100007&lang=en,75-86,,01,"es,  en",scielo,2015,18,"González-Barajas, Javier E.,  Velandia-Cárdenas, Cristian,  Nieto-Camacho, Johann",{TecnoLógicas},{Implementación de filtro digital en tiempo real para detección de la onda R},article,GONZÁLEZ-BARAJAS2015
11,http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-82612014000200007&lang=en,65-72,10.15665/rp.v12i2.290,07,"es,  en",scielo,2014,12,"Herrera, Jean,  Barrios, Mauricio,  Pérez, Saúl",{Prospectiva},{Diseño e implementación de un sistema scada inalámbrico mediante la tecnología zigbee y arduino},article,HERRERA2014
12,http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2518-44312014000100007&lang=en,100-116,,,"es,  en",scielo,2014,1,"Vargas, Tatiana,  Abrahamse, Augusta",{Investigación &amp; Desarrollo},{TRAZADOR DE CURVAS I-V DE CÓDIGO ABIERTO PARA MONITOREO DE RENDIMIENTO DE PANELES FOTOVOLTAICOS EN BOLIVIA},article,VARGAS2014
13,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422013000800023&lang=en,1232-1235,10.1590/S0100-40422013000800023,,"en,  pt",scielo,2013,36,"Kamogawa, Marcos Y.,  Miranda, Jeová Correia",{Química Nova},{Uso de hardware de código fonte aberto &quot;Arduino&quot; para acionamento de dispositivo solenoide em sistemas de análises em fluxo},article,KAMOGAWA2013
14,http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000500013&lang=en,373-378,10.2471/BLT.11.099408,05,"en,  fr,  es",scielo,2012,90,"Alkmim, Maria Beatriz,  Figueira, Renato Minelli,  Marcolino, Milena Soriano,  Cardoso, Clareci Silva,  Abreu, Monica Pena de,  Cunha, Lemuel Rodrigues,  Cunha, Daniel Ferreira da,  Antunes, Andre Pires,  Resende, Adélson Geraldo de A,  Resende, Elmiro Santos,  Ribeiro, Antonio Luiz Pinho",{Bulletin of the World Health Organization},"{Improving patient access to specialized health care: the Telehealth Network of Minas Gerais, Brazil}",article,ALKMIM2012
15,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-32882011000300002&lang=en,299-308,10.3922/j.psns.2011.3.002,12,en,scielo,2011,4,"Makiama, Sheila T,  Goulart, Paulo R. K,  Galvão, Olavo F.",{Psychology &amp; Neuroscience},{Comparison of two computerized procedures for the assessment of color discrimination in Cebus apella},article,MAKIAMA2011
16,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132010000400001&lang=en,315-319,10.1590/S0366-69132010000400001,12,"en,  pt",scielo,2010,56,"Lorenzi, R. F. de L.,  Perottoni, C. A.,  Zorzi, J. E.",{Cerâmica},{Adaptação de um equipamento para ensaios de desgaste de materiais cerâmicos},article,LORENZI2010
17,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2010001300012&lang=en,354-363,10.1590/S0066-782X2010005000090,07,"es,  en,  pt",scielo,2010,95,"Nogueira, Fernando dos Santos,  Pompeu, Fernando Augusto Monteiro Sabóia",{Arquivos Brasileiros de Cardiologia},{Precisão da medida do limiar anaeróbio por meio do calorímetro portátil},article,NOGUEIRA2010
18,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06831999000400002&lang=en,763-771,10.1590/S0100-06831999000400002,12,"en,  pt",scielo,1999,23,"Macedo, A.,  Crestana, S.",{Revista Brasileira de Ciência do Solo},{Avaliação da macroporosidade e da densidade de partículas do solo através da microtomografia de raios-x},article,MACEDO1999
19,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90161993000100018&lang=en,127-139,10.1590/S0103-90161993000100018,05,"en,  pt",scielo,1993,50,"Nogueira, J.N.,  Cantarelli, P.R.,  Gallo, C.R.,  Moreno, I.A.M.,  Matsuura, F.C.A.V.",{Scientia Agricola},"{Efeito da acidificação, fermentação e adição de cálcio na qualidade de couve-flor (Brassica oleraceae L.) processada pelo calor}",article,NOGUEIRA1993
