title,link,cited,relatedLink,position,publishedData
Democratizing production through open source knowledge: from open software to open hardware,https://journals.sagepub.com/doi/abs/10.1177/0163443712449497,Cited by 131,"https://scholar.google.com/scholar?q=related:CamKre-emh4J:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",1,"A Powell - Media, Culture & Society, 2012 - journals.sagepub.com"
Building a maker community around an open hardware platform,https://dl.acm.org/doi/abs/10.1145/3025453.3026056,Cited by 35,"https://scholar.google.com/scholar?q=related:Nm8HhDRj5sAJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",2,"F Morreale, G Moro, A Chamberlain, S Benford… - Proceedings of the …, 2017 - dl.acm.org"
Open hardware: A role to play in wireless sensor networks?,https://www.mdpi.com/1424-8220/15/3/6818,Cited by 99,"https://scholar.google.com/scholar?q=related:HtYYTf-7kz8J:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",3,"R Fisher, L Ledwaba, G Hancke, C Kruger - Sensors, 2015 - mdpi.com"
Leveraging open hardware to alleviate the burden of COVID-19 on global health systems,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3000730,Cited by 41,"https://scholar.google.com/scholar?q=related:wA0wMJA3aKoJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",4,"A Maia Chagas, JC Molloy, LL Prieto-Godino… - PLoS …, 2020 - journals.plos.org"
An open source and open hardware embedded metric optical flow cmos camera for indoor and outdoor applications,https://ieeexplore.ieee.org/abstract/document/6630805/,Cited by 343,"https://scholar.google.com/scholar?q=related:6tbc2cueVL8J:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",5,"D Honegger, L Meier, P Tanskanen… - … on Robotics and …, 2013 - ieeexplore.ieee.org"
'Open-hardware'pioneers push for low-cost lab kit,https://www.nature.com/articles/531147a,Cited by 33,"https://scholar.google.com/scholar?q=related:0_8zE_5R9-EJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",6,"E Gibney - Nature News, 2016 - nature.com"
An open-hardware platform for optogenetics and photobiology,https://www.nature.com/articles/srep35363,Cited by 72,"https://scholar.google.com/scholar?q=related:oOcYkyYpjI4J:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",7,"KP Gerhardt, EJ Olson, SM Castillo-Hair… - Scientific Reports, 2016 - nature.com"
VTA: an open hardware-software stack for deep learning,https://deepai.org/publication/vta-an-open-hardware-software-stack-for-deep-learning,Cited by 29,"https://scholar.google.com/scholar?q=related:0We1GylW_qAJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",8,"T Moreau, T Chen, Z Jiang, L Ceze, C Guestrin… - arXiv preprint arXiv …, 2018 - deepai.org"
Getting started with open‐hardware: Development and control of microfluidic devices,https://onlinelibrary.wiley.com/doi/abs/10.1002/elps.201400128,Cited by 47,"https://scholar.google.com/scholar?q=related:FRTHMW3L75gJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",9,"ET da Costa, MF Mora, PA Willis, CL do Lago… - …, 2014 - Wiley Online Library"
SEnviro: A sensorized platform proposal using open hardware and open standards,https://www.mdpi.com/1424-8220/15/3/5555,Cited by 41,"https://scholar.google.com/scholar?q=related:zvDIbPZ8fgAJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",10,"S Trilles, A Luján, Ó Belmonte, R Montoliu… - Sensors, 2015 - mdpi.com"
