PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
S	Medina, BE; Manera, LT		Fortino, G; Zhou, MC; Lukszo, Z; Vasilakos, AV; Basile, F; Palau, C; Liotta, A; Fanti, MP; Guerrieri, A; Vinci, A		Medina, Bruno Eduardo; Manera, Leandro Tiago			Retrofit of air conditioning systems through an Wireless Sensor and Actuator Network An IoT-based application for smart buildings	PROCEEDINGS OF THE 2017 IEEE 14TH INTERNATIONAL CONFERENCE ON NETWORKING, SENSING AND CONTROL (ICNSC 2017)	IEEE International Conference on Networking Sensing and Control		English	Proceedings Paper	14th IEEE International Conference on Networking, Sensing and Control (ICNSC)	MAY 16-18, 2017	Calabria, ITALY	IEEE		Wireless Sensor Networks; Internet of Things; Air Conditioner; Smart buildings; XBee		This paper presents the usage of Internet of Things concept as a tool for retrofitting air conditioning systems. The proposed technology consists in an embedded system developed with an open-source hardware platform and connected through a wireless sensor and actuator mesh network. By learning commands from the air conditioner's remote control, the system is capable of implementing automatic control of the air conditioner equipment. Through a central command unit, it is possible to configure timers to turn on and off all devices connected to the network. The system also adds intelligence to conventional equipment by making use of a motion sensor, avoiding electricity waste. An automatic temperature control is implemented through sensors that monitor external conditions. By making use of a mesh network based on DigiMesh protocol, each device acts like a router, increasing network range and making it easier to add or remove new devices. The proposed system was validated through case study.	[Medina, Bruno Eduardo; Manera, Leandro Tiago] Univ Estadual Campinas, Dept Semicond Instruments & Photon, Campinas, SP, Brazil	Medina, BE (corresponding author), Univ Estadual Campinas, Dept Semicond Instruments & Photon, Campinas, SP, Brazil.	medina.bruno@outlook.com; manera@dsif.fee.unicamp.br	Medina, Bruno/ABG-3954-2020					14	5	5	0	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1810-7869		978-1-5090-4429-0	IEEE INT C NETW SENS			2017							49	53					5	Automation & Control Systems; Computer Science, Hardware & Architecture; Engineering, Electrical & Electronic	Automation & Control Systems; Computer Science; Engineering	BM4LQ	WOS:000463480000009					2021-02-18	
S	Culman, M; Portocarrero, JMT; Guerrero, CD; Bayona, C; Torres, JL; de Farias, CM		Fortino, G; Zhou, MC; Lukszo, Z; Vasilakos, AV; Basile, F; Palau, C; Liotta, A; Fanti, MP; Guerrieri, A; Vinci, A		Culman, Maria; Portocarrero, Jesus M. T.; Guerrero, Cesar D.; Bayona, Cristihian; Luis Torres, Jorge; de Farias, Claudio Miceli			PalmNET: an open-source wireless sensor network for oil palm plantations	PROCEEDINGS OF THE 2017 IEEE 14TH INTERNATIONAL CONFERENCE ON NETWORKING, SENSING AND CONTROL (ICNSC 2017)	IEEE International Conference on Networking Sensing and Control		English	Proceedings Paper	14th IEEE International Conference on Networking, Sensing and Control (ICNSC)	MAY 16-18, 2017	Calabria, ITALY	IEEE				In this paper, a Wireless Sensor Network (WSN) solution is proposed for soil's condition measurement to monitor oil palm plantations (PalmNET) according to agricultural meteorological practices. The PalmNET monitoring system is composed by a WSN used for in-field soil's condition measurement and a web-server interface for data visualization. PalmNET can automatically collect soil moisture data and transmit field data through a ZigBee network to a web-server. The PalmNET proof-of-concept is a WSN built upon open-source hardware and software, which includes two sensor nodes, a sink and a Gateway with a GPRS module. The WSN was deployed in Palmar de la Vizcaina Experimental Field Station having the following proof of concept objectives: (i) collect and centralize soil moisture data and (ii) post data to a web application interface. Results have revealed PalmNET as a feasible, automated and solar powered application for oil palm plantations in Colombia.	[Culman, Maria; Portocarrero, Jesus M. T.; Guerrero, Cesar D.] Univ Autonoma Bucaramanga, UNAB, Bucaramanga, Colombia; [Bayona, Cristihian; Luis Torres, Jorge] CENIPALMA, Corp Ctr Invest Palma Aceite, Bogota, Colombia; [de Farias, Claudio Miceli] Univ Fed Rio de Janeiro, Rio de Janeiro, Brazil	Culman, M (corresponding author), Univ Autonoma Bucaramanga, UNAB, Bucaramanga, Colombia.	mculman@unab.edu.co; jtalavera@unab.edu.co; cguerrer@unab.edu.co; cbayona@cenipalma.org; jltorres@cenipalma.org; claudiofarias@nce.ufrj.br	Culman, Maria/ABB-2948-2020; Guerrero, Cesar D./N-5181-2019; Jarri, Bayona-Rodriguez Cristihian/V-2933-2018	Culman, Maria/0000-0003-0844-4872; Guerrero, Cesar D./0000-0002-3286-6226; Jarri, Bayona-Rodriguez Cristihian/0000-0002-7396-0024	Universidad Autonoma de Bucaramanga [E56010]; Corporacion Centro de Investigacion en Palma de Aceite - CENIPALMA; Universidad Tecnologica de Bolivar; Universidad Autonoma de Manizales; Universidad Autonoma de Occidente; Universidad Carlos III de Madrid - Espana; Red tematica CYTED RiegoNETs; Colombian Ministry for the Information and Communication Technologies; Colombian Administrative Department of Science, Technology and Innovation through the National Trust for Funding Science, Technology and Innovation Francisco Jose de Caldas [FP44842-502-2015]	This work was supported by Universidad Autonoma de Bucaramanga under project ID: E56010, in collaboration with Corporacion Centro de Investigacion en Palma de Aceite - CENIPALMA, Universidad Tecnologica de Bolivar, Universidad Autonoma de Manizales, Universidad Autonoma de Occidente, Universidad Carlos III de Madrid - Espana, and Red tematica CYTED RiegoNETs.; Authors would also like to acknowledge the cooperation of partners within the Center of Excellence and Appropriation on the Internet of Things, as well as all institutions that supported this work: the Colombian Ministry for the Information and Communication Technologies, and the Colombian Administrative Department of Science, Technology and Innovation through the National Trust for Funding Science, Technology and Innovation Francisco Jose de Caldas, under the project ID: FP44842-502-2015.		30	1	1	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1810-7869		978-1-5090-4429-0	IEEE INT C NETW SENS			2017							783	788					6	Automation & Control Systems; Computer Science, Hardware & Architecture; Engineering, Electrical & Electronic	Automation & Control Systems; Computer Science; Engineering	BM4LQ	WOS:000463480000133					2021-02-18	
J	Lee, K; Aihara, A; Puntsagdash, G; Kawaguchi, T; Sakamoto, H; Okuma, M				Lee, Kyunghyun; Aihara, Aya; Puntsagdash, Ganbayar; Kawaguchi, Takayuki; Sakamoto, Hiraku; Okuma, Masaaki			Feasibility study on a strain based deflection monitoring system for wind turbine blades	MECHANICAL SYSTEMS AND SIGNAL PROCESSING			English	Article						Deflection monitoring; Vibration monitoring; Strain monitoring; Wind energy; Wind turbine blades	TRENDS	The bending stiffness of the wind turbine blades has decreased due to the trend of wind turbine upsizing. Consequently, the risk of blades breakage by hitting the tower has increased. In order to prevent such incidents, this study proposes a deflection monitoring system that can be installed to already operating wind turbine's blades. The monitoring system is composed of an estimation algorithm to detect blade deflection and a wireless sensor network as a hardware equipment. As for the estimation method for blade deflection, a strain-based estimation algorithm and an objective function for optimal sensor arrangement are proposed. Strain-based estimation algorithm is using a linear correlation between strain and deflections, which can be expressed in a form of a transformation matrix. The objective function includes the terms of strain sensitivity and condition number of the transformation matrix between strain and deflection. In order to calculate the objective function, a simplified experimental model of the blade is constructed by interpolating the mode shape of a blade from modal testing. The interpolation method is effective considering a practical use to operating wind turbines' blades since it is not necessary to establish a finite element model of a blade. On the other hand, a sensor network with wireless connection with an open source hardware is developed. It is installed to a 300 W scale wind turbine and vibration of the blade on operation is investigated. (C) 2016 Elsevier Ltd. All rights reserved..	[Lee, Kyunghyun; Aihara, Aya; Kawaguchi, Takayuki; Sakamoto, Hiraku; Okuma, Masaaki] Tokyo Inst Technol, Dept Mech & Aerosp Engn, Meguro Ku, 2-12-1 Ookayama, Tokyo 1528550, Japan; [Puntsagdash, Ganbayar] Tokyo Inst Technol, Dept Energy Sci, Meguro Ku, 2-12-1 Ookayama, Tokyo 1528550, Japan	Lee, K (corresponding author), Tokyo Inst Technol, Dept Mech & Aerosp Engn, Meguro Ku, 2-12-1 Ookayama, Tokyo 1528550, Japan.	kh311.lee@gmail.com	Sakamoto, Hiraku/AAC-4517-2020	Sakamoto, Hiraku/0000-0001-6514-3895				27	13	14	1	50	ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD	LONDON	24-28 OVAL RD, LONDON NW1 7DX, ENGLAND	0888-3270			MECH SYST SIGNAL PR	Mech. Syst. Signal Proc.	JAN 1	2017	82						117	129		10.1016/j.ymssp.2016.05.011			13	Engineering, Mechanical	Engineering	DX5CN	WOS:000384397500008					2021-02-18	
J	de Izarra, G; Elter, Z; Jammes, C				de Izarra, G.; Elter, Zs; Jammes, C.			Design of a high order Campbelling mode measurement system using open source hardware	NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT			English	Article						High order Campbelling; FPGA; Measurement system; Count rate estimation	FISSION CHAMBER SIGNALS; PERFORMANCE	This paper reviews a new real-time measurement instrument dedicated for online neutron monitoring with fission chambers in nuclear reactors. The instrument implements the higher order Campbelling methods and self-monitoring capabilities on an open source development board. The board includes an CPU/FPGA System on a Chip. The feasibility of the measurement instrument was tested both in laboratory with a signal generator and in the Minerve reactor. It is shown that the instrument provides reliable and robust count rate estimation over a wide reactor power range based on the third order statistics of the fission chamber signal. In addition, the system is able to identify whether the measured count rate change is due to the malfunction of the detector or due to the change in the neutron flux. The applied self-monitoring method is based on the spectral properties of the fission chamber signal. During the experimental verification, the considered malfunction was the change of the polarization voltage. (C) 2016 Elsevier B.V. All rights reserved.	[de Izarra, G.] CEA, DEN, DER, Expt Programs Lab, F-13108 Cadarache, St Paul Lez Dur, France; [Elter, Zs] Chalmers Univ Technol, Div Subat & Plasma Phys, Dept Phys, SE-41296 Gothenburg, Sweden; [Elter, Zs; Jammes, C.] CEA, DEN, DER, Instrumentat Sensors & Dosimetry Lab, F-13108 Cadarache, St Paul Lez Dur, France	de Izarra, G (corresponding author), CEA, DEN, DER, Expt Programs Lab, F-13108 Cadarache, St Paul Lez Dur, France.				CEA INSNU Project; TECNA Project; Swedish Research CouncilSwedish Research Council [B0774801]	This study was partly supported by the CEA INSNU and TECNA Projects and by the Swedish Research Council (Grant No. B0774801). This study was also part of an on-going collaboration project on the instrumentation and safety of sodium cooled fast reactors between Chalmers and CEA.		15	0	0	0	14	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0168-9002	1872-9576		NUCL INSTRUM METH A	Nucl. Instrum. Methods Phys. Res. Sect. A-Accel. Spectrom. Dect. Assoc. Equip.	DEC 11	2016	839						12	22		10.1016/j.nima.2016.09.038			11	Instruments & Instrumentation; Nuclear Science & Technology; Physics, Nuclear; Physics, Particles & Fields	Instruments & Instrumentation; Nuclear Science & Technology; Physics	EA6ZL	WOS:000386777600003					2021-02-18	
J	Fabian, VB; Fernando, MG				Fabian Vasconez-Barrera; Fernando Molina-Granja			Design of a management control system for poultry plants using wireless sensor networks with Open Hardware technology	CIENCIA UNEMI			Spanish	Article						Arduino; monitoring; open hardware; poultry plant; ZigBee protocol; wireless sensor networks; sensors		The design of the automated control of a poultry plant using Open Hardware Arduino technology and how it was implemented in the Poultry Academic Plant of the Faculty of Animal Sciences of the Polytechnic School of Chimborazo, Ecuador is presented. Microcontroller to another designed for the connection of sensors and actuators is also illustrated. The sensors were selected based on the technical characteristics of broilers breeding process, used to measure temperature, humidity, light intensity, ammonia, carbon monoxide and flammable gases. According to the present study, this module should be placed at a height between 0.80 and 1.5 m. and out of direct influence of heaters or fans, this way; it is optimized to send measurements wirelessly, using ZigBee protocol to a computer that, using developed software, compares them with parameters considered normal. It was also developed a web application and implemented, for monitoring and control from anywhere. Using this system, a mortality rate of 0.2% and weight gain averages above 2600 g were obtained, which justifies the project and is an option to be considered by poultry, due to the savings of resources obtained.	[Fabian Vasconez-Barrera] Escuela Super Politecn Chimborazo, Riobamba, Ecuador; [Fabian Vasconez-Barrera] Panamer Sur Km 1 1-2, Riobamba, Ecuador; [Fernando Molina-Granja] Univ Nacl Chimborazo, Riobamba, Ecuador; [Fernando Molina-Granja] Campus Norte Ms Edison Riera R Avda Sucre, Riobamba, Ecuador	Fabian, VB (corresponding author), Escuela Super Politecn Chimborazo, Riobamba, Ecuador.; Fabian, VB (corresponding author), Panamer Sur Km 1 1-2, Riobamba, Ecuador.	fvasconez@espoch.edu.ec; fmolina@unach.edu.ec						27	0	0	0	4	UNIV ESTATAL MILAGRO, DEPT INVESTIGACION DESARROLLO & INNOVACION	GUAYAS	KM 1 5 VIRGEN FATIMA, MILAGROS, GUAYAS, 00000, ECUADOR	1390-4272			CIENC UNEMI	CIENC. UNEMI	DEC	2016	9	21					143	156					14	Social Sciences, Interdisciplinary	Social Sciences - Other Topics	EV8TZ	WOS:000402058300014		DOAJ Gold			2021-02-18	
J	Aparicio, P; Salmeron, JM; Ruiz, A; Sanchez, FJ; Brotas, L				Aparicio, Pablo; Manuel Salmeron, Jose; Ruiz, Alvaro; Jose Sanchez, Francisco; Brotas, Luisa			The globe thermometer in comfort and environmental studies in buildings	REVISTA DE LA CONSTRUCCION			English	Article						Globe temperature; thermometer; mean radiant temperature; open hardware; sensor	MEAN RADIANT TEMPERATURE; THERMAL COMFORT	The reasons for the inferior performance of many existing buildings and associated energy systems are diverse, but an important part-cause is insufficient attention to the influence of occupant behaviour. In smart buildings it is necessary to allow for the integration of human behaviour in the HVAC system. In addition, many researchers are limited in their investigation by not having low cost tools that can provide information for their studies. This article is a review of the present state of art about the globe thermometer. It describes how to build your own globe temperature sensor and describes experiments that illustrate the feasibility of using a black globe thermometer with 40 mm diameter.	[Aparicio, Pablo] Univ Seville, Org Engn Grp, Sch Engn, Camino Descubrimientos S-N, Seville 41092, Spain; [Manuel Salmeron, Jose] Univ Seville, Grp Termotecn, Escuela Super Ingenieros, Seville, Spain; [Ruiz, Alvaro; Jose Sanchez, Francisco] Univ Cadiz, Escuela Super Ingn, Dept Maquinas & Motores Term, Cadiz, Spain; [Brotas, Luisa] London Metropolitan Univ, Sir John Cass Fac Art Architecture & Design, London, England	Aparicio, P (corresponding author), Univ Seville, Org Engn Grp, Sch Engn, Camino Descubrimientos S-N, Seville 41092, Spain.	pabloaparicio@us.es; jms@us.es; alvaro.ruiz@uca.es; francisco.flor@uca.es; l.brotas@londonmet.ac.uk	Ruiz-Pardo, Alvaro/N-2546-2014; Lissen, Jose Manuel Salmeron/F-1692-2010; De La Flor, Francisco J. Sanchez/C-6052-2013; Ruiz, Alvaro/AAD-5422-2019; Ruiz, Pablo Aparicio/M-2832-2014	Ruiz-Pardo, Alvaro/0000-0002-1321-1478; Lissen, Jose Manuel Salmeron/0000-0003-4340-6564; De La Flor, Francisco J. Sanchez/0000-0003-1836-8527; Ruiz, Alvaro/0000-0001-6528-4268; Ruiz, Pablo Aparicio/0000-0002-9979-4183				33	6	6	0	12	PONTIFICIA UNIV CATOLICA CHILE, ESCUELA CONSTRUCCION CIVIL	SANTIAGO	AV VICUNA MACKENNA 4860, SANTIAGO, 0000, CHILE	0718-915X			REV CONSTR	Rev. Constr.	DEC	2016	15	3					57	66					10	Construction & Building Technology; Engineering, Civil	Construction & Building Technology; Engineering	EM9YL	WOS:000395667400006					2021-02-18	
J	Masseroni, D; Facchi, A; Depoli, EV; Renga, FM; Gandolfi, C				Masseroni, Daniele; Facchi, Arianna; Depoli, Edoardo Vannutelli; Renga, Filippo Maria; Gandolfi, Claudio			IRRIG-OH: AN OPEN-HARDWARE DEVICE FOR SOIL WATER POTENTIAL MONITORING AND IRRIGATION MANAGEMENT	IRRIGATION AND DRAINAGE			English	Article						soil water potential; real-time monitoring; irrigation scheduling; peach orchard; northern Italy	WIRELESS SENSOR NETWORKS; SYSTEM; PLANT; CROPS; YIELD	Sustainability of irrigation practices is an important objective to be pursued in many countries, especially in regions where water scarcity causes strong conflicts among different water uses. The efficient use of irrigation water is a key factor in coping with the food demands of an increasing world population and with the negative effects of climate change on water resource availability in many areas. In this complex context, it is important that farmers can rely on instruments and practices that enable a better management of water at the field scale, whatever the irrigation method they adopt. In this paper, we present an open-hardware device based on the Arduino technology that was developed to allow the continuous monitoring of soil water potential in the root zone for supporting irrigation scheduling at the field scale. The structure of the device is flexible and can be adapted to host different types of sensors. The results, obtained managing irrigation in a peach orchard, show that adoption of the device, together with a simple irrigation scheduling criterion, allowed a significant increase of water use efficiency without causing a reduction of the quantity and quality of crop production. Copyright (C) 2016 John Wiley & Sons, Ltd.	[Masseroni, Daniele; Facchi, Arianna; Gandolfi, Claudio] Univ Milan, Dept Agr & Environm Sci DiSAA, Via Celoria 2, I-20133 Milan, Italy; [Depoli, Edoardo Vannutelli; Renga, Filippo Maria] Politecn Milan, Mobile Lab, Cremona, Italy	Masseroni, D (corresponding author), Univ Milan, Dept Agr & Environm Sci DiSAA, Via Celoria 2, I-20133 Milan, Italy.	daniele.masseroni@unimi.it			Fondazione Italiana Accenture; Fondazione Collegio Universita Milanesi	The research was carried out in the context of the RISPArMiA project, funded by the Fondazione Italiana Accenture and the Fondazione Collegio Universita Milanesi, which are gratefully acknowledged.		57	9	10	1	32	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	1531-0353	1531-0361		IRRIG DRAIN	Irrig. Drain.	DEC	2016	65	5					750	761		10.1002/ird.1989			12	Agronomy; Water Resources	Agriculture; Water Resources	EJ0ZO	WOS:000392940000018					2021-02-18	
J	Munoz, L; Ziebell, A; Morton, J; Bhat, M				Munoz, Luis; Ziebell, Amy; Morton, Jason; Bhat, Madhava			An open source solution for an in-house built dynamic platform for the validation of stereotactic ablative body radiotherapy for VMAT and IMRT	AUSTRALASIAN PHYSICAL & ENGINEERING SCIENCES IN MEDICINE			English	Article						Open source; Stereotactic ablative body radiation therapy (SABR); Motion management; Gafchromic EBT3 film	CELL LUNG-CANCER; RADIATION-THERAPY; SLOW-CT; MOTION; VOLUME; DOSIMETRY; TUMORS; FILM	An in-house solution for the verification of dose delivered to a moving phantom as required for the clinical implementation of lung stereotactic ablative body radiation therapy was developed. The superior-inferior movement required to simulate tumour motion during a normal breathing cycle was achieved via the novel use of an Arduino Uno (TM), a low-cost open-source microcontroller board connected to a high torque servo motor. Slow CT imaging was used to acquire the image set and a 4D cone beam CT (4D-CBCT) verified the efficacy of contoured margins before treatment on the moving phantom. Treatment fields were delivered to a section of a CIRS (TM) anthropomorphic phantom. Dose verification to the dynamic phantom with Gafchromic EBT3 film using 3 %-1 mm gamma analysis acceptance criteria registered an absolute dose pass rate for IMRT and VMAT of 98 and 96.6 %, respectively. It was verified that 100 % of the PTV received the prescribed dose of 12 Gy per fraction using the dynamic phantom, and no major discrepancy between planned and measured results due to interplay between multileaf collimator sequences and target motion was observed. This study confirmed that the use of an in-house solution using open source hardware and software with existing quality assurance equipment was appropriate in validating a new treatment technique.	[Munoz, Luis; Ziebell, Amy; Morton, Jason; Bhat, Madhava] Adelaide Radiotherapy Ctr, Genesis Canc Care, 352 South Terrace, Adelaide, SA 5000, Australia	Munoz, L (corresponding author), Adelaide Radiotherapy Ctr, Genesis Canc Care, 352 South Terrace, Adelaide, SA 5000, Australia.	luis.munoz@adradcentre.com.au			Genesiscare	I would like to acknowledge Genesiscare for their funding support, and thank Thulani Nyathi, Christopher Colyer and David Willis for help revising the manuscript.		33	2	2	0	5	SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS	0158-9938	1879-5447		AUSTRALAS PHYS ENG S	Australas. Phys. Eng. Sci. Med.	DEC	2016	39	4					957	964		10.1007/s13246-016-0484-4			8	Engineering, Biomedical	Engineering	EI2NA	WOS:000392323000018	27628942				2021-02-18	
J	Tobias, N; Bolton, C; Hester, J; Sitanayah, L; Sorber, J				Tobias, Nicole; Bolton, Connor; Hester, Josiah; Sitanayah, Lanny; Sorber, Jacob			Shoulder Angel: An Open Platform for Reprogramming Wayward Wireless Sensors	IEEE EMBEDDED SYSTEMS LETTERS			English	Article						Computer network reliability; fault tolerance; open source hardware; wireless sensor networks	NETWORKS	Software bugs are a critical threat to the deployability and maintainability of low-power wireless sensors, resulting in excess power consumption, hardware misconfigurations, incorrect data, and shortened device lifetimes. Worse, these errors can prevent wireless reprogramming, resulting in longer delays and costly human interventions. This letter describes shoulder angel-an ultra-low-power, low-cost, open hardware and software platform that ensures users can always recover and reprogram wireless sensors, in spite of software errors. Shoulder angel uses a physically separate coprocessor to monitor a device's power consumption and other behaviors, while keeping the device in a reprogrammable state. Our results show that shoulder angel is able to recover from otherwise fatal software errors while incurring an energy overhead of only 7 mu W.	[Tobias, Nicole; Bolton, Connor; Hester, Josiah; Sitanayah, Lanny; Sorber, Jacob] Clemson Univ, Sch Comp, Clemson, SC 29631 USA	Tobias, N (corresponding author), Clemson Univ, Sch Comp, Clemson, SC 29631 USA.	rtobias@clemson.com; mcbolto@clemson.com; jhester@clemson.com; lsitana@clemson.com; jsorber@clemson.com	Hester, Josiah/P-6056-2017	Hester, Josiah/0000-0002-1680-085X				7	2	2	0	1	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA	1943-0663			IEEE EMBED SYST LETT	IEEE Embed. Syst. Lett.	DEC	2016	8	4					73	76		10.1109/LES.2016.2611664			4	Computer Science, Hardware & Architecture; Computer Science, Software Engineering; Engineering, Electrical & Electronic	Computer Science; Engineering	EE1EU	WOS:000389324600003		Bronze			2021-02-18	
J	Congiu, M; Decker, F; Dini, D; Graeff, CFO				Congiu, M.; Decker, F.; Dini, D.; Graeff, C. F. O.			An open-source equipment for thin film fabrication by electrodeposition, dip coating, and SILAR	INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY			English	Article						SILAR; Successive ionic layer adsorption and reaction; Dip coating; Electrodeposition; Open source; GNU equipment	SULFIDE COUNTER ELECTRODES; SENSITIZED SOLAR-CELLS; CATALYTIC-ACTIVITY; NICKEL SULFIDE; COBALT; DEPOSITION	A reliable and cheap equipment is hereby proposed for the deposition of thin films on several substrates. This system is capable of deposition using three different techniques sequentially on the same substrate. The techniques available are ionic layer adsorption and reaction (SILAR), electrodeposition, and dip coating on both rigid and flexible conductive substrates (FTO, ITO-PEN). Using low-cost electronic components, we built a working prototype, driven by a simple software that is open source and user-friendly. In order to test our system, we used it to fabricate dye-sensitized solar cells (DSSCs) and counter electrodes of platinum and cobalt sulfide using both rigid glass-FTO and flexible ITO-PEN substrates. The electrodes as well as the complete devices have been characterized through cyclic voltammetry (CV). The solar cell devices have been characterized through current versus voltage curves (I-V) under simulated solar illumination.	[Congiu, M.; Graeff, C. F. O.] Univ Estadual Paulista UNESP, Programa Posgrad Ciencia & Tecnol Mat POSMAT, Ave Eng Luiz Edmundo Carrijo Coube14-01, BR-17033360 Bauru, SP, Brazil; [Decker, F.; Dini, D.] Univ Roma La Sapienza, Dept Chem, Piazzale Aldo Moro 5, Rome, RM, Italy; [Graeff, C. F. O.] Univ Estadual Paulista UNESP, DC FC, Ave Eng Luiz Edmundo Carrijo Coube14-01, BR-17033360 Bauru, SP, Brazil	Congiu, M (corresponding author), Univ Estadual Paulista UNESP, Programa Posgrad Ciencia & Tecnol Mat POSMAT, Ave Eng Luiz Edmundo Carrijo Coube14-01, BR-17033360 Bauru, SP, Brazil.	mirko.congiu@fc.unesp.br	Graeff, Carlos F O/C-6703-2012; Decker, Franco/P-6567-2019; Dini, Danilo/E-4081-2014; FAPESP, CDMF/J-3591-2015	Graeff, Carlos F O/0000-0003-0162-8273; Decker, Franco/0000-0003-3196-2301; Dini, Danilo/0000-0001-5005-4187; FAPESP, CDMF/0000-0002-4464-0937	FAPESP (Fundacao de Amparo a Pesquisa do Estado de Sao Paulo)Fundacao de Amparo a Pesquisa do Estado de Sao Paulo (FAPESP) [Processo FAPESP: 2013/07396-7]	This work was supported by FAPESP (Fundacao de Amparo a Pesquisa do Estado de Sao Paulo), Processo FAPESP: 2013/07396-7. We especially thank Mr. Luiz Meneghetti Jr. and all of the members of LNMD of UNESP of Bauru (SP)-Brazil for the technical support. We thank the University of Rome La Sapienza for having allowed the use of its facilities.		34	0	0	0	34	SPRINGER LONDON LTD	LONDON	236 GRAYS INN RD, 6TH FLOOR, LONDON WC1X 8HL, ENGLAND	0268-3768	1433-3015		INT J ADV MANUF TECH	Int. J. Adv. Manuf. Technol.	DEC	2016	87	9-12					2901	2909		10.1007/s00170-016-8680-7			9	Automation & Control Systems; Engineering, Manufacturing	Automation & Control Systems; Engineering	ED6TE	WOS:000388988300038		Green Published			2021-02-18	
