,da,unique-id,doc-delivery-number,journal-iso,usage-count-since-2013,usage-count-last-180-days,times-cited,number-of-cited-references,author-email,web-of-science-categories,research-areas,keywords-plus,keywords,eissn,issn,doi,affiliation,language,type,address,publisher,abstract,month,pages,number,volume,year,journal,title,author,ENTRYTYPE,ID,funding-text,funding-acknowledgement,oa,orcid-numbers,researcherid-numbers,article-number,organization,note,isbn,booktitle,book-group-author,meeting,series,editor,esi-hot-paper,esi-highly-cited-paper,book-author
0,{2020-04-29},{ISI:000516600700006},{KQ0DN},{Crit. Rev. Biotechnol.},{7},{7},{0},{59},"{anadra@qi.fcen.uba.ar
prodriguez@sociales.uba.ar
isanchez@qb.fcen.uba.ar}",{Biotechnology \& Applied Microbiology},{Biotechnology \& Applied Microbiology},{EMERGENCE; NETWORK; DESIGN},{TECNOx; Community; iGEM; Latin America; Argentina; Synthetic Biology},{1549-7801},{0738-8551},{10.1080/07388551.2020.1712322},"{Rodr?guez, PE (Reprint Author), Univ Buenos Aires, Inst Invest Gino Germani, Consejo Nacl Invest Cient \& Tecn, Fac Ciencias Sociales, Buenos Aires, DF, Argentina.
S?nchez, IE (Reprint Author), Univ Buenos Aires, Consejo Nacl Invest Cient \& Tecn, Fac Ciencias Exactas \& Nat, Prot Physiol Lab,Inst Quim Biol,IQUIBICEN, UBA Pabellon 2,Ciudad Univ, RA-1428 Buenos Aires, DF, Argentina.
Nadra, AD (Reprint Author), Univ Buenos Aires, Consejo Nacl Invest Cient \& Tecn, Dept Fisiol Biol Mol \& Celular,IQUIBICEN, Fac Ciencias Exactas \& Nat,Inst Quim Biol,Inst Bi, Buenos Aires, DF, Argentina.
Nadra, Alejandro D., Univ Buenos Aires, Inst Biociencias Biotecnol \& Biol Traslac iB3, Consejo Nacl Invest Cient \& Tec,Fac Ciencias Exac, Dept Fisiol \& Biol Mol \& Celular,Inst Quim Biol,I, Buenos Aires, DF, Argentina.
Rodriguez, Pablo E., Univ Buenos Aires, Inst Invest Gino Germani, Consejo Nacl Invest Cient \& Tecn, Fac Ciencias Sociales, Buenos Aires, DF, Argentina.
Grunberg, Raik, KAUST, CBRC, Div Biol \& Environm Sci \& Engn BESE, Thuwal, Saudi Arabia.
Olalde, Laura G.; Sanchez, Ignacio E., Univ Buenos Aires, Consejo Nacl Invest Cient \& Tecn, Fac Ciencias Exactas \& Nat, Prot Physiol Lab,Inst Quim Biol,IQUIBICEN, UBA Pabellon 2,Ciudad Univ, RA-1428 Buenos Aires, DF, Argentina.}",{English},{Review},"{2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND}",{TAYLOR \& FRANCIS LTD},"{Synthetic biology emerged in the USA and Europe twenty years ago and
quickly developed innovative research and technology as a result of
continued funding. Synthetic biology is also growing in many developing
countries of Africa, Asia and Latin America, where it could have a large
economic impact by helping its use of genetic biodiversity in order to
boost existing industries. Starting in 2011, Argentine synthetic biology
developed along an idiosyncratic path. In 2011-2012, the main focus was
not exclusively research but also on community building through teaching
and participation in iGEM, following the template of the early ``MIT
school{''} of synthetic biology. In 2013-2015, activities diversified
and included society-centered projects, social science studies on
synthetic biology and bioart. Standard research outputs such as articles
and industrial applications helped consolidate several academic working
groups. Since 2016, the lack of a critical mass of researchers and a
funding crisis were partially compensated by establishing links with
Latin American synthetic biologists and with other socially oriented
open technology collectives. The TECNOx community is a central node in
this growing research and technology network. The first four annual
TECNOx meetings brought together synthetic biologists with other open
science and engineering platforms and explored the relationship of Latin
American technologies with entrepreneurship, open hardware, ethics and
human rights. In sum, the socioeconomic context encouraged Latin
American synthetic biology to develop in a meandering and diversifying
manner. This revealed alternative ways for growth of the field that may
be relevant to other developing countries.}",{APR 2},{357-364},{3},{40},{2020},{CRITICAL REVIEWS IN BIOTECHNOLOGY},"{Developing synthetic biology in Argentina: the Latin American TECNOx
community as an alternative way for growth of the field}","Nadra, Alejandro D. and Rodriguez, Pablo E. and Grunberg, Raik and
Olalde, Laura G. and Sanchez, Ignacio E.",article,ISI:000516600700006,,,,,,,,,,,,,,,,,
1,{2020-04-29},{ISI:000517856500057},{KR8HL},{Renew. Energy},{1},{1},{0},{33},{javier.bonilla@psa.es},{Green \& Sustainable Science \& Technology; Energy \& Fuels},{Science \& Technology - Other Topics; Energy \& Fuels},{HARDWARE; VISION; SYSTEM},"{Automatic control; Concentrated solar power; Solar power tower; Computer
vision; Deep learning; Object detection}",,{0960-1481},{10.1016/j.renene.2019.12.075},"{Bonilla, J (Reprint Author), CIEMAT, Plataforma Solar Almeria, Ctra Senes S-N, Almeria 04200, Spain.
Bonilla, Javier; Fernandez, Jesus; Garcia, Gines, CIEMAT, Plataforma Solar Almeria, Ctra Senes S-N, Almeria 04200, Spain.
Carballo, Jose A.; Bonilla, Javier; Berenguel, Manuel, CIESOL Res Ctr Solar Energy, UAL PSA CIEMAT Joint Ctr, Almeria, Spain.
Carballo, Jose A.; Berenguel, Manuel, Univ Almeria, Ctra Sacramento S-N, Almeria 04120, Spain.}",{English},{Article},"{THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND}",{PERGAMON-ELSEVIER SCIENCE LTD},"{This work presents a solar tower power mockup with the aim of acting as
a test-bed facility for evaluating new advanced control techniques. The
mockup comprises low-cost hardware, open-source software together with
3D-printed structures for the elements in the system: a heliostat and a
tower. The tower includes an open-hardware Arduino board, a Photovoltaic
(PV) panel and a Liquid Crystal Display (LCD) to measure and show the
incident power. The heliostat includes a Raspberry Pi, a touchscreen
display, and two servo motors. The main goal of this mockup is to serve
as a first stage test-bed and demonstration facility for analyzing new
developments with respect to advanced control techniques, for instance
new heliostat tracking methods. This paper presents this mockup together
with a new heliostat tracking method based on computer vision and deep
learning that it is currently under development. (C) 2019 Elsevier Ltd.
All rights reserved.}",{APR},{682-690},,{149},{2020},{RENEWABLE ENERGY},"{Solar tower power mockup for the assessment of advanced control
techniques}","Carballo, Jose A. and Bonilla, Javier and Berenguel, Manuel and
Fernandez, Jesus and Garcia, Gines",article,ISI:000517856500057,"{This work has been funded by the National R + D + i Plan Project
ENE2017-83973-R (SOLTERMIN project) of the Spanish Ministry of Economy,
Industry and Competitiveness and ERDF funds. This work was also
partially supported by the computing facilities of Extremadura Research
Center for Advanced Technologies (CETA-CIEMAT), funded by the European
Regional Development Fund (ERDF). CETA belongs to CIEMAT and the
Government of Spain.}","{National R + D + i Plan Project (SOLTERMIN project) of the Spanish
Ministry of Economy, Industry and Competitiveness {[}ENE2017-83973-R];
ERDF funds; European Regional Development Fund (ERDF)European Union (EU)}",,,,,,,,,,,,,,,
2,{2020-04-29},{ISI:000525271500201},{LC4CE},{Sensors},{0},{0},{0},{32},"{florian.tschopp@mavt.ethz.ch
michael.riner-kuhn@mavt.ethz.ch
marius.fehr@mavt.ethz.ch
lukas.bernreiter@mavt.ethz.ch
fadri.furrer@mavt.ethz.ch
tonci.novkovic@mavt.ethz.ch
andreas.pfrunder@sevensense.ch
cesarc@ethz.ch
rsiegwart@ethz.ch
nietoj@ethz.ch}","{Chemistry, Analytical; Engineering, Electrical \& Electronic;
Instruments \& Instrumentation}",{Chemistry; Engineering; Instruments \& Instrumentation},{ODOMETRY; ROBUST},"{visual-inertial SLAM; time synchronization; sensor fusion; embedded;
camera; IMU}",{1424-8220},,{10.3390/s20051439},"{Tschopp, F (Reprint Author), Swiss Fed Inst Technol, Autonomous Syst Lab, CH-8092 Zurich, Switzerland.
Tschopp, Florian; Riner, Michael; Fehr, Marius; Bernreiter, Lukas; Furrer, Fadri; Novkovic, Tonci; Cadena, Cesar; Siegwart, Roland; Nieto, Juan, Swiss Fed Inst Technol, Autonomous Syst Lab, CH-8092 Zurich, Switzerland.
Fehr, Marius, Voliro Airborne Robot, CH-8092 Zurich, Switzerland.
Pfrunder, Andreas, Sevensense Robot, CH-8092 Zurich, Switzerland.}",{English},{Article},"{ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND}",{MDPI},"{Robust and accurate pose estimation is crucial for many applications in
mobile robotics. Extending visual Simultaneous Localization and Mapping
(SLAM) with other modalities such as an inertial measurement unit (IMU)
can boost robustness and accuracy. However, for a tight sensor fusion,
accurate time synchronization of the sensors is often crucial. Changing
exposure times, internal sensor filtering, multiple clock sources and
unpredictable delays from operation system scheduling and data transfer
can make sensor synchronization challenging. In this paper, we present
VersaVIS, an Open Versatile Multi-Camera Visual-Inertial Sensor Suite
aimed to be an efficient research platform for easy deployment,
integration and extension for many mobile robotic applications. VersaVIS
provides a complete, open-source hardware, firmware and software bundle
to perform time synchronization of multiple cameras with an IMU
featuring exposure compensation, host clock translation and independent
and stereo camera triggering. The sensor suite supports a wide range of
cameras and IMUs to match the requirements of the application. The
synchronization accuracy of the framework is evaluated on multiple
experiments achieving timing accuracy of less than <mml:semantics>1
ms</mml:semantics>. Furthermore, the applicability and versatility of
the sensor suite is demonstrated in multiple applications including
visual-inertial SLAM, multi-camera applications, multi-modal mapping,
reconstruction and object based mapping.}",{MAR},,{5},{20},{2020},{SENSORS},{VersaVIS-An Open Versatile Multi-Camera Visual-Inertial Sensor Suite},"Tschopp, Florian and Riner, Michael and Fehr, Marius and Bernreiter,
Lukas and Furrer, Fadri and Novkovic, Tonci and Pfrunder, Andreas and
Cadena, Cesar and Siegwart, Roland and Nieto, Juan",article,ISI:000525271500201,"{This work was partly supported by Siemens Mobility, Germany and by the
National Center of Competence in Research (NCCR) Robotics through the
Swiss National Science Foundation.}","{Siemens Mobility, Germany; National Center of Competence in Research
(NCCR) Robotics through the Swiss National Science Foundation}","{DOAJ Gold, Green Published}","{Tschopp, Florian/0000-0001-7346-2941
Siegwart, Roland/0000-0002-2760-7983
Furrer, Fadri/0000-0002-6070-1760
Nieto, Juan/0000-0003-4808-0831
Riner-Kuhn, Michael/0000-0001-7954-6468
Fehr, Marius/0000-0003-3276-4067}","{Siegwart, Roland/A-4495-2008
}",,,,,,,,,,,,
3,{2020-04-29},{ISI:000519276600007},{KT8QN},{Sust. Comput.},{0},{0},{1},{30},"{amartya.mukherjee@iemcal.com
mukherjeeprateeti01@gmail.com
nilanjan.dey@tict.edu.in
dr.debashis.de@gmail.com
bkpanigrahi@ee.iitd.ac.in}","{Computer Science, Hardware \& Architecture; Computer Science,
Information Systems}",{Computer Science},,{Smart grid; SVR; kNN; RBF; Logistic regression; Random forest},{2210-5387},{2210-5379},{10.1016/j.suscom.2019.100356},"{Mukherjee, A (Reprint Author), Inst Engn \& Management, Dept Comp Sci \& Engn, Kolkata, India.
Mukherjee, A (Reprint Author), Inst Engn \& Management, BSH, Kolkata, India.
Mukherjee, Amartya; Mukherjee, Prateeti, Inst Engn \& Management, Dept Comp Sci \& Engn, Kolkata, India.
Mukherjee, Amartya, Inst Engn \& Management, BSH, Kolkata, India.
Dey, Nilanjan, Techno India Coll Technol, Dept Informat Technol, Kolkata, India.
De, Debashis, Maulana Abul Kalam Azad Univ Technol, Dept Comp Sci \& Engn, Kolkata, W Bengal, India.
Panigrahi, B. K., Indian Inst Technol, Dept Elect Engn, Delhi, India.}",{English},{Article},"{RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS}",{ELSEVIER},"{With the global electricity demand witnessing a 3.1 percent jump in
2017, there is an increasing need for incorporating intermittent
renewable energy sources and other alternative supply/demand management
strategies into the supply grid networks. Short-term load forecasting
models enable prediction of future power consumption, thereby
encouraging shifting of loads and optimizing the use of stochastic power
sources and stored energy. To make the electric grid system smart and
sustainable, two-way communication between the utility and consumers
must be set up and the working equipment must respond digitally to the
quickly changing electric demand. The proposed work exploits the power
of embedded systems to design a low-cost solution for interconnecting
electrical and electronic devices, controlled by the intelligent
Internet of Things (IoT) paradigms. This work primarily focuses on
implementing standard regression and machine learning-based
architectures for smart grid load analysis and forecasting. A state of
the art ecosystem for a portable load forecasting device is proposed by
means of low-cost, open-source hardware that is experimentally found to
be functioning with a high degree of accuracy. Further, the performance
of the classical and advanced machine learning models, emulated on the
device, are analyzed on the basis of various parameters, including error
percentage, execution time, CPU core temperatures, and resource
utilization. Overall impressive performance is demonstrated by some
specific machine learning models which are considered to be suitable for
the proposed framework. (C) 2019 Elsevier Inc. All rights reserved.}",{MAR},,,{25},{2020},{SUSTAINABLE COMPUTING-INFORMATICS \& SYSTEMS},"{Lightweight sustainable intelligent load forecasting platform for smart
grid applications}","Mukherjee, Amartya and Mukherjee, Prateeti and Dey, Nilanjan and De,
Debashis and Panigrahi, B. K.",article,ISI:000519276600007,,,{Bronze},"{Mukherjee, Prateeti/0000-0002-2129-4744
Mukherjee, Amartya/0000-0002-6535-1181}",,{UNSP 100356},,,,,,,,,,,
4,{2020-04-29},{ISI:000522973300001},{KZ0PE},{AIP Adv.},{0},{0},{0},{60},{philippe.comtois@umontreal.ca},"{Nanoscience \& Nanotechnology; Materials Science, Multidisciplinary;
Physics, Applied}",{Science \& Technology - Other Topics; Materials Science; Physics},"{VENTRICULAR MYOCYTES; EQUIBIAXIAL STRAIN; STRETCH; HEART; TISSUE;
MYOCARDIUM; EXPRESSION; HYPERTROPHY; EXCITATION; CONDUCTION}",,{2158-3226},,{10.1063/1.5144922},"{Comtois, P (Reprint Author), Montreal Heart Inst, Res Ctr, 5000 Belanger E, Montreal, PQ H1T 1C8, Canada.
Comtois, P (Reprint Author), Univ Montreal, Dept Pharmacol \& Physiol, Montreal, PQ H3T 1J4, Canada.
Comtois, P (Reprint Author), Univ Montreal, Inst Biomed Engn, Montreal, PQ H3T 1J4, Canada.
Beland, Jonathan; Duverger, James Elber; Petitjean, Estelle; Maguy, Ange; Ledoux, Jonathan; Comtois, Philippe, Montreal Heart Inst, Res Ctr, 5000 Belanger E, Montreal, PQ H1T 1C8, Canada.
Beland, Jonathan; Ledoux, Jonathan; Comtois, Philippe, Univ Montreal, Dept Pharmacol \& Physiol, Montreal, PQ H3T 1J4, Canada.
Duverger, James Elber; Comtois, Philippe, Univ Montreal, Inst Biomed Engn, Montreal, PQ H3T 1J4, Canada.
Maguy, Ange, Univ Bern, Dept Physiol, CH-3012 Bern, Switzerland.
Ledoux, Jonathan, Univ Montreal, Dept Med, Montreal, PQ, Canada.}",{English},{Article},"{1305 WALT WHITMAN RD, STE 300, MELVILLE, NY 11747-4501 USA}",{AMER INST PHYSICS},"{A new open-hardware bioreactor capable of applying electrical field
stimulation in conjunction with static or cyclic stretch is presented.
Stretch is applied to cells by a specially designed elastomeric membrane
with a central seeding region. The main interest of our approach is the
fine control of the characteristics of stimulations in regard to timing
and amplitude in a simple design based on affordable, easy to find
components and 3D printable parts. Our approach opens the way to more
complex protocols for electrical and/or mechanical stimulations, which
are known important regulators of cardiac phenotypes. (C) 2020
Author(s).}",{MAR 1},,{3},{10},{2020},{AIP ADVANCES},"{Development of an open hardware bioreactor for optimized cardiac cell
culture integrating programmable mechanical and electrical stimulations}","Beland, Jonathan and Duverger, James Elber and Petitjean, Estelle and
Maguy, Ange and Ledoux, Jonathan and Comtois, Philippe",article,ISI:000522973300001,"{This work was supported by the Montreal Heart Institute Foundation, the
Natural Sciences and Engineering Research Council of Canada, and the
Fondation Institut de Cardiologie de Montreal.}","{Montreal Heart Institute Foundation; Natural Sciences and Engineering
Research Council of CanadaNatural Sciences and Engineering Research
Council of Canada; Fondation Institut de Cardiologie de Montreal}",{DOAJ Gold},,,{035133},,,,,,,,,,,
5,{2020-04-29},{ISI:000522642300016},{KY5VW},{J. Anal. Chem.},{0},{0},{0},{29},{andrey.s.samokhin@gmail.com},"{Chemistry, Analytical}",{Chemistry},{INSTRUMENTATION; CONSTRUCTION; DETECTOR},{syringe pump; open-source; open-source hardware; Arduino; 3D printing},{1608-3199},{1061-9348},{10.1134/S1061934820030156},"{Samokhin, AS (Reprint Author), Lomonosov Moscow State Univ, Dept Chem, Moscow 119991, Russia.
Samokhin, A. S., Lomonosov Moscow State Univ, Dept Chem, Moscow 119991, Russia.}",{English},{Article},"{PLEIADES PUBLISHING INC, MOSCOW, 00000, RUSSIA}",{PLEIADES PUBLISHING INC},"{An open-source syringe pump has been developed for use in the analytical
laboratory. Most pump parts are made on a 3D printer. Other parts (lead
screw, guide rods, stepper motor, bearings, electronic components) are
purchased in specialized stores. The control panel is based on the
Arduino UNO. Device interaction, any settings changes, and operating
mode selection are carried out using the LCD Keypad Shield (no computer
connection required). The program for the microcontroller is written in
Arduino IDE. Assembling the syringe pump takes several hours and
requires almost no soldering. Universal clamp allows installing any
syringe with a diameter of 6 to 25 mm. The syringe pump can both infuse
the liquid and refill the empty syringe. To evaluate the analytical
characteristics, a 10-mL glass syringe (Kloehn) was used. The dispensed
volume was 1 and 5 mL. The systematic error was less than 0.1\%, and the
random one was less than 3 mu L. Project files are available at:
http://www.mass-spec.ru/projects/diy/syringe\_pump/eng/..}",{MAR},{416-421},{3},{75},{2020},{JOURNAL OF ANALYTICAL CHEMISTRY},{Syringe Pump Created using 3D Printing Technology and Arduino Platform},"Samokhin, A. S.",article,ISI:000522642300016,,,{Other Gold},,,,,,,,,,,,,,
6,{2020-04-29},{ISI:000520365100055},{KV3KC},{J. Pathol.},{0},{0},{0},{0},,{Oncology; Pathology},{Oncology; Pathology},,,{1096-9896},{0022-3417},,"{Tadrous, P. J., TadPath Diagnost, London, England.}",{English},{Meeting Abstract},"{111 RIVER ST, HOBOKEN 07030-5774, NJ USA}",{WILEY},,{MAR},{15},{1},{250},{2020},{JOURNAL OF PATHOLOGY},"{Pardus: An Affordable Open Source Hardware and Software Robotic Platform
for Standard Microscopes}","Tadrous, P. J.",article,ISI:000520365100055,,,,,,,{Pathol Soc Great Britain \& Ireland; Univ Manchester; Royal Soc Med},"{212th Scientific Meeting of the
Pathological-Society-of-Great-Britain-and-Ireland / 3rd Joint Meeting of
the Royal-Society-of-Medicine / Winter Meeting on Molecular and Digital
Pathology - The Future, Univ Edinburgh, London, ENGLAND, JAN 21-22, 2020}",,,,,,,,,
7,{2020-04-29},{ISI:000518383600005},{KS5YF},{Seismol. Res. Lett.},{0},{0},{1},{16},{caryl.johnson@introspectivesystems.com},{Geochemistry \& Geophysics},{Geochemistry \& Geophysics},,,{1938-2057},{0895-0695},{10.1785/0220190198},"{Johnson, CE (Reprint Author), Introspect Syst LLC, Portland, ME 04101 USA.
Johnson, Caryl Erin, Introspect Syst LLC, Portland, ME 04101 USA.}",{English},{Article},"{400 EVELYN AVE, SUITE 201, ALBANY, CA 94706-1375 USA}",{SEISMOLOGICAL SOC AMER},"{The founding of the Advanced National Seismic System (ANSS) vision was
originally presented in U.S. Geological Survey Circular 1188 (U.S.
Geological Survey {[}USGS], 1999), after many years of discussions and
workshops, described in detail by Filson and Arabasz (2016). Much has
been accomplished in the ensuing two decades. Disparate and sometimes
divergent developments that had been previously explored at individual
private and public universities were finally centralized with increased
efficiency and coherency of effort. The stated mission of the ANSS is to
``... provide accurate and timely data and information products for
seismic events, including their effects on buildings and structures,
employing modern monitoring methods and technologies.{''} In this
article, an approach (xQuake) is proposed that does not interfere in any
way with the mission of the National Earthquake Information Center and
ANSS but instead restores much of the community focus and international
collaboration that has been lost over the past two decades. xQuake uses
an executable graph framework in a pipeline architecture; this framework
can be seamlessly integrated into current ANSS quake monitoring systems.
This newapproach incorporatesmodern approaches to computer analytics,
including multitopic Kafka exchange rings, cloud computing, a
self-configuring phase associator, and machine learning. The xGraph
system is free for noncommercial use, open source, hardware agnostic
(Windows, Linux, Mac), with no requirement for commercial datastores.}",{MAR},{581-584},"{2, A}",{91},{2020},{SEISMOLOGICAL RESEARCH LETTERS},{Beyond Earthworm: Keeping the Promise},"Johnson, Caryl Erin",article,ISI:000518383600005,,,,,,,,,,,,,,,,,
8,{2020-04-29},{ISI:000517786200270},{KR7HH},{Sensors},{1},{1},{0},{57},"{jramirez@uco.es
lmfernandez@uco.es
elvira@uco.es
fa1lolur@uco.es}","{Chemistry, Analytical; Engineering, Electrical \& Electronic;
Instruments \& Instrumentation}",{Chemistry; Engineering; Instruments \& Instrumentation},"{FOOD-SUPPLY CHAIN; WIRELESS SENSOR NETWORK; COLD CHAIN; INTERNET;
QUALITY; PERFORMANCE; MANAGEMENT; SYSTEM; THINGS; STRATEGY}","{retail cabinet refrigeration; temperature control; IoT; open-source
hardware and software; cloud computing}",{1424-8220},,{10.3390/s20030846},"{Fernandez-Ahumada, LM (Reprint Author), Univ Cordoba, Dept Comp \& Numer Anal, Campus Rabanales, E-14071 Cordoba, Spain.
Ramirez-Faz, Jose, Univ Cordoba, Dept Elect Engn, Campus Rabanales, E-14071 Cordoba, Spain.
Manuel Fernandez-Ahumada, Luis, Univ Cordoba, Dept Comp \& Numer Anal, Campus Rabanales, E-14071 Cordoba, Spain.
Fernandez-Ahumada, Elvira, Univ Cordoba, Dept Math, C San Alberto Magno S-N, E-14071 Cordoba, Spain.
Lopez-Luque, Rafael, Univ Cordoba, Dept Appl Phys, Campus Rabanales, E-14071 Cordoba, Spain.}",{English},{Article},"{ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND}",{MDPI},"{The control of refrigeration in the food chain is fundamental at all
stages, with special emphasis on the retail stage. The implementation of
information and communication technologies (IoT, open-source hardware
and software, cloud computing, etc.) is representing a revolution in the
operational paradigm of food control. This paper presents a low-cost IoT
solution, based on free hardware and software, for monitoring the
temperature in refrigerated retail cabinets. Specifically, the use of
the ESP-8266-Wi-Fi microcontroller with DS18B20 temperature sensors is
proposed. The ThingSpeak IoT platform is used to store and process data
in the cloud. The solution presented is robust, affordable, and
flexible, allowing to extend the scope of supervising other relevant
parameters in the operating process (light control, energy efficiency,
consumer presence, etc.).}",{FEB},,{3},{20},{2020},{SENSORS},"{Monitoring of Temperature in Retail Refrigerated Cabinets Applying IoT
Over Open-Source Hardware and Software}","Ramirez-Faz, Jose and Manuel Fernandez-Ahumada, Luis and
Fernandez-Ahumada, Elvira and Lopez-Luque, Rafael",article,ISI:000517786200270,,,"{DOAJ Gold, Green Published}","{Ramirez Faz, Jose/0000-0002-6529-0649}",,{846},,,,,,,,,,,
9,{2020-04-29},{ISI:000509959000001},{KG5AH},{R. Soc. Open Sci.},{4},{4},{0},{29},{stephen.d.grant@strath.ac.uk},{Multidisciplinary Sciences},{Science \& Technology - Other Topics},{REFRACTIVE-INDEX; ILLUMINATION; MICROSCOPY; CARBONATE; SIZE},{algae; phase-microscopy; three-dimensional printing; open access},,{2054-5703},{10.1098/rsos.191921},"{Grant, SD (Reprint Author), Univ Strathclyde, Dept Phys, Glasgow G4 0NG, Lanark, Scotland.
Grant, SD (Reprint Author), Univ Strathclyde, SUPA, Glasgow G4 0NG, Lanark, Scotland.
Grant, Stephen D.; Richford, Kyle; McKee, David; Patton, Brian R., Univ Strathclyde, Dept Phys, Glasgow G4 0NG, Lanark, Scotland.
Grant, Stephen D.; Richford, Kyle; McKee, David; Patton, Brian R., Univ Strathclyde, SUPA, Glasgow G4 0NG, Lanark, Scotland.
Burdett, Heidi L., Lyell Ctr Earth \& Marine Sci \& Technol, Edinburgh EH14 4AS, Midlothian, Scotland.
Burdett, Heidi L., Heriot Watt Univ, Sch Energy Geosci Infrastruct \& Soc, Edinburgh EH14 4AP, Midlothian, Scotland.}",{English},{Article},"{6-9 CARLTON HOUSE TERRACE, LONDON SW1Y 5AG, ENGLAND}",{ROYAL SOC},"{Phase microscopy allows stain-free imaging of transparent biological
samples. One technique, using the transport of intensity equation (TIE),
can be performed without dedicated hardware by simply processing pairs
of images taken at known spacings within the sample. The resulting TIE
images are quantitative phase maps of unstained biological samples.
Therefore, spatially resolved optical path length (OPL) information can
also be determined. Using low-cost, open-source hardware, we applied the
TIE to living algal cells to measure their effect on OPL. We obtained
OPL values that were repeatable within species and differed by distinct
amounts depending on the species being measured. We suggest TIE imaging
as a method of discrimination between different algal species and,
potentially, non-biological materials, based on refractive index/OPL.
Potential applications in biogeochemical modelling and climate sciences
are suggested.}",{JAN 29},,{1},{7},{2020},{ROYAL SOCIETY OPEN SCIENCE},"{Low-cost, open-access quantitative phase imaging of algal cells using
the transport of intensity equation}","Grant, Stephen D. and Richford, Kyle and Burdett, Heidi L. and McKee,
David and Patton, Brian R.",article,ISI:000509959000001,"{This work was funded under grants from the Royal Society (CHG/R1/170017
and URF/R/180017). B.R.P. holds a Royal Society University Research
Fellowship.}","{Royal SocietyRoyal Society of London {[}CHG/R1/170017, URF/R/180017];
Royal Society University Research FellowshipRoyal Society of London}","{DOAJ Gold, Green Published, Green Accepted}","{Burdett, Heidi/0000-0002-3909-2235
McKee, David/0000-0001-8023-5923
Grant, Stephen/0000-0001-9186-1727}","{Burdett, Heidi/B-8910-2013
}",{191921},,,,,,,,,,,
