doi,title,fake_id,pdf_name,person
10.1371/journal.pbio.3000730,Leveraging open hardware to alleviate the burden of COVID-19 on global health systems,021,pdf/021.pdf,A
10.1016/j.suscom.2019.100356,Lightweight Sustainable Intelligent Load Forecasting Platform for Smart Grid Applications,033,pdf/033.pdf,A
10.1134/s1061934820030156,Syringe Pump Created using 3D Printing Technology and Arduino Platform,036,pdf/036.pdf,A
10.26833/ijeg.587023,AN IOT ARCHITECTURE FOR FACILITATING INTEGRATION OF GEOINFORMATION,047,pdf/047.pdf,A
10.1080/23311916.2020.1767019,Multiobjective generation scheduling using multicore processing-based continuous genetic algorithm,050,pdf/050.pdf,A
10.1109/access.2020.2988348,"A low-cost, portable solution for stress and relaxation estimation based on a real-time fuzzy algorithm",052,pdf/052.pdf,A
10.1109/access.2020.2988800,Inverted Pendulum Nonlinear Controllers Using Two Reaction Wheels: Design and Implementation,053,pdf/053.pdf,A
10.1016/j.microc.2019.104343,Open LabBot and RmsiGUI: Community development kit for sampling automation and ambient imaging,066,pdf/066.pdf,A
10.1049/htl.2019.0081,Development and Face Validation of Ultrasound-Guided Renal Biopsy Virtual Trainer,075,pdf/075.pdf,A
10.1016/j.rcim.2019.05.009,A modular path planning solution for Wire + Arc Additive Manufacturing,080,pdf/080.pdf,A
10.1038/s41592-019-0554-0,The mesoSPIM initiative: open-source light-sheet microscopes for imaging cleared tissue,088,pdf/088.pdf,A
10.1109/lsp.2019.2925533,Optimal Least-Squares Estimator and Precoder for Energy Beamforming over IQ-Impaired Channels,116,pdf/116.pdf,A
10.4258/hir.2019.25.3.230,Internet of Things Applied in Healthcare Based on Open Hardware with Low-Energy Consumption,120,pdf/120.pdf,A
10.1016/j.jestch.2018.12.010,Modelling and hardware implementation of quantization levels of digital cameras in DCT based image compression,127,pdf/127.pdf,A
10.1587/transinf.2018edl8227,A Lightweight System to Achieve Proactive Risk Management for Household ASIC-Resistant Cryptocurrency Mining,128,pdf/128.pdf,A
10.1049/joe.2018.8141,Determination of synchronous machine parameters through the SSFRT test and artificial neural networks,129,pdf/129.pdf,A
