"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ZSCGPBH3","journalArticle","2016","Tejado, Inés; Serrano, Juan; Pérez, Emiliano; Torres, Daniel; Vinagre, Blas M.","Low-cost Hardware-in-the-loop Testbed of a Mobile Robot to Support Learning in Automatic Control and Robotics**This work has been supported by the Spanish Ministry of Economy and Competitiveness under the project DPI2012-37062-C02-02 and the Junta de Extremadura under the Ayuda a Grupos with reference GR15178.","IFAC-PapersOnLine","","2405-8963","10.1016/j.ifacol.2016.07.184","http://www.sciencedirect.com/science/article/pii/S2405896316303901","Hardware-in-the-loop (HIL) systems are recognized to be effective tools to support teaching in Controls, especially in laboratory courses, rather than only simulations, since a more realistic student experience is achieved with no need of the use of a real equipment. This naturally leads to a better use of the resources for both the students and the university facilities and a reduction of costs invested in laboratory equipment. This paper presents a low-cost HIL application for a mobile robot to support learning in Automatic Control and Robotics. It consists of a simulator of the robot, which is built by means of physical modeling tools in the MATLAB®/Simulink® environment, and an Arduino Yún board. The communication between the simulator and Arduino is done by TCP/IP. For illustration purposes, some examples of possible control coursewares to be carried out using the developed testbed are given.","2016-01-01","2019-09-13 11:29:32","2019-09-13 11:29:32","2019-09-13 11:29:32","242-247","","6","49","","IFAC-PapersOnLine","","11th IFAC Symposium on Advances in Control Education ACE 2016","","","","","","","","","","","ScienceDirect","","","","/home/andre/Zotero/storage/DH77IXWY/Tejado et al. - 2016 - Low-cost Hardware-in-the-loop Testbed of a Mobile .pdf; /home/andre/Zotero/storage/YG5FDBRY/S2405896316303901.html","","","Arduino; Control; Education; Mobile robot; Simulink; Testbed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4Z3C7ZLE","journalArticle","2017","Betz, M.; Jones, O. R.; Lefevre, T.; Wendt, M.","Bunched-beam Schottky monitoring in the LHC","Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment","","0168-9002","10.1016/j.nima.2017.08.045","http://www.sciencedirect.com/science/article/pii/S0168900217309452","The LHC Schottky beam diagnostic system has the potential to measure beam parameters such as tune, chromaticity and momentum spread in a non-invasive way. It does so by detecting beam induced signals at 4.8 GHz, and extracting the characteristic modulation caused by incoherent motion of particles within a bunch. The system was commissioned in 2011 and provided satisfactory beam-parameter measurements during LHC Run I for lead-ions. However, for protons its usability was substantially limited due to strong interfering common-mode signals. The system was upgraded with optimized traveling-wave pick-ups and an improved microwave signal path. Design and operational aspects for the complete system are shown, and the results from measurements with LHC beams in Run II are presented and discussed.","2017-12-01","2019-09-13 11:17:03","2019-09-13 11:17:03","2019-09-13 11:17:03","113-126","","","874","","Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment","","","","","","","","","","","","","ScienceDirect","","","","/home/andre/Zotero/storage/XPXTIQCA/Betz et al. - 2017 - Bunched-beam Schottky monitoring in the LHC.pdf; /home/andre/Zotero/storage/X3LPB3B5/S0168900217309452.html","","","Beam Diagnostics; Cavity filter; Chromaticity; Incoherent tune; Schottky signal; Travelling wave pickup","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F7FLTZNN","journalArticle","2016","Diaz, M. A.; Zagal, J. C.; Falcon, C.; Stepanova, M.; Valdivia, J. A.; Martinez-Ledesma, M.; Diaz-Peña, J.; Jaramillo, F. R.; Romanova, N.; Pacheco, E.; Milla, M.; Orchard, M.; Silva, J.; Mena, F. P.","New opportunities offered by Cubesats for space research in Latin America: The SUCHAI project case","Advances in Space Research","","0273-1177","10.1016/j.asr.2016.06.012","http://www.sciencedirect.com/science/article/pii/S0273117716303106","During the last decade, a very small-standardized satellite, the Cubesat, emerged as a low-cost fast-development tool for space and technology research. Although its genesis is related to education, the change in paradigm presented by this satellite platform has motivated several countries, institutions, and companies to invest in a variety of technologies, aimed at improving Cubesat capabilities, while lowering costs of space missions. Following that trend, Latin American institutions, mostly universities, has started to develop Cubesat missions. This article describes some of the Latin American projects in this area. In particular, we discuss the achievements and scientific grounds upon which the first Cubesat projects in Chile were based and the implications that those projects have had on pursuing satellite-based research in the country and in collaboration with other countries of the region.","2016-11-15","2019-09-13 11:04:44","2019-09-13 11:04:44","2019-09-13 11:04:44","2134-2147","","10","58","","Advances in Space Research","New opportunities offered by Cubesats for space research in Latin America","Space and Geophysical Research related to Latin America - Part 2","","","","","","","","","","","ScienceDirect","","","","/home/andre/Zotero/storage/68PUZA9L/Diaz et al. - 2016 - New opportunities offered by Cubesats for space re.pdf; /home/andre/Zotero/storage/NID7FGJZ/S0273117716303106.html","","","Cubesat technology; Ionospheric–magnetospheric measurement; Microgravity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2J7CPSFL","conferencePaper","2018","Manur, A.; Sehloff, D.; Venkataramanan, G.","EnerGyan: A Portable Platform for Microgrid Education, Research, and Development","2018 IEEE International Conference on Power Electronics, Drives and Energy Systems (PEDES)","","","10.1109/PEDES.2018.8707745","","Energy management for microgrids is becoming an increasingly important topic for effective integration of diverse electricity sources and loads. Real-world deployment of microgrids requires hands-on experience in three key areas: education, research, and development. Most undergraduate and graduate classes on microgrids today take a theoretical learning approach, and the few that offer laboratory sessions often use analog based systems. In the microgrid research community, advanced control and optimization are often validated using numerical simulations or very specific and expensive lab hardware. This area of study also lacks a development platform for users to do rapid prototyping of microgrid solutions, making real-world implementation challenging. This paper introduces EnerGyan [1], a low-cost platform for education, research, and development for energy management in microgrids. It is a portable end-to-end platform which integrates energy infrastructure (energy sources, converters, storage, loads), communication and computing infrastructure (on-board computer, communication modules, user interfaces), and an energy management system, making it a programmable electricity-grid-in-a-box. EnerGyan also provides a software toolkit called EnerGyanToolKit, allowing users to develop and deploy energy applications. EnerGyan has been used for microgrid research, in teaching (workshops, lab course, hackathons), and as development tool (for managing a building microgrid).","2018-12","2019-09-13 10:58:05","2019-09-13 10:58:05","","1-6","","","","","","EnerGyan","","","","","","","","","","","","IEEE Xplore","","","","/home/andre/Zotero/storage/DYGGURWH/figures.html; /home/andre/Zotero/storage/2938KTP2/Manur et al. - 2018 - EnerGyan A Portable Platform for Microgrid Educat.pdf","","","Education; analog based systems; Batteries; communication and computing; distributed power generation; educational courses; Embedded computing; energy management; Energy management; energy management system; energy management systems; energy sources; energy system prototyping; EnerGyan; hands-on experience; Hardware; lab hardware; microgrid education; microgrid research community; microgrid solutions; microgrids; Microgrids; Optimization; programmable electricity-grid-in-a-box; research platform; student experiments; undergraduate classes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018 IEEE International Conference on Power Electronics, Drives and Energy Systems (PEDES)","","","","","","","","","","","","","","",""
"EURFPMTT","journalArticle","2016","Llamas, Cesar; González, Manuel; Hernandez, Carmen; Vegas, Jesus","Open source platform for collaborative construction of wearable sensor datasets for human motion analysis and an application for gait analysis","Journal of Biomedical Informatics","","1532-0464","10.1016/j.jbi.2016.08.025","https://www.sciencedirect.com/science/article/pii/S1532046416301113","Nearly every practical improvement in modeling human motion is well founded in a properly designed collection of data or datasets. These datasets must…","2016-10-01","2019-09-13 10:35:24","2019-12-01 15:57:31","2019-09-13 10:35:24","249-258","","","63","","","","","","","","","","en","","","","","www.sciencedirect.com","","","","/home/andre/Zotero/storage/YD6UL47M/2016 - Open source platform for collaborative constructio.pdf; /home/andre/Zotero/storage/8HEDCDWS/S1532046416301113.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NUVDKU8N","journalArticle","2015","Minuto, Andrea; Pittarello, Fabio; Nijholt, Anton","Smart material interfaces for education","Journal of Visual Languages & Computing","","1045-926X","10.1016/j.jvlc.2015.10.006","http://www.sciencedirect.com/science/article/pii/S1045926X15000634","This paper describes an experience, held with a class of primary school children, aimed to introduce a novel educational topic, the smart materials, and the interfaces built with them (Smart Material Interfaces). The pupils were guided along a multidisciplinary path in which traditional and innovative teaching methods were composed for educating while engaging the children. It led to the creation of 6 automated puppet plays focused on the themes of environmental awareness as a result. In this process, storytelling and visual programming acted as powerful means for merging different educational concepts and techniques. The data collected through the direct observation and the questionnaires indicate that the experience was perceived as positive and interesting. The post evaluation, held some months later, revealed skills and knowledge improvements in all the areas involved by the multidisciplinary experience.","2015-12-01","2019-09-13 10:23:42","2019-09-13 10:23:42","2019-09-13 10:23:42","267-274","","","31","","Journal of Visual Languages & Computing","","Special Issue on DMS2015","","","","","","","","","","","ScienceDirect","","","","/home/andre/Zotero/storage/L42RBTG3/Minuto et al. - 2015 - Smart material interfaces for education.pdf; /home/andre/Zotero/storage/6J3ULB7Q/S1045926X15000634.html","","","Computer supported education; Origami; Scratch; Smart material interface; Storytelling; Visual programming","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HPUYI3D6","journalArticle","2016","Glatzel, Stefan; Hezwani, Mohammed; Kitson, Philip J.; Gromski, Piotr S.; Schürer, Sophie; Cronin, Leroy","A Portable 3D Printer System for the Diagnosis and Treatment of Multidrug-Resistant Bacteria","Chem","","2451-9294","10.1016/j.chempr.2016.08.008","http://www.sciencedirect.com/science/article/pii/S2451929416301103","Summary Multidrug-resistant bacteria are a major threat to human health, but broad-spectrum antibiotics are losing efficacy. There is a need to screen a given drug against a bacterial infection outside of the laboratory. To address this need, we have designed and built an inexpensive and easy-to-use 3D-printer-based system that allows easily readable quantitative tests for the performance of antibacterial drugs. The platform creates a sterile diagnostic device by using 3D printing, and the device is filled automatically with growth medium, and then antibiotics are sprayed onto the medium by ink-jet technology. The sample for testing can be introduced via a fluid port, and the printer hot bed is used to incubate the device, allowing operation in the field. Combining advantages from various established tests of antibacterial performance, this allows the comparison of a specific antibiotics and bacteria. Also, this system can create and test several antibiotic formulations for therapeutic use, and we demonstrate this potential by investigating a mixture of pathogens that are only killed by a mixture of drugs.","2016-09-08","2019-09-12 21:42:03","2019-09-12 21:42:03","2019-09-12 21:42:03","494-504","","3","1","","Chem","","","","","","","","","","","","","ScienceDirect","","","","/home/andre/Zotero/storage/LEDNQPIE/Glatzel et al. - 2016 - A Portable 3D Printer System for the Diagnosis and.pdf; /home/andre/Zotero/storage/IMKYGQ5D/S2451929416301103.html","","","SDG3: Good health and well-being; SDG6: Clean water and sanitation; SDG9: Industry, innovation, and infrastructure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DA5CAW5K","journalArticle","2018","Liardon, Jean-Luc; Hostettler, Lukas; Zulliger, Ludovic; Kangur, Karl; Gujja Shaik, Nawaaz S.; Barry, D. A.","Lake imaging and monitoring aerial drone","HardwareX","","2468-0672","10.1016/j.ohx.2017.10.003","http://www.sciencedirect.com/science/article/pii/S2468067217300718","We describe the development of a BVLOS (Beyond Visual Line-Of-Sight) model aircraft (UAV). The broad design requirements included (i) fuselage capable of accommodating an imaging package or other instrumentation, (ii) suitability for over-lake BVLOS authorization in Switzerland, (iii) capability of land or water take-offs/landing, (iv) at least 90-min flight autonomy, (v) modularity of the imaging package and (vi) real-time IR/RGB imagery. Requirement (i) was to ensure an aircraft amenable to future developments. Requirements (ii)–(iv) were driven by the goal of improving estimates of lake surface energy fluxes, since such fluxes have a major impact on long-term lake temperatures and hence ecological status. Requirement (v), in conjunction with (i), allows the UAV to be adapted to other imaging applications. The real-time imagery requirement (vi) permits modifications of on-going missions to map areas of specific interest as they are detected. The prototype UAV produced to satisfy these characteristics was built on the twin-motor My Twin Dream (MTD) aircraft, which has a 1.8-m wing span airframe and a spacious fuselage. The legal authorization necessitated, where feasible, hardware redundancy as well as installation of a parachute system. Continuous communication between the ground station and UAV is provided by the LTE cellular telephone network. The UAV communication is handled by an on-board Linux computer, which is also responsible for control of the imagery package. The avionics involved modifications of the open-source APM autopilot software and the associated ground control station. A key modification was to support a custom-built emergency recovery system, which is triggered by loss of a heart-beat signal from the autopilot. The MTD airframe was modified to accommodate the system electronics and imaging hardware. Results from test flights over Lake Geneva demonstrate the ability of the aircraft to produce imagery data.","2018-04-01","2019-09-05 15:45:50","2019-09-05 15:45:50","2019-09-05 15:45:50","146-159","","","3","","HardwareX","","","","","","","","","","","","","ScienceDirect","","","","/home/andre/Zotero/storage/IAM85RTG/Liardon et al. - 2018 - Lake imaging and monitoring aerial drone.pdf; /home/andre/Zotero/storage/ABZLBQHH/S2468067217300718.html","","","4G network; Autonomous aircraft; BVLOS; Imagery; Infrared; IR; LIMONAD; Mobile; Parachute; RGB; Streaming; Telemetry; UAV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J2WTVQTS","journalArticle","2018","LeSuer, R. J.; Osgood, K. L.; Stelnicki, K. E.; Mendez, J. L.","OMIS: The Open Millifluidic Inquiry System for small scale chemical synthesis and analysis","HardwareX","","2468-0672","10.1016/j.ohx.2018.e00038","http://www.sciencedirect.com/science/article/pii/S246806721830052X","With the continued establishment of hacker-spaces and fab-labs hosted in academic libraries, there is an increase in the availability of resources for designing scientific instrumentation in the undergraduate curriculum. Many available designs, however, may be too complex to fabricate in teaching environments. Presented here is OMIS, the Open Millifluidic Inquiry System, which is a platform for performing small-scale chemical synthesis and analysis. OMIS consists of a 3D printed syringe pump, control hardware based upon the Arduino microcontroller and 3D printed reaction vessels. The OMIS syringe pump utilizes a low-power stepper motor which simplifies the instrument construction and allows for power to be supplied from batteries or the USB port of a computer. The simple design of OMIS allows for the instrument to be fabricated in one day, including the time to 3D print components. The OMIS syringe pump is able to deliver fluids at rates between 60 and 300 μL/min, depending on syringe size, with a reproducibility of 3%. Several applications of OMIS are presented, including a demonstration of laminar flow in a 3D printed millifluidic chip, implementation of a low-volume flow-cell cuvette insert and the synthesis of magnetite nanoparticles.","2018-10-01","2019-09-05 15:43:37","2019-09-05 15:43:37","2019-09-05 15:43:37","e00038","","","4","","HardwareX","OMIS","","","","","","","","","","","","ScienceDirect","","","","/home/andre/Zotero/storage/FKEM4IAY/LeSuer et al. - 2018 - OMIS The Open Millifluidic Inquiry System for sma.pdf; /home/andre/Zotero/storage/LBDJ9Z2W/S246806721830052X.html","","","3D printed syringe pump; Arduino microcontroller; Lab on a chip","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7JVSGAHV","journalArticle","2018","Carballo, Jose A.; Bonilla, Javier; Roca, Lidia; Berenguel, Manuel","New low-cost solar tracking system based on open source hardware for educational purposes","Solar Energy","","0038-092X","10.1016/j.solener.2018.09.064","http://www.sciencedirect.com/science/article/pii/S0038092X18309587","In this paper, due to the detected educational demands regarding automatic control and training in management of solar tracker systems, a small prototype based on low cost open source hardware and computer vision is built to test the control algorithms developed in Mathematica and Simulink. The new prototype has been developed with the aim of being a powerful tool for a wide range of applications regarding to the learning of automatic in solar energy. Finally, its educational application is discussed.","2018-11-01","2019-09-05 15:41:36","2019-09-05 15:41:36","2019-09-05 15:41:36","826-836","","","174","","Solar Energy","","","","","","","","","","","","","ScienceDirect","","","","/home/andre/Zotero/storage/TTVDU4VV/Carballo et al. - 2018 - New low-cost solar tracking system based on open s.pdf; /home/andre/Zotero/storage/THYTFSF4/S0038092X18309587.html","","","Automatic control and computer sciences; Computer vision; Educational tool; Low cost; Open source; Raspberry pi; Solar energy; Solar tracker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
