PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Shim, D; Lee, DH				Shim, Dongwook; Lee, Dong Hoon			SOTPM: Software One-Time Programmable Memory to Protect Shared Memory on ARM Trustzone	IEEE ACCESS			English	Article						ARM TrustZone; secure communication; shared memory	SECURE	In ARM TrustZone-based architecture, shared memory is one of the most useful schemes to enable isolated execution environments supported by TrustZone to communicate between environments. However, it is already known that shared memory is vulnerable to man-in-the-middle attacks since mechanisms to check integrity or authenticate callers for the shared memory payload are not supported in TrustZone. While an encryption-based method that resolves this limitation does exist, there are some architectural limitations. Indeed, even with key protection countermeasures applied, there is a risk that encryption keys may be leaked, as they are placed in insecure user memory during communication. Moreover, countermeasures for key leakage cause system performance overhead. In this paper, we propose a lightweight and secure scheme for shared memory, called Software One-Time Programmable Memory (SOTPM). SOTPM is a software-implemented, one-time programmable shared memory. It is based on the idea that payload encryption in the shared memory layer is unnecessary because sensitive data is already encrypted in the application layer before being written to the shared memory. SOTPM is set to read-only after data is written into SOTPM due to the one-time programmable characteristic. Therefore, attackers are unable to manipulate content in SOTPM during communication. Since it is not necessary for SOTPM to encrypt the payload in order to prevent malicious payload manipulation, it is possible to remove the risk of key leakage posed in previous studies. Additionally, in contrast with the existing method, our method can dramatically reduce system performance overhead. We implemented our prototype on an open-source hardware board with an Armv8-A processor and performed a security analysis and performance evaluation. The results show that SOTPM provides a sufficient level of security and less than 1% performance overhead, implying that SOTPM is a reasonable solution for current commercial products.	[Shim, Dongwook; Lee, Dong Hoon] Korea Univ, Grad Sch Informat Secur, Seoul 02841, South Korea	Lee, DH (corresponding author), Korea Univ, Grad Sch Informat Secur, Seoul 02841, South Korea.	donghlee@korea.ac.kr			Korea University Grant	This work was supported by the Korea University Grant.		45	0	0	0	0	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA	2169-3536			IEEE ACCESS	IEEE Access		2021	9						4490	4504		10.1109/ACCESS.2020.3047813			15	Computer Science, Information Systems; Engineering, Electrical & Electronic; Telecommunications	Computer Science; Engineering; Telecommunications	PS0ZU	WOS:000607661300001		DOAJ Gold			2021-02-18	
J	Gurkan, G				Gurkan, Guray			PyTHang: an open-source wearable sensor system for real-time monitoring of head-torso angle for ambulatory applications	COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING			English	Article; Early Access						Accelerometer; head-torso angle; wearable devices; open-hardware; open-source software		This article presents the realization of a low-cost wearable sensor system and its Python-based software that can measure and record relative head-torso angle, especially in sagittal plane. The system is mainly developed to track head-torso angle during walk in a clinical study. The open-hardware part of the system is composed of a pair of triaxial digital accelerometers, a microprocessor, a Bluetooth module and a rechargeable battery unit. The reception of the transmitted acceleration data, visualization, interactive sensor alignment, angle estimation and data-logging are realized by the developed open-source graphical user interface. The system is tested on a tripod for verification and on a subject for practical demonstration. Developed system can be constructed and used for ambulatory monitoring and analysis of relative head-torso angle. Open-source user interface can be downloaded and developed for further (different) algorithms and device hardware.	[Gurkan, Guray] Istanbul Kultur Univ, Elect & Elect Engn Dept, Fac Engn, Atakoy Campus, Istanbul, Turkey	Gurkan, G (corresponding author), Istanbul Kultur Univ, Elect & Elect Engn Dept, Fac Engn, Atakoy Campus, Istanbul, Turkey.	g.gurkan@iku.edu.tr						61	0	0	0	0	TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND	1025-5842	1476-8259		COMPUT METHOD BIOMEC	Comput. Methods Biomech. Biomed. Eng.												10.1080/10255842.2020.1864822		DEC 2020	16	Computer Science, Interdisciplinary Applications; Engineering, Biomedical	Computer Science; Engineering	PM5JU	WOS:000603836000001	33356562				2021-02-18	
J	Akhil, JP; Ajith, RR; Ranjith, SK				Akhil, J. P.; Ajith, R. R.; Ranjith, S. Kumar			Design and development of a self-propelled indoor wheelchair with direct toilet accessibility	DISABILITY AND REHABILITATION-ASSISTIVE TECHNOLOGY			English	Article; Early Access						Self-propelled wheelchair; toilet accessibility; transferability; multipurpose indoor wheelchair; commode wheelchair; open Source hardware		Purpose Existing wheelchair (WC) designs lack independent toilet accessibility, transferability and indoor manoeuvrability combined in a WC. In this regard, a new WC model is proposed to simultaneously accommodate these distinct and essential features. In this open-source hardware project, the design, analysis and fabrication of a new active commode WC for indoor applications are performed. Materials and method A field survey is conducted to identify the requirements of users so as to choose specific features and design constraints for the WC. In this multipurpose self-propelled model, a temporarily detachable circular section is fitted in the seat position to access the water closet bowl. This hinged portion can be released by gravity before reaching above the closet basin. After the toilet usage, the circular lid can be brought back to the initial seating using a lever mechanism and a spring-loaded lock restrains its downward movement. Thereafter, it can be used as an ordinary WC for indoor applications. Moreover, a small wheel with 22 in diameter and removable hand-rests ensured the transferability between utilities. A CAD model is prepared and numerical simulation is performed to verify the structural stability of the design. Results The optimized model is fabricated using standard manufacturing practices and is delivered to different persons with disabilities to collect user feedback. A systematic skill test is conducted to validate the compliance of the prototype with the user requirements including transferability and independent restroom access. Conclusion The opinions from most of the users are positive which categorically indicated that the proposed design addresses the multipurpose mobility requirements at indoors.	[Akhil, J. P.] Coll Engn, CET Ctr Interdisciplinary Res, Trivandrum, Kerala, India; [Ajith, R. R.; Ranjith, S. Kumar] Coll Engn, Dept Mech Engn, Micro Nanofluid Res Lab, Thiruvananthapuram, Kerala, India	Akhil, JP (corresponding author), Coll Engn, CET Ctr Interdisciplinary Res, Trivandrum, Kerala, India.	akhiljp5352@gmail.com	KUMAR, RANJITH S/AAH-3769-2019	S KUMAR, RANJITH/0000-0002-1026-1218	International Center for Free and Open Software (ICFOSS), Government of Kerala, India	The authors would like to acknowledge the project collaborator, International Center for Free and Open Software (ICFOSS), Government of Kerala, India for providing technical and financial support. The authors sincerely thank Mr K. Moideenkutty, Managing Director, Kerala State Handicapped Persons' Welfare Corporation for helping with the fabrication of the wheelchair at their manufacturing unit.		16	0	0	0	0	TAYLOR & FRANCIS INC	PHILADELPHIA	530 WALNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA	1748-3107	1748-3115		DISABIL REHABIL-ASSI	Disabil. Rehabil.-Assist. Technol.												10.1080/17483107.2020.1839574		DEC 2020	12	Rehabilitation	Rehabilitation	PG8VR	WOS:000600006800001	33337923				2021-02-18	
J	Stirling, J; Bowman, R				Stirling, Julian; Bowman, Richard			The COVID-19 Pandemic Highlights the Need for Open Design Not Just Open Hardware	DESIGN JOURNAL			English	Article						Open design; medical device; COVID-19; co-design		The COVID-19 pandemic has seen a surge in development of Open Source Hardware, especially open source ventilators. Many of these open source ventilator projects have adopted an open-when-finished model due to legitimate legal and liability concerns. This, however, has led to a proliferation of projects with teams across the world independently designing over a hundred mutually incompatible ventilators, representing a huge amount of duplicated effort. A functioning design is necessary but not sufficient for a project to help patients. The device must be taken through regulatory approval by a manufacturer that understands why design decisions were taken. In this article we argue that the open design process developed for Open Source Software can be used for Open Source Hardware. This process not only allows remote teams to work together improving a single design, it also provides the rich history of design decisions that manufacturers need to take the device through regulatory approval.	[Stirling, Julian; Bowman, Richard] Univ Bath, Bath, Avon, England	Stirling, J (corresponding author), Univ Bath, Dept Phys, Bath, Avon, England.	j.stirling@bath.ac.uk			EPSRCUK Research & Innovation (UKRI)Engineering & Physical Sciences Research Council (EPSRC) [EP/P029426/1, EP/R013969/1]; Royal SocietyRoyal Society of London [URF\R1\180153]	We would like to acknowledge financial support from EPSRC (EP/P029426/1, EP/R013969/1), and the Royal Society (URF\R1\180153).		26	0	0	0	0	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	1460-6925	1756-3062		DES J	Des. J.	DEC 5	2020	24	2					299	314		10.1080/14606925.2020.1859168		DEC 2020	16	Art	Art	QG3EV	WOS:000605630400001		Bronze			2021-02-18	
J	Trilles, S; Torres-Sospedra, J; Belmonte, O; Zarazaga-Soria, FJ; Gonzalez-Perez, A; Huerta, J				Trilles, Sergio; Torres-Sospedra, Joaquin; Belmonte, Oscar; Zarazaga-Soria, F. Javier; Gonzalez-Perez, Alberto; Huerta, Joaquin			Development of an open sensorized platform in a smart agriculture context: A vineyard support system for monitoring mildew disease	SUSTAINABLE COMPUTING-INFORMATICS & SYSTEMS			English	Article						Wireless Sensor Networks; Internet of Things; Edge computing; Open sensorized platform; Precision agriculture; Vineyard; Downy mildew; Goidanich	PLASMOPARA-VITICOLA; OPEN HARDWARE; NETWORKS	In recent years, some official reports, to produce best products regarding quality, quantity and economic conditions, recommend that the farming sector should benefit with new tools and techniques coming from Information and Communications Technology (ICT) realm. In this way, during last decade the deployment of sensing devices has increased considerably in the field of agriculture. This fact has led to a new concept called smart agriculture, and it contemplates activities such as field monitoring, which offer support to make decisions or perform actions, such as irrigation or fertilization. Apart from sensing devices, which use the Internet protocol to transfer data (Internet of Things), there are the so-called crop models, which are able to provide added value over the data provided by the sensors, with the aim of providing recommendations to farmers in decision-making and thus, increase the quality and quantity of their production. In this scenario, the current work uses a low-cost sensorized platform, capable of monitoring meteorological phenomena following the Internet of Things paradigm, with the goal to apply an alert disease model on the cultivation of the vine. The edge computing paradigm is used to achieve this objective; also our work follows some advances from GIScience to increase interoperability. An example of this platform has been deployed in a vineyard parcel located in the municipality of Vilafames (Castello, Spain). (C) 2019 Elsevier Inc. All rights reserved.	[Trilles, Sergio; Torres-Sospedra, Joaquin; Belmonte, Oscar; Gonzalez-Perez, Alberto; Huerta, Joaquin] Univ Jaume 1, Inst New Imaging Technol, Castellon de La Plana, Spain; [Zarazaga-Soria, F. Javier] Univ Zaragoza, Aragon Inst Engn Res I3A, Zaragoza, Spain	Trilles, S (corresponding author), Univ Jaume 1, Inst New Imaging Technol, Castellon de La Plana, Spain.	strilles@uji.es; jtorres@uji.es; oscar.belmonte@uji.es; javy@unizar.es; agonzal@uji.es; huerta@uji.es	Zarazaga-Soria, F. Javier/AAF-2357-2021; Torres-Sospedra, Joaquin/G-4885-2013	Torres-Sospedra, Joaquin/0000-0003-4338-4334	postdoctoral programme Vali+d (GVA) [APOSTD/2016/058]; Universitat Jaume I - PINV 2017 [UJI-A2017-14]; Aragon regional GovernmentGobierno de Aragon [T59_17R]; Spanish GovernmentSpanish Government [TIN2017-88002-R]	Sergio Trilles has been funded by the postdoctoral programme Vali+d (GVA; grant number APOSTD/2016/058). The project is partially funded by the Universitat Jaume I-PINV 2017 (UJI-A2017-14), the Aragon regional Government (project T59_17R) and the Spanish Government (TIN2017-88002-R).		57	0	0	1	1	ELSEVIER	AMSTERDAM	RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS	2210-5379	2210-5387		SUSTAIN COMPUT-INFOR	Sust. Comput.	DEC	2020	28								100309	10.1016/j.j.suscom.2019.01.011			11	Computer Science, Hardware & Architecture; Computer Science, Information Systems	Computer Science	PI9CO	WOS:000601380000002					2021-02-18	
J	Marcelino, GM; Edemar, M; Martinez, SV; De Mattos, AMP; Seman, LO; Slongo, LK; Bezerra, EA				Marcelino, Gabriel Mariano; Filho Edemar, Morsch; Martinez, Sara Vega; De Mattos, Andre Martins Pio; Seman, Laio Oriel; Slongo, Leonardo Kessler; Bezerra, Eduardo Augusto			Qualification and validation test methodology of the open-source CubeSat FloripaSat-I	JOURNAL OF SYSTEMS ENGINEERING AND ELECTRONICS			English	Article						embedded system; nanosatellite; cubesats; test methodology		The FloripaSat-I project consists of an initiative from the Federal University of Santa Catarina (UFSC), in Brazil, to train students to design, test and integrate innovative space systems. The group just developed its first open-source CubeSat, the FloripaSat-I, which aims to empower students to develop space systems through a practical approach, where they have full control of the design and test of a real spacecraft. The project has already gone through all the stages of a CubeSat mission prior to the launching and operation stages. A prototype of the satellite, as well the engineering models 1 and 2 (EM-I and EM-II) were built. The expertise provided by the engineering models allows the development of a functional flight model (FM). This paper presents the validation and qualification tests that pass various FloripaSat-I models, from the engineering model to the flight model. All stages of the project are described, the tests performed in each phase, as well as the lessons learned. Thus, this paper serves as a guidance for other university teams that want to test their own CubeSats, as well as teams that want to use the open-source hardware and software left as heritage by this project.	[Marcelino, Gabriel Mariano; Filho Edemar, Morsch; Martinez, Sara Vega; De Mattos, Andre Martins Pio; Seman, Laio Oriel; Slongo, Leonardo Kessler; Bezerra, Eduardo Augusto] Univ Fed Santa Catarina, Dept Elect Engn, BR-88040900 Florianopolis, SC, Brazil; [Marcelino, Gabriel Mariano] SENAI Inst Innovat Embedded Syst, BR-88054700 Florianopolis, SC, Brazil; [Seman, Laio Oriel] Univ Vale Itajai, Sch Sea Sci & Technol, BR-88302901 Itajai, SC, Brazil	Seman, LO (corresponding author), Univ Fed Santa Catarina, Dept Elect Engn, BR-88040900 Florianopolis, SC, Brazil.; Seman, LO (corresponding author), Univ Vale Itajai, Sch Sea Sci & Technol, BR-88302901 Itajai, SC, Brazil.	gabriel.marcelino@sc.senai.br; edemar@labcet.ufsc.br; vegamartinersara@gmail.com; andrempmattos@gmail.com; laiosemang@mail.com; lkslongo@gmail.com; eduardo.bezerra@ufsc.br			Brazilian Space Agency; National Council for Scientific and Technological DevelopmentNational Council for Scientific and Technological Development (CNPq); Coordination for the Improvement of Higher Education Personnel	This work was supported by the Brazilian Space Agency, the National Council for Scientific and Technological Development, and the Coordination for the Improvement of Higher Education Personnel.		14	0	0	1	1	SYSTEMS ENGINEERING & ELECTRONICS, EDITORIAL DEPT	BEIJING	PO BOX 142-32, BEIJING, 100854, PEOPLES R CHINA	1004-4132			J SYST ENG ELECTRON	J. Syst. Eng. Electron.	DEC	2020	31	6					1230	1244		10.23919/JSEE.2020.000103			15	Automation & Control Systems; Engineering, Electrical & Electronic; Operations Research & Management Science	Automation & Control Systems; Engineering; Operations Research & Management Science	PO1CK	WOS:000604908300015		Bronze			2021-02-18	
J	Trilles, S; Gonzalez-Perez, A; Zaragozi, B; Huerta, J				Trilles, Sergio; Gonzalez-Perez, Alberto; Zaragozi, Benito; Huerta, Joaquin			Data on records of environmental phenomena using low-cost sensors in vineyard smallholdings	DATA IN BRIEF			English	Article; Data Paper						Internet of Things; Open hardware; Low-cost sensors; Smart farming; Vineyard smallholdings		Inadequate weather conditions are one of the main threats to the correct development of sensitive crops, where a bad situation can lead to greater stress on plants and their weakness against various diseases. This statement is especially decisive in the cultivation of the vineyard. Meteorological monitoring of vineyard parcels is vital to detect and prevent possible fungal diseases. The development of new Information and Communication Technologies, linked to the Smart Farming movement, together with the reduced cost of electronic components, have favoured a greater availability of meteorological monitoring stations to get to know first-class hand the state of the vineyard smallholdings. This work provides a set of over 750,000 environmental raw data records collected by low-cost Internet of Things nodes, primarily located within vineyard smallholdings. The published observations were collected between 2018-04-01 and 2018-10-31 and were validated in previous research to determine the data's reliability. (C) 2020 The Author(s). Published by Elsevier Inc.	[Trilles, Sergio; Gonzalez-Perez, Alberto; Huerta, Joaquin] Univ Jaume 1, Inst New Imaging Technol, Av Vicente Sos Baynat S-N, Castellon de La Plana, Spain; [Zaragozi, Benito] Univ Rovira & Virgili, Dept Geog, Vilaseca, Spain	Trilles, S (corresponding author), Univ Jaume 1, Inst New Imaging Technol, Av Vicente Sos Baynat S-N, Castellon de La Plana, Spain.	strilles@uji.es			Generalitat Valenciana through the Subvenciones para la Realizacion de Proyectos de I+ D+ i Desarrollados por Grupos de Investigacion Emergentes programme [GV/2020/035]; postdoctoral Juan de la Cierva fellowship programme of the Spanish Ministry for Science and Innovation [IJC2018-035017-I]	This work has been funded by the Generalitat Valenciana through the Subvenciones para la Realizacion de Proyectos de I+ D+ i Desarrollados por Grupos de Investigacion Emergentes programme (GV/2020/035). Sergio Trilles has been funded by the postdoctoral Juan de la Cierva fellowship programme of the Spanish Ministry for Science and Innovation (IJC2018-035017-I).		8	1	1	0	0	ELSEVIER	AMSTERDAM	RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS	2352-3409			DATA BRIEF	Data Brief	DEC	2020	33								106524	10.1016/j.dib.2020.106524			8	Multidisciplinary Sciences	Science & Technology - Other Topics	PH8JS	WOS:000600652300189	33294520	DOAJ Gold, Green Published			2021-02-18	
J	Fernandez, FJV; Segovia, JS; Bravo, IM; Ramos, CG; Castilla, DR; Lopez, JG; Marquez, JMA				Vivas Fernandez, Francisco Jose; Sanchez Segovia, Jose; Martel Bravo, Ismael; Garcia Ramos, Carlos; Ruiz Castilla, Daniel; Gamero Lopez, Jose; Andujar Marquez, Jose Manuel			Res(Uhu)Rge: A Low Cost and Fully Functional Ventilator Indicated for Application in COVID-19 Patients	SENSORS			English	Article						COVID-19; low-cost ventilator; lung infection; non-invasive ventilation; mechanical ventilation		Although the cure for the SARS-CoV-2 virus (COVID-19) will come in the form of pharmaceutical solutions and/or a vaccine, one of the only ways to face it at present is to guarantee the best quality of health for patients, so that they can overcome the disease on their own. Therefore, and considering that COVID-19 generally causes damage to the respiratory system (in the form of lung infection), it is essential to ensure the best pulmonary ventilation for the patient. However, depending on the severity of the disease and the health condition of the patient, the situation can become critical when the patient has respiratory distress or becomes unable to breathe on his/her own. In that case, the ventilator becomes the lifeline of the patient. This device must keep patients stable until, on their own or with the help of medications, they manage to overcome the lung infection. However, with thousands or hundreds of thousands of infected patients, no country has enough ventilators. If this situation has become critical in the Global North, it has turned disastrous in developing countries, where ventilators are even more scarce. This article shows the race against time of a multidisciplinary research team at the University of Huelva, UHU, southwest of Spain, to develop an inexpensive, multifunctional, and easy-to-manufacture ventilator, which has been named ResUHUrge. The device meets all medical requirements and is developed with open-source hardware and software.	[Vivas Fernandez, Francisco Jose; Ruiz Castilla, Daniel; Gamero Lopez, Jose; Andujar Marquez, Jose Manuel] Univ Huelva, Control & Robot Res Team TEP192, Huelva 21004, Spain; [Sanchez Segovia, Jose; Martel Bravo, Ismael; Garcia Ramos, Carlos] Univ Huelva, Struct Matter Res Team FQM318, Huelva 21004, Spain	Fernandez, FJV (corresponding author), Univ Huelva, Control & Robot Res Team TEP192, Huelva 21004, Spain.	francisco.vivas@diesia.uhu.es; jose.sanchez@dci.uhu.es; imartel@uhu.es; carlos.garcia@iesppg.net; daniel.ruiz@diesia.uhu.es; jose.gamero@diesia.uhu.es; andujar@uhu.es	; Andujar-Marquez, Jose Manuel/L-7056-2014	Vivas Fernandez, Francisco Jose/0000-0002-2234-9532; Sanchez Segovia, Jose/0000-0003-0619-964X; Andujar-Marquez, Jose Manuel/0000-0002-0631-0021	University of Huelva, Huelva, Spain	This research was funded by the University of Huelva, Huelva, Spain.		33	0	0	1	1	MDPI	BASEL	ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND		1424-8220		SENSORS-BASEL	Sensors	DEC	2020	20	23							6774	10.3390/s20236774			20	Chemistry, Analytical; Engineering, Electrical & Electronic; Instruments & Instrumentation	Chemistry; Engineering; Instruments & Instrumentation	PD9QW	WOS:000598011200001	33260852	DOAJ Gold, Green Published			2021-02-18	
J	Vissa, A; Giuliani, M; Kim, PK; Yip, CM				Vissa, Adriano; Giuliani, Maximiliano; Kim, Peter K.; Yip, Christopher M.			Hyperspectral super-resolution imaging with far-red emitting fluorophores using a thin-film tunable filter	REVIEW OF SCIENTIFIC INSTRUMENTS			English	Article							OPTICAL RECONSTRUCTION MICROSCOPY; MEMBRANE; PROTEINS; STORM	New innovations in single-molecule localization microscopy (SMLM) have revolutionized optical imaging, enabling the characterization of biological structures and interactions with unprecedented detail and resolution. However, multi-color or hyperspectral SMLM can pose particular challenges which affect image quality and data interpretation, such as unequal photophysical performance of fluorophores and non-linear image registration issues, which arise as two emission channels travel along different optical paths to reach the detector. In addition, using evanescent-wave based approaches (Total Internal Reflection Fluorescence: TIRF) where beam shape, decay depth, and power density are important, different illumination wavelengths can lead to unequal imaging depth across multiple channels on the same sample. A potential useful approach would be to use a single excitation wavelength to perform hyperspectral localization imaging. We report herein on the use of a variable angle tunable thin-film filter to spectrally isolate far-red emitting fluorophores. This solution was integrated into a commercial microscope platform using an open-source hardware design, enabling the rapid acquisition of SMLM images arising from fluorescence emission captured within similar to 15 nm to 20 nm spectral windows (or detection bands). By characterizing intensity distributions, average intensities, and localization frequency through a range of spectral windows, we investigated several far-red emitting fluorophores and identified an optimal fluorophore pair for two-color SMLM using this method. Fluorophore crosstalk between the different spectral windows was assessed by examining the effect of varying the photon output thresholds on the localization frequency and fraction of data recovered. The utility of this approach was demonstrated by hyper-spectral super-resolution imaging of the interaction between the mitochondrial protein, TOM20, and the peroxisomal protein, PMP70.	[Vissa, Adriano; Kim, Peter K.; Yip, Christopher M.] Univ Toronto, Dept Biochem, Toronto, ON M5S 1A8, Canada; [Vissa, Adriano; Giuliani, Maximiliano; Yip, Christopher M.] Univ Toronto, Inst Biomat & Biomed Engn, Toronto, ON M5S 3G9, Canada; [Vissa, Adriano; Kim, Peter K.] Hosp Sick Children, Program Cell Biol, Toronto, ON M5G 0A4, Canada; [Yip, Christopher M.] Univ Toronto, Dept Chem Engn & Appl Chem, Toronto, ON M5S 1A4, Canada	Yip, CM (corresponding author), Univ Toronto, Dept Biochem, Toronto, ON M5S 1A8, Canada.; Yip, CM (corresponding author), Univ Toronto, Inst Biomat & Biomed Engn, Toronto, ON M5S 3G9, Canada.; Yip, CM (corresponding author), Univ Toronto, Dept Chem Engn & Appl Chem, Toronto, ON M5S 1A4, Canada.	christopher.yip@utoronto.ca			Natural Sciences and Engineering Research Council of Canada DiscoveryNatural Sciences and Engineering Research Council of Canada (NSERC) [RGPIN-2015-043]	This work was funded by the Natural Sciences and Engineering Research Council of Canada Discovery, Grant No. RGPIN-2015-043.		28	0	0	2	2	AMER INST PHYSICS	MELVILLE	1305 WALT WHITMAN RD, STE 300, MELVILLE, NY 11747-4501 USA	0034-6748	1089-7623		REV SCI INSTRUM	Rev. Sci. Instrum.	DEC 1	2020	91	12							123703	10.1063/1.5143319			10	Instruments & Instrumentation; Physics, Applied	Instruments & Instrumentation; Physics	PE7GR	WOS:000598531500001	33379995	Other Gold			2021-02-18	
J	Yadav, A; Ashok, V; Pazoki, M				Yadav, Anamika; Ashok, Valabhoju; Pazoki, Mohammad			Protection scheme for hybrid transmission system using fuzzy inference system and microcontroller	EVOLUTIONARY INTELLIGENCE			English	Article; Early Access						Arduino; Fault analysis; Fuzzy inference system (FIS); Overhead (OH) transmission line; Underground (UG) cable	FAULT-LOCATION ALGORITHM; NEURO-FUZZY; LINES; CLASSIFICATION; WAVELET	This paper presents a fuzzy inference system and microcontroller-based protection scheme for a combined underground (UG) cable and overhead (OH) transmission line system. The scheme detects, classifies, and locates the fault occurring either in an UG cable or OH transmission line network. Furthermore, the scheme identifies the faulty section. An existing Indian power network i.e., real power system network of C.G. state, consisting of 132 kV, 50 Hz power transmission network connecting Doma substation 220/132 kV to the 132/33 kV Gas Insulated Substation Rawanbhata through combined transmission network is considered. This real power transmission network is simulated by using MATLAB/Simulink software. In this paper, the hardware implementation is also carried out using an open-source hardware, Arduino, which consists of an Atmel 8-bit AVR microcontroller. Both the simulation and hardware results validate that the proposed scheme is accurately detecting, classifying, and locating the fault in less than a half cycle time. Moreover, the percentage error in determining the location of a fault is less than 0.7%.	[Yadav, Anamika; Ashok, Valabhoju] Natl Inst Technol, Dept Elect Engn, Raipur 492010, Madhya Pradesh, India; [Pazoki, Mohammad] Damghan Univ, Sch Engn, Elect Engn Dept, Damghan, Iran	Yadav, A (corresponding author), Natl Inst Technol, Dept Elect Engn, Raipur 492010, Madhya Pradesh, India.	ayaday.ele@nitrr.ac.in; ashokjntuk@gmail.com; pazoki.m@du.ac.ir	Yadav, Anamika/J-1022-2019; Ashok, V./AAC-6312-2021	Ashok, V./0000-0001-5865-1082				31	0	0	0	0	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	1864-5909	1864-5917		EVOL INTELL	Evol. Intell.												10.1007/s12065-020-00527-0		NOV 2020	15	Computer Science, Artificial Intelligence	Computer Science	OU1SL	WOS:000591314900001					2021-02-18	
