"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"9RPCNTTM","journalArticle","2015","Manecy, Augustin; Marchand, Nicolas; Ruffier, Franck; Viollet, Stephane","X4-MaG: A Low-Cost Open-Source Micro-Quadrotor and Its Linux-Based Controller","INTERNATIONAL JOURNAL OF MICRO AIR VEHICLES","","1756-8293","10.1260/1756-8293.7.2.89","","The new open-source quadrotor platform called X4-MaG presented here was developed for academic and research applications. X4-MaG is a small, low-cost open quadrotor of only 307-grammes which offers two levels of controllers providing a manual mode and an automatic mode thanks to powerful Linux-based controller embedded onboard. The experiments presented here show the reliability of the open hardware and software embedded onboard the quadrotor. To estimate the robot s attitude, a quaternion-based complementary filter requiring very few computational resources was developed and implemented on an 8-bit Arduino board. It was also established that the stabilization feedback system based on quaternions tracks the attitude setpoints with precision up to twice greater than a classical cascaded PI controller. The controllers and estimators were designed in the Matlab/Simulink environment and directly implemented onboard the tiny Linux-based autopilot board using a custom made toolbox (RT-MaG toolbox). The autopilot was tested in the brand-new Marseilles Flying Arena with various 3-D flight trajectories and found to be highly accurate with errors of only 0.7cm in hover and less than 3.2cm at 1.2m.s(-1). The X4-MaG quadrotor was able to reach speeds greater than 2m.s(-1) and reject attitude disturbances of 20' within 0.8s.","2015-06","2020-02-03 22:13:38","2020-02-03 22:13:38","","89-109","","2","7","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D4KS7QAZ","journalArticle","2015","Wootton, L.; Therriault-Proulx, F.; Beddar, S.","What Can the Medical Physics Field Learn From the Open Source Hardware Community?","MEDICAL PHYSICS","","0094-2405","10.1118/1.4923957","","","2015-06","2020-02-03 22:13:38","2020-02-03 22:13:38","","3231","","6","42","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9A5RE26H","journalArticle","2015","Siegle, Joshua H.; Hale, Gregory J.; Newman, Jonathan P.; Voigts, Jakob","Neural ensemble communities: open-source approaches to hardware for large-scale electrophysiology","CURRENT OPINION IN NEUROBIOLOGY","","0959-4388","10.1016/j.conb.2014.11.004","","One often-overlooked factor when selecting a platform for large-scale electrophysiology is whether or not a particular data acquisition system is `open' or `closed': that is, whether or not the system's schematics and source code are available to end users. Open systems have a reputation for being difficult to acquire, poorly documented, and hard to maintain. With the arrival of more powerful and compact integrated circuits, rapid prototyping services, and web-based tools for collaborative development, these stereotypes must be reconsidered. We discuss some of the reasons why multichannel extracellular electrophysiology could benefit from open-source approaches and describe examples of successful community-driven tool development within this field. In order to promote the adoption of open-source hardware and to reduce the need for redundant development efforts, we advocate a move toward standardized interfaces that connect each element of the data processing pipeline. This will give researchers the flexibility to modify their tools when necessary, while allowing them to continue to benefit from the high-quality products and expertise provided by commercial vendors.","2015-06","2020-02-03 22:13:38","2020-02-03 22:13:38","","53-59","","","32","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RYSQG6RT","journalArticle","2015","Tristo, Gianluca; Bissacco, Giuliano; Lebar, Andrej; Valentincic, Josko","Real time power consumption monitoring for energy efficiency analysis in micro EDM milling","INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY","","0268-3768","10.1007/s00170-014-6725-3","","Sustainability has become a major concern in many countries and is leading to strict regulations regarding the impact of products and services during their manufacturing, use, and disposal. Power consumption monitoring in manufacturing companies can lead to a reduction of machine tools energy wastes and consequently to lower expenses. To this end, a complete transparency of energy usage among the entire manufacturing facilities is required. Despite the small volume of material processed, micro manufacturing processes are energy intensive and the optimization of energy usage becomes critical for manufacturing sustainability. Electrical discharge machining (EDM) is considered an attractive solution for the manufacturing of microcomponents. In this paper, a low cost and modular data acquisition system, based on open-hardware and open-source software, for online energy consumption monitoring, is presented. The system described is applied for energy efficiency analysis of the micro EDM milling process by using a state of the art commercial machine tool. A number of sensors is connected to the data acquisition system to measure the energy consumption of the main sub-systems of the machine tool, data is recorded through a microcontroller, and sent to the main computer via Wi-Fi for data storage and analysis. Results show that the process efficiency depends on machine parameters but it is always far below 0.01 %. Solutions are suggested to improve the energy efficiency of the machine tool considered in this work.","2015-06","2020-02-03 22:13:38","2020-02-03 22:13:38","","1511-1521","","9-12","78","","","","","","","","","","English","","","","","","","","","","","Energy; Monitoring; EDM; Efficiency; Electrical discharge machining; Micromachining; Sustainability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VQBLAU3F","journalArticle","2015","Schelly, Chelsea; Anzalone, Gerald; Wijnen, Bas; Pearce, Joshua M.","Open-source 3-D printing technologies for education: Bringing additive manufacturing to the classroom","JOURNAL OF VISUAL LANGUAGES AND COMPUTING","","1045-926X","10.1016/j.jvlc.2015.01.004","","Objective: 3-D printing technologies have the potential to improve both Science, Technology, Engineering, and Mathematics (STEM) education and Career and Technical Education (CTE), as well as integrating these two educational emphases and providing opportunities for cross-curriculum engagement. The objective of this study is to investigate the potential of open-source (OS) technologies in an educational setting, given the combination of economic constraints affecting all educational environments and the ability of OS design to profoundly decrease the cost of technological tools and technological innovation. Methods: This paper reports on a 3-day workshop augmented with online instructional and visual tools designed for middle school and high school level educators from a wide array of disciplines (including traditional science, math, and engineering as well as computer, shop, and art). Teachers (n=22) submitted applications to participate in the workshop, the workshop was observed for both evaluation and research, teachers participated in focus groups (n=2) during the workshop in order to discuss their interest in OS 3-D printing technology and its potential role in their classrooms, and teachers completed a voluntary post-workshop survey and responded to follow-up after printers were in the classroom for one year. Results: During the workshop teachers built 3-D printers using OS technologies that they were then able to take back to their schools and into their classrooms. Conclusion: Through workshops augmented with online instructional and visual tools designed to provide facilitated yet self-directed engagement with a new, relatively unknown, and relatively complex technology, paired teacher teams were able to successfully build and use RepRap 3-D printers based on OS design in just three days. Practice: Here, we discuss both what the teachers learned and what we learned from the teachers regarding the potential for educators to construct OS 3-D printing technologies as a tool of empowering and transformative education. Implications: Open-source 3-D printing technologies have the potential to improve education through a sense of empowerment resulting from active participation, as well as through cross-curriculum engagement. (C) 2015 Elsevier Ltd. All rights reserved.","2015-06","2020-02-03 22:13:39","2020-02-03 22:13:39","","226-237","","","28","","","","","","","","","","English","","","","","","","","","","","3-D printing; Open-source hardware; STEM education; Teacher education; Teacher workshop; Transformative education","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VDSCCKVP","journalArticle","2015","Salamone, Francesco; Belussi, Lorenzo; Danza, Ludovico; Ghellere, Matteo; Meroni, Italo","Design and Development of nEMoS, an All-in-One, Low-Cost, Web-Connected and 3D-Printed Device for Environmental Analysis","SENSORS","","1424-8220","10.3390/s150613012","","The Indoor Environmental Quality (IEQ) refers to the quality of the environment in relation to the health and well-being of the occupants. It is a holistic concept, which considers several categories, each related to a specific environmental parameter. This article describes a low-cost and open-source hardware architecture able to detect the indoor variables necessary for the IEQ calculation as an alternative to the traditional hardware used for this purpose. The system consists of some sensors and an Arduino board. One of the key strengths of Arduino is the possibility it affords of loading the script into the board's memory and letting it run without interfacing with computers, thus granting complete independence, portability and accuracy. Recent works have demonstrated that the cost of scientific equipment can be reduced by applying open-source principles to their design using a combination of the Arduino platform and a 3D printer. The evolution of the 3D printer has provided a new means of open design capable of accelerating self-directed development. The proposed nano Environmental Monitoring System (nEMoS) instrument is shown to have good reliability and it provides the foundation for a more critical approach to the use of professional sensors as well as for conceiving new scenarios and potential applications.","2015-06","2020-02-03 22:13:39","2020-02-03 22:13:39","","13012-13027","","6","15","","","","","","","","","","English","","","","","","","","","","","Arduino; environmental monitoring system; thermal comfort; App Inventor; indoor air quality; Indoor Environmental Quality; Internet of Things","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W7DNLEG8","journalArticle","2015","Shetu, N. S.; Masum, M. A.","Implementation of an Intelligent Computing Platform for Determination of Moisture Content of Subgrade Soil","GEOTECHNICAL TESTING JOURNAL","","0149-6115","10.1520/GTJ20130128","","Determination of moisture content of soil is absolutely crucial and must be performed frequently to assure the quality of construction work. In a view to suppress the limitations and inaccuracies of the existing methods, a new concept is successfully implemented. Artificial neural networks (ANNs) and state-of-the-art electronic circuitry are embedded to realize an automatic measurement system based on an open-source computing platform. Moreover, to facilitate user interaction with the system, a sophisticated graphical user interface (GUI) is created. This system, from both the hardware and software perspective, brings new ideas in, not only the moisture content determination test, but in geotechnical engineering laboratory and field instrumentation in terms of accuracy, automation, and machine intelligence. It will be obvious from this work that open-source hardware and software embedded in test equipment can automate the whole test procedure for almost all types of tests in geotechnical engineering using appropriate sensor, and data-acquisition and processing routines. This paper presents the technical know-how of the system setup, hardware, and software development, workflow, and system validation for the determination of moisture content of subgrade soil in two distinct test modes-supervised and unsupervised. This work will demonstrate that, not only the test procedure can be automated, but time optimization is also possible, which results in at least 50 % test time reduction.","2015-05","2020-02-03 22:13:39","2020-02-03 22:13:39","","","","3","38","","","","","","","","","","English","","","","","","","","","","","artificial neural network; soil compaction; soil stabilization; subgrade soil; water content","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RJCGLZNT","journalArticle","2015","Baden, Tom; Chagas, Andre Maia; Gage, Gregory J.; Marzullo, Timothy C.; Prieto-Godino, Lucia L.; Euler, Thomas","Open Labware: 3-D Printing Your Own Lab Equipment (vol 13, e1002086, 2015)","PLOS BIOLOGY","","1545-7885","10.1371/journal.pbio.1002175","","","2015-05","2020-02-03 22:13:40","2020-02-03 22:13:40","","","","5","13","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RSRN9YI8","journalArticle","2015","Klodowski, Adam; Eskelinen, Harri; Semken, Scott","Leakage-proof nozzle design for RepRap community 3D printer","ROBOTICA","","0263-5747","10.1017/S0263574714000502","","The RepRap 3D printer development project is a fast growing, open-hardware initiative relying on the input of hobbyist designers. One of its key components is the printer nozzle. The performance and reliability deficiencies of currently available nozzle designs are common topics in the RepRap community, and our own experience with a RepRap 3D printer has identified a need for improvement in a few particular areas. We set out to eliminate melt leakage, improve thermal isolation, and develop a more effective method of nozzle assembly attachment. Here, we review the issues, describe design efforts, and report results.","2015-05","2020-02-03 22:13:40","2020-02-03 22:13:40","","721-746","","4","33","","","","","","","","","","English","","","","","","","","","","","Open hardware; Thermoplastics; Finite element analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL5835KB","journalArticle","2015","Hitchman, Sam; van Wijk, Kasper; Broderick, Neil; Adam, Ludmila","Heterodyne interferometry for the detection of elastic waves: a tutorial and open-hardware project","EUROPEAN JOURNAL OF PHYSICS","","0143-0807","10.1088/0143-0807/36/3/035011","","Non-contacting acoustic and ultrasonic measurements are of interest in applications ranging from nondestructive evaluation to rock physics and medical imaging. The fundamental workings of the detector-the interferometer-are easily explained in undergraduate physics courses, but practical implementations are dominated by specialized, and commercial, devices. We present a robust and relatively inexpensive detector, which consists of a heterodyne interferometer and phase locked loop frequency demodulator, as an open-source alternative. We illustrate the broadband capabilities with the detection of ultrasonic waves in a mudstone sample, and low-frequency (100 Hz) vibrations of a piston.","2015-05","2020-02-03 22:13:40","2020-02-03 22:13:40","","","","3","36","","","","","","","","","","English","","","","","","","","","","","frequency demodulation; heterodyne interferometry; ultrasonics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
